;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3319
AÇAILÂNDIA;3053;80;;5.239;173.788;145921;;10 a 19 anos;9966
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;23410
ÁGUA DOCE DO MARANHÃO;596;5;;CASOS NOVOS;;;;30 a 39 anos;30955
ALCÂNTARA;44;6;;Grande Ilha;92;;;40 a 49 anos;24614
ALDEIAS ALTAS;815;4;;Imperatriz;43;;;50 a 59 anos;17100
ALTAMIRA DO MARANHÃO;264;5;;Demais Regiões;891;;;60 a 70 anos;12482
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;10099
ALTO ALEGRE DO PINDARÉ;1335;19;;;;;;Não informado;13976
ALTO PARNAÍBA;195;2;;CASOS CONFIRMADOS;;;;TOTAL;145921
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;837;16;;Ativos;8065;Isolamento Domiciliar ;7606;;
ANAJATUBA;323;8;;;;Internação Enfermaria;279;Rede Pública;239
ANAPURUS;710;6;;;;;;Rede Privada;40
APICUM-AÇU;197;3;;;;Internação UTI;180;Rede Pública;157
ARAGUANÃ;495;2;;;;;;Rede Privada;23
ARAIOSES;546;10;;Óbitos;3377;;;; 
ARAME;816;7;;Recuperados;134479;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;124;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3130;48;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;65531;45%;;Leitos ocupados;72
BACURI;412;3;;MULHER;80390;55%;;Leitos livres;310
BACURITUBA;39;0;;;;;;% de ocupação;18,85%
BALSAS;4789;33;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3176;24;;3267;3180;59;;Total de leitos UTI;152
BARREIRINHAS;668;23;;;;;;Leitos ocupados UTI;54
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;98
BELÁGUA;212;1;;TESTES REALIZADOS;;;;% de ocupação UTI;35,53%
BENEDITO LEITE;102;0;;LABORATÓRIO PÚBLICO;2443;;;;
BEQUIMÃO;207;10;;LABORATÓRIO PRIVADO;219;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;319.727;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;322389;;;Total de leitos;578
BOM JARDIM;816;22;;;;;;Leitos ocupados;98
BOM JESUS DAS SELVAS;1499;10;;;;;;Leitos livres;480
BOM LUGAR;206;1;;ÓBITOS DE COVID-19;;;;% de ocupação;16,96%
BREJO;642;18;;;;;;;
BREJO DE AREIA;196;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;530;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;247;0;;10 a 19 anos;15;;;Leitos ocupados UTI;58
BURITICUPU;2172;4;;20 a 29 anos;34;;;Leitos livres;157
BURITIRANA;235;6;;30 a 39 anos;108;;;% de ocupação UTI;26,98%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;194;;;;
CAJAPIÓ;5;2;;50 a 59 anos;358;;;IMPERATRIZ;
CAJARI;125;4;;60 a 69 anos;778;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;357;4;;Mais de 70 anos;1871;;;Total de leitos;81
CÂNDIDO MENDES;40;4;;TOTAL;3377;;;Leitos ocupados;69
CANTANHEDE;381;3;;;;;;Leitos livres;12
CAPINZAL DO NORTE;347;1;;;;;;% de ocupação;85,19%
CAROLINA;313;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;335;17;;HOMEM;2076;61%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3739;70;;MULHER;1301;39%;;Total de leitos UTI;54
CEDRAL;121;0;;;;;;Leitos ocupados UTI;45
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;9
CENTRO DO GUILHERME;332;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;83,33%
CENTRO NOVO DO MARANHÃO;603;7;;COM COMORBIDADES ;2859;85%;;;
CHAPADINHA;2666;44;;SEM COMORBIDADES ;518;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;281;1;;;;;;;
CODÓ;1793;21;;;;;;;
COELHO NETO;1526;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1486;27;;NEUROLÓGICO;192;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;127;;;RAÇA/COR;
COROATÁ;1056;10;;PNEUMOPATIA;50;;;AMARELA;27.613
CURURUPU;504;7;;CARDIOPATIA;416;;;BRANCA;15.518
DAVINÓPOLIS;243;7;;DOENÇA RENAL CRÔNICA;194;;;INDIGENA;1.012
DOM PEDRO;285;2;;DIABETES MELITUS;1290;;;PARDA;54.895
DUQUE BACELAR;346;7;;HIPERTENSÃO ARTERIAL;1858;;;PRETA;5.461
ESPERANTINÓPOLIS;620;13;;SEM COMORBIDADES;518;;;SEM INFORMAÇÃO;41.422
ESTREITO;1590;7;;OBESIDADE;143;;;TOTAL;145.921
FEIRA NOVA DO MARANHÃO;384;2;;OUTROS;457;;;;
FERNANDO FALCÃO;729;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;593;1;;;;;;PARDA;1673
FORTALEZA DOS NOGUEIRAS;484;2;;;;;;BRANCA;412
FORTUNA;426;1;;;;;;PRETA;229
GODOFREDO VIANA;83;3;;;;;;AMARELA;209
GONÇALVES DIAS;325;4;;;;;;INDÍGENA;27
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;257;5;;;;;;TOTAL;3.377
GOVERNADOR EUGÊNIO BARROS;199;0;;;;;;;
GOVERNADOR LUIZ ROCHA;103;0;;;;;;;
GOVERNADOR NEWTON BELLO;446;4;;;;;;;
GOVERNADOR NUNES FREIRE;591;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2311;33;;;;;;;
GUIMARÃES;214;4;;;;;;;
HUMBERTO DE CAMPOS;547;5;;;;;;;
ICATU;185;6;;;;;;;
IGARAPÉ DO MEIO;246;9;;;;;;;
IGARAPÉ GRANDE;942;8;;;;;;;
IMPERATRIZ;5223;273;;;;;;;
ITAIPAVA DO GRAJAÚ;438;2;;;;;;;
ITAPECURU-MIRIM;693;10;;;;;;;
ITINGA DO MARANHÃO;541;11;;;;;;;
JATOBÁ;55;4;;;;;;;
JENIPAPO DOS VIEIRAS;590;8;;;;;;;
JOÃO LISBOA;230;10;;;;;;;
JOSELÂNDIA;401;0;;;;;;;
JUNCO DO MARANHÃO;168;0;;;;;;;
LAGO DA PEDRA;1169;43;;;;;;;
LAGO DO JUNCO;195;1;;;;;;;
LAGO DOS RODRIGUES;322;7;;;;;;;
LAGO VERDE;491;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;107;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;639;6;;;;;;;
LORETO;275;2;;;;;;;
LUÍS DOMINGUES;97;1;;;;;;;
MAGALHÃES DE ALMEIDA;397;4;;;;;;;
MARACAÇUMÉ;489;3;;;;;;;
MARAJÁ DO SENA;145;3;;;;;;;
MARANHÃOZINHO;419;3;;;;;;;
MATA ROMA;345;10;;;;;;;
MATINHA;258;3;;;;;;;
MATÕES;340;4;;;;;;;
MATÕES DO NORTE;202;1;;;;;;;
MILAGRES DO MARANHÃO;158;1;;;;;;;
MIRADOR;562;3;;;;;;;
MIRANDA DO NORTE;138;9;;;;;;;
MIRINZAL;126;6;;;;;;;
MONÇÃO;396;15;;;;;;;
MONTES ALTOS;312;3;;;;;;;
MORROS;140;7;;;;;;;
NINA RODRIGUES;181;4;;;;;;;
NOVA COLINAS;82;0;;;;;;;
NOVA IORQUE;26;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;469;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;551;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;363;4;;;;;;;
PARNARAMA;437;0;;;;;;;
PASSAGEM FRANCA;194;0;;;;;;;
PASTOS BONS;285;2;;;;;;;
PAULINO NEVES;152;2;;;;;;;
PAULO RAMOS;789;11;;;;;;;
PEDREIRAS;1504;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;217;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;334;3;;;;;;;
PINDARÉ-MIRIM;572;11;;;;;;;
PINHEIRO;1840;33;;;;;;;
PIO XII;798;6;;;;;;;
PIRAPEMAS;247;3;;;;;;;
POÇÃO DE PEDRAS;809;2;;;;;;;
PORTO FRANCO;712;8;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1286;7;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;219;0;;;;;;;
PRESIDENTE SARNEY;168;7;;;;;;;
PRESIDENTE VARGAS;57;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;134;13;;;;;;;
RIACHÃO;310;6;;;;;;;
RIBAMAR FIQUENE;141;8;;;;;;;
ROSÁRIO;376;11;;;;;;;
SAMBAÍBA;202;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1286;6;;;;;;;
SANTA INÊS;4139;71;;;;;;;
SANTA LUZIA;2443;16;;;;;;;
SANTA LUZIA DO PARUÁ;413;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;441;15;;;;;;;
SANTA RITA;257;13;;;;;;;
SANTANA DO MARANHÃO;159;3;;;;;;;
SANTO AMARO DO MARANHÃO;75;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;626;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;889;7;;;;;;;
SÃO BENTO;457;5;;;;;;;
SÃO BERNARDO;830;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;130;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1262;8;;;;;;;
SÃO FÉLIX DE BALSAS;126;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;269;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;67;0;;;;;;;
SÃO JOÃO BATISTA;112;5;;;;;;;
SÃO JOÃO DO CARÚ;363;5;;;;;;;
SÃO JOÃO DO PARAÍSO;92;2;;;;;;;
SÃO JOÃO DO SÓTER;434;2;;;;;;;
SÃO JOÃO DOS PATOS;934;8;;;;;;;
SÃO JOSÉ DE RIBAMAR;1177;111;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;160;0;;;;;;;
SÃO LUÍS;18254;1200;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;524;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1082;24;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;363;1;;;;;;;
SÃO PEDRO DOS CRENTES;103;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1338;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;74;2;;;;;;;
SÃO ROBERTO;183;2;;;;;;;
SÃO VICENTE FERRER;201;1;;;;;;;
SATUBINHA;128;1;;;;;;;
SENADOR ALEXANDRE COSTA;331;1;;;;;;;
SENADOR LA ROCQUE;191;8;;;;;;;
SERRANO DO MARANHÃO;166;2;;;;;;;
SÍTIO NOVO;463;3;;;;;;;
SUCUPIRA DO NORTE;65;0;;;;;;;
SUCUPIRA DO RIACHÃO;77;0;;;;;;;
TASSO FRAGOSO;173;0;;;;;;;
TIMBIRAS;332;3;;;;;;;
TIMON;3363;100;;;;;;;
TRIZIDELA DO VALE;604;7;;;;;;;
TUFILÂNDIA;78;5;;;;;;;
TUNTUM;1177;6;;;;;;;
TURIAÇU;233;3;;;;;;;
TURILÂNDIA;305;4;;;;;;;
TUTÓIA;977;23;;;;;;;
URBANO SANTOS;1378;14;;;;;;;
VARGEM GRANDE;724;10;;;;;;;
VIANA;274;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;258;0;;;;;;;
VITÓRIA DO MEARIM;653;6;;;;;;;
VITORINO FREIRE;1467;26;;;;;;;
ZÉ DOCA;3164;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
"Na revisão de dados no sistema, em razão de duplicidade, foram excluídos um caso de Igarapé Grande; um caso de Anajatuba e três casos de Buriticupu.  Em razão de mudança de domicílio de paciente, um caso de Pio XII foi transferido para São Luís. ";;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
