;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2666
AÇAILÂNDIA;2892;75;;3.675;152.458;129700;;10 a 19 anos;8421
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;20312
ÁGUA DOCE DO MARANHÃO;578;5;;CASOS NOVOS;;;;30 a 39 anos;27045
ALCÂNTARA;40;6;;Grande Ilha;102;;;40 a 49 anos;21631
ALDEIAS ALTAS;640;0;;Imperatriz;16;;;50 a 59 anos;15123
ALTAMIRA DO MARANHÃO;245;5;;Demais Regiões;736;;;60 a 70 anos;11135
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;9111
ALTO ALEGRE DO PINDARÉ;1282;6;;;;;;Não informado;14256
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;129700
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;782;15;;Ativos;7941;Isolamento Domiciliar ;7472;;
ANAJATUBA;318;8;;;;Internação Enfermaria;280;Rede Pública;239
ANAPURUS;689;6;;;;;;Rede Privada;41
APICUM-AÇU;197;3;;;;Internação UTI;189;Rede Pública;164
ARAGUANÃ;478;2;;;;;;Rede Privada;25
ARAIOSES;532;10;;Óbitos;3154;;;; 
ARAME;672;7;;Recuperados;118605;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3065;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;58363;45%;;Leitos ocupados;81
BACURI;403;3;;MULHER;71337;55%;;Leitos livres;301
BACURITUBA;33;0;;;;;;% de ocupação;21,20%
BALSAS;3139;16;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2798;21;;3107;3021;57;;Total de leitos UTI;152
BARREIRINHAS;490;22;;;;;;Leitos ocupados UTI;61
BELA VISTA DO MARANHÃO;121;3;;;;;;Leitos livres;91
BELÁGUA;198;1;;TESTES REALIZADOS;;;;% de ocupação UTI;40,13%
BENEDITO LEITE;83;0;;LABORATÓRIO PÚBLICO;1722;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;268;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;282.848;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;284838;;;Total de leitos;578
BOM JARDIM;783;22;;;;;;Leitos ocupados;118
BOM JESUS DAS SELVAS;1404;8;;;;;;Leitos livres;460
BOM LUGAR;184;0;;ÓBITOS DE COVID-19;;;;% de ocupação;20,42%
BREJO;583;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;415;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;159;0;;10 a 19 anos;14;;;Leitos ocupados UTI;71
BURITICUPU;1981;4;;20 a 29 anos;31;;;Leitos livres;144
BURITIRANA;235;6;;30 a 39 anos;103;;;% de ocupação UTI;33,02%
CACHOEIRA GRANDE;170;3;;40 a 49 anos;180;;;;
CAJAPIÓ;5;2;;50 a 59 anos;338;;;IMPERATRIZ;
CAJARI;121;2;;60 a 69 anos;733;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;283;1;;Mais de 70 anos;1736;;;Total de leitos;81
CÂNDIDO MENDES;26;4;;TOTAL;3154;;;Leitos ocupados;40
CANTANHEDE;378;3;;;;;;Leitos livres;41
CAPINZAL DO NORTE;323;1;;;;;;% de ocupação;49,38%
CAROLINA;251;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;291;16;;HOMEM;1943;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3248;70;;MULHER;1211;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;32
CENTRAL DO MARANHÃO;18;1;;;;;;Leitos livres;22
CENTRO DO GUILHERME;325;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;59,26%
CENTRO NOVO DO MARANHÃO;546;7;;COM COMORBIDADES;2674;85%;;;
CHAPADINHA;2571;43;;SEM COMORBIDADES;480;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;267;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1454;34;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1238;25;;NEUROLÓGICO;184;;;;
CONCEIÇÃO DO LAGO-AÇU;147;5;;ONCOLÓGICO;118;;;RAÇA/COR;
COROATÁ;757;10;;PNEUMOPATIA;40;;;AMARELA;22.915
CURURUPU;487;7;;CARDIOPATIA;373;;;BRANCA;13.088
DAVINÓPOLIS;226;7;;DOENÇA RENAL CRÔNICA;183;;;INDIGENA;828
DOM PEDRO;198;2;;DIABETES MELITUS;1204;;;PARDA;46.981
DUQUE BACELAR;314;7;;HIPERTENSÃO ARTERIAL;1742;;;PRETA;4.683
ESPERANTINÓPOLIS;615;12;;SEM COMORBIDADES;480;;;SEM INFORMAÇÃO;41.205
ESTREITO;1157;7;;OBESIDADE;133;;;TOTAL;129.700
FEIRA NOVA DO MARANHÃO;242;2;;OUTROS;419;;;;
FERNANDO FALCÃO;663;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;452;1;;;;;;PARDA;1.527
FORTALEZA DOS NOGUEIRAS;308;0;;;;;;BRANCA;371
FORTUNA;328;0;;;;;;PRETA;203
GODOFREDO VIANA;82;3;;;;;;AMARELA;205
GONÇALVES DIAS;283;3;;;;;;INDÍGENA;21
GOVERNADOR ARCHER;259;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;225;4;;;;;;TOTAL;3.154
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;;
GOVERNADOR LUIZ ROCHA;94;0;;;;;;;
GOVERNADOR NEWTON BELLO;434;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1998;30;;;;;;;
GUIMARÃES;186;4;;;;;;;
HUMBERTO DE CAMPOS;396;5;;;;;;;
ICATU;177;6;;;;;;;
IGARAPÉ DO MEIO;218;8;;;;;;;
IGARAPÉ GRANDE;870;7;;;;;;;
IMPERATRIZ;4842;231;;;;;;;
ITAIPAVA DO GRAJAÚ;310;1;;;;;;;
ITAPECURU-MIRIM;647;10;;;;;;;
ITINGA DO MARANHÃO;506;11;;;;;;;
JATOBÁ;40;3;;;;;;;
JENIPAPO DOS VIEIRAS;398;4;;;;;;;
JOÃO LISBOA;225;9;;;;;;;
JOSELÂNDIA;347;0;;;;;;;
JUNCO DO MARANHÃO;130;0;;;;;;;
LAGO DA PEDRA;1095;43;;;;;;;
LAGO DO JUNCO;175;1;;;;;;;
LAGO DOS RODRIGUES;270;7;;;;;;;
LAGO VERDE;454;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
