;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3807
AÇAILÂNDIA;3111;82;;5.493;184.399;155717;;10 a 19 anos;10972
AFONSO CUNHA;143;2;;;;;;20 a 29 anos;25254
ÁGUA DOCE DO MARANHÃO;602;5;;CASOS NOVOS;;;;30 a 39 anos;33160
ALCÂNTARA;45;7;;Grande Ilha;89;;;40 a 49 anos;26324
ALDEIAS ALTAS;855;4;;Imperatriz;30;;;50 a 59 anos;18285
ALTAMIRA DO MARANHÃO;267;5;;Demais Regiões;1.130;;;60 a 70 anos;13242
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;10702
ALTO ALEGRE DO PINDARÉ;1368;19;;;;;;Não informado;13971
ALTO PARNAÍBA;258;2;;CASOS CONFIRMADOS;;;;TOTAL;155717
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;894;18;;Ativos;8175;Isolamento Domiciliar ;7720;;
ANAJATUBA;327;8;;;;Internação Enfermaria;273;Rede Pública;231
ANAPURUS;710;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;182;Rede Pública;160
ARAGUANÃ;514;2;;;;;;Rede Privada;22
ARAIOSES;563;10;;Óbitos;3478;;;; 
ARAME;874;9;;Recuperados;144064;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;126;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3186;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;69789;45%;;Leitos ocupados;68
BACURI;412;3;;MULHER;85928;55%;;Leitos livres;314
BACURITUBA;39;0;;;;;;% de ocupação;17,80%
BALSAS;5573;37;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3428;25;;3334;3252;62;;Total de leitos UTI;152
BARREIRINHAS;801;23;;;;;;Leitos ocupados UTI;57
BELA VISTA DO MARANHÃO;126;3;;;;;;Leitos livres;95
