;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2376
AÇAILÂNDIA;2826;67;;4.550;143.769;121581;;10 a 19 anos;7671
AFONSO CUNHA;131;2;;;;;;20 a 29 anos;18698
ÁGUA DOCE DO MARANHÃO;570;5;;CASOS NOVOS;;;;30 a 39 anos;25090
ALCÂNTARA;39;6;;Grande Ilha;103;;;40 a 49 anos;20177
ALDEIAS ALTAS;488;0;;Imperatriz;33;;;50 a 59 anos;14136
ALTAMIRA DO MARANHÃO;237;5;;Demais Regiões;784;;;60 a 70 anos;10509
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8643
ALTO ALEGRE DO PINDARÉ;1217;4;;;;;;Não informado;14281
ALTO PARNAÍBA;105;1;;CASOS CONFIRMADOS;;;;TOTAL;121581
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;742;13;;Ativos;9363;Isolamento Domiciliar ;8814;;
ANAJATUBA;298;6;;;;Internação Enfermaria;337;Rede Pública;293
ANAPURUS;646;6;;;;;;Rede Privada;44
APICUM-AÇU;197;3;;;;Internação UTI;212;Rede Pública;185
ARAGUANÃ;453;2;;;;;;Rede Privada;27
ARAIOSES;521;10;;Óbitos;3032;;;; 
ARAME;548;4;;Recuperados;109186;;;;
ARARI;194;6;;;;;;GRANDE ILHA*;
AXIXÁ;121;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3050;44;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;54747;45%;;Leitos ocupados;86
BACURI;386;3;;MULHER;66834;55%;;Leitos livres;296
BACURITUBA;31;0;;;;;;% de ocupação;22,51%
BALSAS;2552;16;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2597;20;;3021;2921;54;;Total de leitos UTI;152
BARREIRINHAS;453;21;;;;;;Leitos ocupados UTI;71
BELA VISTA DO MARANHÃO;119;2;;;;;;Leitos livres;81
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;46,71%
