;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3260
AÇAILÂNDIA;3052;80;;4.543;172.152;144895;;10 a 19 anos;9877
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;23220
ÁGUA DOCE DO MARANHÃO;595;5;;CASOS NOVOS;;;;30 a 39 anos;30705
ALCÂNTARA;44;6;;Grande Ilha;84;;;40 a 49 anos;24437
ALDEIAS ALTAS;802;4;;Imperatriz;9;;;50 a 59 anos;16954
ALTAMIRA DO MARANHÃO;262;5;;Demais Regiões;402;;;60 a 70 anos;12411
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;10052
ALTO ALEGRE DO PINDARÉ;1331;19;;;;;;Não informado;13979
ALTO PARNAÍBA;195;2;;CASOS CONFIRMADOS;;;;TOTAL;144895
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;834;16;;Ativos;8064;Isolamento Domiciliar ;7575;;
ANAJATUBA;324;8;;;;Internação Enfermaria;295;Rede Pública;255
ANAPURUS;710;6;;;;;;Rede Privada;40
APICUM-AÇU;197;3;;;;Internação UTI;194;Rede Pública;168
ARAGUANÃ;495;2;;;;;;Rede Privada;26
ARAIOSES;543;10;;Óbitos;3365;;;; 
ARAME;814;7;;Recuperados;133466;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;124;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3126;48;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;65095;45%;;Leitos ocupados;71
BACURI;412;3;;MULHER;79800;55%;;Leitos livres;311
BACURITUBA;39;0;;;;;;% de ocupação;18,59%
BALSAS;4722;30;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3174;24;;3259;3172;59;;Total de leitos UTI;152
BARREIRINHAS;634;23;;;;;;Leitos ocupados UTI;56
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;96
BELÁGUA;212;1;;TESTES REALIZADOS;;;;% de ocupação UTI;36,84%
BENEDITO LEITE;99;0;;LABORATÓRIO PÚBLICO;1266;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;86;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;318.375;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;319727;;;Total de leitos;578
BOM JARDIM;809;22;;;;;;Leitos ocupados;112
BOM JESUS DAS SELVAS;1489;10;;;;;;Leitos livres;466
BOM LUGAR;206;1;;ÓBITOS DE COVID-19;;;;% de ocupação;19,38%
BREJO;641;18;;;;;;;
BREJO DE AREIA;196;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;513;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;247;0;;10 a 19 anos;15;;;Leitos ocupados UTI;66
BURITICUPU;2175;4;;20 a 29 anos;33;;;Leitos livres;149
BURITIRANA;235;6;;30 a 39 anos;107;;;% de ocupação UTI;30,70%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;192;;;;
CAJAPIÓ;5;2;;50 a 59 anos;357;;;IMPERATRIZ;
CAJARI;125;4;;60 a 69 anos;775;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;357;4;;Mais de 70 anos;1867;;;Total de leitos;81
