;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1721
AÇAILÂNDIA;2696;62;;6360;110505;99830;;10 a 19 anos;5624
AFONSO CUNHA;101;1;;;;;;20 a 29 anos;14773
ÁGUA DOCE DO MARANHÃO;499;5;;CASOS NOVOS;;;;30 a 39 anos;20483
ALCÂNTARA;34;5;;Grande Ilha;110;;;40 a 49 anos;16514
ALDEIAS ALTAS;127;0;;Imperatriz;15;;;50 a 59 anos;11533
ALTAMIRA DO MARANHÃO;179;5;;Demais Regiões;753;;;60 a 70 anos;8650
ALTO ALEGRE DO MARANHÃO;321;11;;;;;;Mais de 70 anos;7323
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13209
ALTO PARNAÍBA;87;1;;CASOS CONFIRMADOS;;;;TOTAL;99830
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;594;11;;Ativos;18345;Isolamento Domiciliar ;17653;;
ANAJATUBA;255;6;;;;Internação Enfermaria;377;Rede Pública;314
ANAPURUS;661;6;;;;;;Rede Privada;63
APICUM-AÇU;197;3;;;;Internação UTI;315;Rede Pública;271
ARAGUANÃ;427;2;;;;;;Rede Privada;44
ARAIOSES;458;8;;Óbitos;2501;;;;
ARAME;159;4;;Recuperados;78.984;;;;
ARARI;163;4;;;;;;GRANDE ILHA*;
AXIXÁ;90;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2600;32;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;128;1;;HOMEM;44986;45%;;Leitos ocupados;99
BACURI;372;2;;MULHER;54844;55%;;Leitos livres;283
BACURITUBA;19;0;;;;;;% de ocupação;25,92%
BALSAS;1526;10;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2042;16;;2671;2563;50;;Total de leitos UTI;164
BARREIRINHAS;370;18;;;;;;Leitos ocupados UTI;130
BELA VISTA DO MARANHÃO;111;2;;;;;;Leitos livres;34
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;79,27%
BENEDITO LEITE;28;0;;LABORATÓRIO PÚBLICO;2566;;;;
BEQUIMÃO;179;10;;LABORATÓRIO PRIVADO;54;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;208.644;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;12;2;;TOTAL;211264;;;Total de leitos;618
BOM JARDIM;583;14;;;;;;Leitos ocupados;165
BOM JESUS DAS SELVAS;857;4;;;;;;Leitos livres;453
BOM LUGAR;148;0;;ÓBITOS DE COVID-19;;;;% de ocupação;26,70%
BREJO;487;13;;;;;;;
BREJO DE AREIA;106;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;259;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;74;0;;10 a 19 anos;13;;;Leitos ocupados UTI;93
BURITICUPU;1519;4;;20 a 29 anos;25;;;Leitos livres;126
BURITIRANA;209;6;;30 a 39 anos;84;;;% de ocupação UTI;42,47%
CACHOEIRA GRANDE;116;3;;40 a 49 anos;145;;;;
CAJAPIÓ;5;2;;50 a 59 anos;267;;;IMPERATRIZ;
CAJARI;120;1;;60 a 69 anos;600;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;189;1;;Mais de 70 anos;1352;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2501;;;Leitos ocupados;50
CANTANHEDE;378;2;;;;;;Leitos livres;31
CAPINZAL DO NORTE;266;0;;;;;;% de ocupação;61,73%
CAROLINA;162;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;255;15;;HOMEM;1550;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2099;38;;MULHER;951;38%;;Total de leitos UTI;54
CEDRAL;96;0;;;;;;Leitos ocupados UTI;48
CENTRAL DO MARANHÃO;16;1;;;;;;Leitos livres;6
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;88,89%
CENTRO NOVO DO MARANHÃO;331;5;;COM COMORBIDADES ;2179;87%;;;
CHAPADINHA;2335;28;;SEM COMORBIDADES ;322;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;225;0;;;;;;;
CODÓ;1788;15;;;;;;;
COELHO NETO;1205;27;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;713;15;;NEUROLÓGICO;150;;;;
CONCEIÇÃO DO LAGO-AÇU;139;3;;ONCOLÓGICO;97;;;RAÇA/COR;
COROATÁ;593;7;;PNEUMOPATIA;24;;;AMARELA;14.069
CURURUPU;296;7;;CARDIOPATIA;290;;;BRANCA;8.514
DAVINÓPOLIS;201;7;;DOENÇA RENAL CRÔNICA;145;;;INDIGENA;367
DOM PEDRO;48;1;;DIABETES MELITUS;973;;;PARDA;33.592
DUQUE BACELAR;255;3;;HIPERTENSÃO ARTERIAL;1410;;;PRETA;3.277
ESPERANTINÓPOLIS;543;11;;SEM COMORBIDADES;362;;;SEM INFORMAÇÃO;40.011
ESTREITO;690;7;;OBESIDADE;108;;;TOTAL;99.830
FEIRA NOVA DO MARANHÃO;42;1;;OUTROS;340;;;;
FERNANDO FALCÃO;462;0;;;;;;;
FORMOSA DA SERRA NEGRA;123;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;106;0;;;;;;ÓBITOS RAÇA/COR;
FORTUNA;166;0;;;;;;AMARELA;190
GODOFREDO VIANA;66;3;;;;;;BRANCA;240
GONÇALVES DIAS;171;1;;;;;;INDIGENA;8
GOVERNADOR ARCHER;204;0;;;;;;PARDA;1.107
GOVERNADOR EDISON LOBÃO;174;4;;;;;;PRETA;151
GOVERNADOR EUGÊNIO BARROS;144;0;;;;;;SEM INFORMAÇÃO;805
GOVERNADOR LUIZ ROCHA;41;0;;;;;;TOTAL;2.501
GOVERNADOR NEWTON BELLO;360;4;;;;;;;
GOVERNADOR NUNES FREIRE;581;1;;;;;;;
GRAÇA ARANHA;112;2;;;;;;;
GRAJAÚ;1284;19;;;;;;;
GUIMARÃES;154;4;;;;;;;
HUMBERTO DE CAMPOS;255;3;;;;;;;
ICATU;167;6;;;;;;;
IGARAPÉ DO MEIO;169;7;;;;;;;
IGARAPÉ GRANDE;716;5;;;;;;;
IMPERATRIZ;4433;214;;;;;;;
ITAIPAVA DO GRAJAÚ;129;0;;;;;;;
ITAPECURU-MIRIM;481;7;;;;;;;
ITINGA DO MARANHÃO;431;10;;;;;;;
JATOBÁ;29;0;;;;;;;
JENIPAPO DOS VIEIRAS;137;2;;;;;;;
JOÃO LISBOA;206;8;;;;;;;
JOSELÂNDIA;284;0;;;;;;;
JUNCO DO MARANHÃO;101;0;;;;;;;
LAGO DA PEDRA;941;40;;;;;;;
LAGO DO JUNCO;121;1;;;;;;;
LAGO DOS RODRIGUES;187;3;;;;;;;
LAGO VERDE;351;2;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;38;0;;;;;;;
LIMA CAMPOS;455;4;;;;;;;
LORETO;41;0;;;;;;;
LUÍS DOMINGUES;50;1;;;;;;;
MAGALHÃES DE ALMEIDA;106;4;;;;;;;
MARACAÇUMÉ;416;1;;;;;;;
MARAJÁ DO SENA;117;2;;;;;;;
MARANHÃOZINHO;307;3;;;;;;;
MATA ROMA;327;6;;;;;;;
MATINHA;203;1;;;;;;;
MATÕES;146;1;;;;;;;
MATÕES DO NORTE;152;1;;;;;;;
MILAGRES DO MARANHÃO;112;1;;;;;;;
MIRADOR;164;1;;;;;;;
MIRANDA DO NORTE;137;5;;;;;;;
MIRINZAL;91;6;;;;;;;
MONÇÃO;253;13;;;;;;;
MONTES ALTOS;152;2;;;;;;;
MORROS;123;5;;;;;;;
NINA RODRIGUES;120;3;;;;;;;
NOVA COLINAS;8;0;;;;;;;
NOVA IORQUE;10;0;;;;;;;
NOVA OLINDA DO MARANHÃO;259;2;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;367;3;;;;;;;
OLINDA NOVA DO MARANHÃO;195;4;;;;;;;
PAÇO DO LUMIAR;478;71;;;;;;;
PALMEIRÂNDIA;32;3;;;;;;;
PARAIBANO;172;1;;;;;;;
PARNARAMA;105;1;;;;;;;
PASSAGEM FRANCA;76;0;;;;;;;
PASTOS BONS;53;1;;;;;;;
PAULINO NEVES;114;1;;;;;;;
PAULO RAMOS;495;5;;;;;;;
PEDREIRAS;1207;23;;;;;;;
PEDRO DO ROSÁRIO;86;1;;;;;;;
PENALVA;197;5;;;;;;;
PERI-MIRIM;153;1;;;;;;;
PERITORÓ;319;2;;;;;;;
PINDARÉ-MIRIM;487;6;;;;;;;
PINHEIRO;1339;25;;;;;;;
PIO XII;699;4;;;;;;;
PIRAPEMAS;237;2;;;;;;;
POÇÃO DE PEDRAS;333;1;;;;;;;
PORTO FRANCO;287;6;;;;;;;
PORTO RICO DO MARANHÃO;81;1;;;;;;;
PRESIDENTE DUTRA;886;3;;;;;;;
PRESIDENTE JUSCELINO;27;0;;;;;;;
PRESIDENTE MÉDICI;168;0;;;;;;;
PRESIDENTE SARNEY;164;6;;;;;;;
PRESIDENTE VARGAS;37;1;;;;;;;
PRIMEIRA CRUZ;38;1;;;;;;;
RAPOSA;112;13;;;;;;;
RIACHÃO;64;1;;;;;;;
RIBAMAR FIQUENE;125;6;;;;;;;
ROSÁRIO;309;8;;;;;;;
SAMBAÍBA;4;0;;;;;;;
SANTA FILOMENA DO MARANHÃO;21;0;;;;;;;
SANTA HELENA;1133;6;;;;;;;
SANTA INÊS;3751;56;;;;;;;
SANTA LUZIA;1737;10;;;;;;;
SANTA LUZIA DO PARUÁ;270;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;435;12;;;;;;;
SANTA RITA;208;6;;;;;;;
SANTANA DO MARANHÃO;105;1;;;;;;;
SANTO AMARO DO MARANHÃO;46;1;;;;;;;
SANTO ANTÔNIO DOS LOPES;453;2;;;;;;;
SÃO BENEDITO DO RIO PRETO;570;5;;;;;;;
SÃO BENTO;453;3;;;;;;;
SÃO BERNARDO;677;10;;;;;;;
SÃO DOMINGOS DO AZEITÃO;44;0;;;;;;;
SÃO DOMINGOS DO MARANHÃO;442;2;;;;;;;
SÃO FÉLIX DE BALSAS;11;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;213;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;17;0;;;;;;;
SÃO JOÃO BATISTA;104;4;;;;;;;
SÃO JOÃO DO CARÚ;259;3;;;;;;;
SÃO JOÃO DO PARAÍSO;50;1;;;;;;;
SÃO JOÃO DO SÓTER;164;2;;;;;;;
SÃO JOÃO DOS PATOS;87;5;;;;;;;
SÃO JOSÉ DE RIBAMAR;967;95;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;63;0;;;;;;;
SÃO LUÍS;14437;980;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;214;1;;;;;;;
SÃO MATEUS DO MARANHÃO;832;19;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;257;1;;;;;;;
SÃO PEDRO DOS CRENTES;69;0;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;316;2;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;73;2;;;;;;;
SÃO ROBERTO;65;1;;;;;;;
SÃO VICENTE FERRER;116;1;;;;;;;
SATUBINHA;114;1;;;;;;;
SENADOR ALEXANDRE COSTA;170;1;;;;;;;
SENADOR LA ROCQUE;155;8;;;;;;;
SERRANO DO MARANHÃO;109;1;;;;;;;
SÍTIO NOVO;237;3;;;;;;;
SUCUPIRA DO NORTE;11;0;;;;;;;
SUCUPIRA DO RIACHÃO;13;0;;;;;;;
TASSO FRAGOSO;34;0;;;;;;;
TIMBIRAS;272;3;;;;;;;
TIMON;1795;42;;;;;;;
TRIZIDELA DO VALE;543;5;;;;;;;
TUFILÂNDIA;35;3;;;;;;;
TUNTUM;661;3;;;;;;;
TURIAÇU;185;2;;;;;;;
TURILÂNDIA;267;3;;;;;;;
TUTÓIA;769;18;;;;;;;
URBANO SANTOS;889;10;;;;;;;
VARGEM GRANDE;565;7;;;;;;;
VIANA;224;10;;;;;;;
VILA NOVA DOS MARTÍRIOS;119;0;;;;;;;
VITÓRIA DO MEARIM;562;2;;;;;;;
VITORINO FREIRE;1105;16;;;;;;;
ZÉ DOCA;2461;27;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
