;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4002
AÇAILÂNDIA;3160;83;;5.217;187.765;159163;;10 a 19 anos;11251
AFONSO CUNHA;145;2;;;;;;20 a 29 anos;25808
ÁGUA DOCE DO MARANHÃO;634;5;;CASOS NOVOS;;;;30 a 39 anos;33888
ALCÂNTARA;45;7;;Grande Ilha;60;;;40 a 49 anos;26871
ALDEIAS ALTAS;863;4;;Imperatriz;31;;;50 a 59 anos;18760
ALTAMIRA DO MARANHÃO;269;5;;Demais Regiões;762;;;60 a 70 anos;13549
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;10990
ALTO ALEGRE DO PINDARÉ;1383;19;;;;;;Não informado;14044
ALTO PARNAÍBA;260;2;;CASOS CONFIRMADOS;;;;TOTAL;159163
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;913;18;;Ativos;7375;Isolamento Domiciliar ;6942;;
ANAJATUBA;330;8;;;;Internação Enfermaria;254;Rede Pública;205
ANAPURUS;710;6;;;;;;Rede Privada;49
APICUM-AÇU;197;3;;;;Internação UTI;179;Rede Pública;156
ARAGUANÃ;523;2;;;;;;Rede Privada;23
ARAIOSES;564;10;;Óbitos;3529;;;; 
ARAME;897;9;;Recuperados;148259;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;132;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3200;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;71308;45%;;Leitos ocupados;60
BACURI;412;3;;MULHER;87855;55%;;Leitos livres;322
BACURITUBA;39;0;;;;;;% de ocupação;15,71%
BALSAS;5874;43;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3561;28;;3376;3288;62;;Total de leitos UTI;152
BARREIRINHAS;834;23;;;;;;Leitos ocupados UTI;51
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;101
BELÁGUA;245;1;;TESTES REALIZADOS;;;;% de ocupação UTI;33,55%
BENEDITO LEITE;171;0;;LABORATÓRIO PÚBLICO;1228;;;;
BEQUIMÃO;212;11;;LABORATÓRIO PRIVADO;244;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;348.137;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;349609;;;Total de leitos;552
BOM JARDIM;843;22;;;;;;Leitos ocupados;89
BOM JESUS DAS SELVAS;1556;10;;;;;;Leitos livres;463
BOM LUGAR;256;1;;ÓBITOS DE COVID-19;;;;% de ocupação;16,12%
BREJO;662;18;;;;;;;
BREJO DE AREIA;197;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;584;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;330;1;;10 a 19 anos;15;;;Leitos ocupados UTI;63
BURITICUPU;2195;4;;20 a 29 anos;35;;;Leitos livres;152
BURITIRANA;236;6;;30 a 39 anos;111;;;% de ocupação UTI;29,30%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;204;;;;
CAJAPIÓ;5;2;;50 a 59 anos;380;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;803;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;417;4;;Mais de 70 anos;1962;;;Total de leitos;81
CÂNDIDO MENDES;86;4;;TOTAL;3529;;;Leitos ocupados;56
CANTANHEDE;381;3;;;;;;Leitos livres;25
CAPINZAL DO NORTE;361;1;;;;;;% de ocupação;69,14%
CAROLINA;354;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;356;17;;HOMEM;2172;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;4007;78;;MULHER;1357;38%;;Total de leitos UTI;54
CEDRAL;132;0;;;;;;Leitos ocupados UTI;42
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;12
CENTRO DO GUILHERME;344;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;77,78%
