;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4276
AÇAILÂNDIA;3247;84;;4.706;196.669;164770;;10 a 19 anos;11818
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26776
ÁGUA DOCE DO MARANHÃO;642;5;;CASOS NOVOS;;;;30 a 39 anos;35003
ALCÂNTARA;172;7;;Grande Ilha;102;;;40 a 49 anos;27773
ALDEIAS ALTAS;887;4;;Imperatriz;50;;;50 a 59 anos;19417
ALTAMIRA DO MARANHÃO;272;5;;Demais Regiões;816;;;60 a 70 anos;14149
ALTO ALEGRE DO MARANHÃO;355;12;;;;;;Mais de 70 anos;11409
ALTO ALEGRE DO PINDARÉ;1422;19;;;;;;Não informado;14149
ALTO PARNAÍBA;282;2;;CASOS CONFIRMADOS;;;;TOTAL;164770
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;971;18;;Ativos;5763;Isolamento Domiciliar ;5386;;
ANAJATUBA;334;8;;;;Internação Enfermaria;229;Rede Pública;182
ANAPURUS;710;6;;;;;;Rede Privada;47
APICUM-AÇU;197;3;;;;Internação UTI;148;Rede Pública;126
ARAGUANÃ;532;2;;;;;;Rede Privada;22
ARAIOSES;576;10;;Óbitos;3611;;;; 
ARAME;908;9;;Recuperados;155396;;;;
ARARI;200;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3265;51;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;149;2;;HOMEM;73563;45%;;Leitos ocupados;54
BACURI;416;3;;MULHER;91207;55%;;Leitos livres;328
BACURITUBA;45;0;;;;;;% de ocupação;14,14%
BALSAS;6094;50;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3697;31;;3417;3333;64;;Total de leitos UTI;152
BARREIRINHAS;872;23;;;;;;Leitos ocupados UTI;47
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;105
BELÁGUA;247;1;;TESTES REALIZADOS;;;;% de ocupação UTI;30,92%
BENEDITO LEITE;178;0;;LABORATÓRIO PÚBLICO;2210;;;;
BEQUIMÃO;232;11;;LABORATÓRIO PRIVADO;49;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;50;3;;BOLETIM ANTERIOR;361.861;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;364120;;;Total de leitos;552
BOM JARDIM;892;23;;;;;;Leitos ocupados;70
BOM JESUS DAS SELVAS;1589;10;;;;;;Leitos livres;466
BOM LUGAR;257;1;;ÓBITOS DE COVID-19;;;;% de ocupação;12,68%
BREJO;679;18;;;;;;;
BREJO DE AREIA;201;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;604;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;413;1;;10 a 19 anos;15;;;Leitos ocupados UTI;40
BURITICUPU;2305;4;;20 a 29 anos;36;;;Leitos livres;175
BURITIRANA;236;6;;30 a 39 anos;117;;;% de ocupação UTI;18,60%
CACHOEIRA GRANDE;172;4;;40 a 49 anos;210;;;;
CAJAPIÓ;5;2;;50 a 59 anos;389;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;813;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;446;6;;Mais de 70 anos;2012;;;Total de leitos;81
CÂNDIDO MENDES;87;4;;TOTAL;3611;;;Leitos ocupados;58
CANTANHEDE;381;4;;;;;;Leitos livres;23
CAPINZAL DO NORTE;363;1;;;;;;% de ocupação;71,60%
CAROLINA;374;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;358;17;;HOMEM;2221;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;4340;87;;MULHER;1390;38%;;Total de leitos UTI;54
CEDRAL;144;0;;;;;;Leitos ocupados UTI;39
