;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2569
AÇAILÂNDIA;2863;72;;3.993;149.509;127065;;10 a 19 anos;8188
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;19780
ÁGUA DOCE DO MARANHÃO;575;5;;CASOS NOVOS;;;;30 a 39 anos;26395
ALCÂNTARA;40;6;;Grande Ilha;110;;;40 a 49 anos;21152
ALDEIAS ALTAS;596;0;;Imperatriz;21;;;50 a 59 anos;14792
ALTAMIRA DO MARANHÃO;245;5;;Demais Regiões;1.475;;;60 a 70 anos;10944
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8954
ALTO ALEGRE DO PINDARÉ;1270;5;;;;;;Não informado;14291
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;127065
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;773;15;;Ativos;7765;Isolamento Domiciliar ;7289;;
ANAJATUBA;318;8;;;;Internação Enfermaria;282;Rede Pública;238
ANAPURUS;676;6;;;;;;Rede Privada;44
APICUM-AÇU;197;3;;;;Internação UTI;194;Rede Pública;168
ARAGUANÃ;478;2;;;;;;Rede Privada;26
ARAIOSES;528;10;;Óbitos;3120;;;; 
ARAME;641;6;;Recuperados;116180;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3058;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;57241;45%;;Leitos ocupados;84
