;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3459
AÇAILÂNDIA;3063;80;;5.633;176.787;148923;;10 a 19 anos;10298
AFONSO CUNHA;137;2;;;;;;20 a 29 anos;23986
ÁGUA DOCE DO MARANHÃO;596;5;;CASOS NOVOS;;;;30 a 39 anos;31608
ALCÂNTARA;45;7;;Grande Ilha;92;;;40 a 49 anos;25137
ALDEIAS ALTAS;830;4;;Imperatriz;12;;;50 a 59 anos;17468
ALTAMIRA DO MARANHÃO;264;5;;Demais Regiões;1.143;;;60 a 70 anos;12719
ALTO ALEGRE DO MARANHÃO;331;11;;;;;;Mais de 70 anos;10272
ALTO ALEGRE DO PINDARÉ;1353;19;;;;;;Não informado;13976
ALTO PARNAÍBA;209;2;;CASOS CONFIRMADOS;;;;TOTAL;148923
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;837;16;;Ativos;8285;Isolamento Domiciliar ;7820;;
ANAJATUBA;323;8;;;;Internação Enfermaria;283;Rede Pública;242
ANAPURUS;709;6;;;;;;Rede Privada;41
APICUM-AÇU;197;3;;;;Internação UTI;182;Rede Pública;158
ARAGUANÃ;495;2;;;;;;Rede Privada;24
ARAIOSES;549;10;;Óbitos;3402;;;; 
ARAME;834;7;;Recuperados;137236;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;125;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3142;48;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;66810;45%;;Leitos ocupados;70
BACURI;412;3;;MULHER;82113;55%;;Leitos livres;312
BACURITUBA;39;0;;;;;;% de ocupação;18,32%
BALSAS;5022;34;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3291;24;;3292;3205;61;;Total de leitos UTI;152
BARREIRINHAS;720;23;;;;;;Leitos ocupados UTI;54
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;98
BELÁGUA;213;1;;TESTES REALIZADOS;;;;% de ocupação UTI;35,53%
BENEDITO LEITE;104;0;;LABORATÓRIO PÚBLICO;2470;;;;
BEQUIMÃO;207;10;;LABORATÓRIO PRIVADO;270;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;325.650;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;328390;;;Total de leitos;578
BOM JARDIM;816;22;;;;;;Leitos ocupados;101
BOM JESUS DAS SELVAS;1503;10;;;;;;Leitos livres;477
BOM LUGAR;206;1;;ÓBITOS DE COVID-19;;;;% de ocupação;17,47%
BREJO;647;18;;;;;;;
BREJO DE AREIA;196;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;544;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;311;1;;10 a 19 anos;15;;;Leitos ocupados UTI;59
BURITICUPU;2172;4;;20 a 29 anos;34;;;Leitos livres;156
BURITIRANA;236;6;;30 a 39 anos;109;;;% de ocupação UTI;27,44%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;198;;;;
CAJAPIÓ;5;2;;50 a 59 anos;361;;;IMPERATRIZ;
CAJARI;125;4;;60 a 69 anos;781;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;365;4;;Mais de 70 anos;1885;;;Total de leitos;81
CÂNDIDO MENDES;43;4;;TOTAL;3402;;;Leitos ocupados;71
CANTANHEDE;381;3;;;;;;Leitos livres;10
CAPINZAL DO NORTE;349;1;;;;;;% de ocupação;87,65%
CAROLINA;314;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;341;17;;HOMEM;2091;61%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3778;72;;MULHER;1311;39%;;Total de leitos UTI;54
CEDRAL;121;0;;;;;;Leitos ocupados UTI;45
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;9
CENTRO DO GUILHERME;339;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;83,33%
CENTRO NOVO DO MARANHÃO;605;7;;COM COMORBIDADES ;2869;85%;;;
