;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2022
AÇAILÂNDIA;2785;66;;5.606;126.371;109.731;;10 a 19 anos;6544
AFONSO CUNHA;128;2;;;;;;20 a 29 anos;16522
ÁGUA DOCE DO MARANHÃO;540;5;;CASOS NOVOS;;;;30 a 39 anos;22572
ALCÂNTARA;37;5;;Grande Ilha;103;;;40 a 49 anos;18206
ALDEIAS ALTAS;279;0;;Imperatriz;1;;;50 a 59 anos;12750
ALTAMIRA DO MARANHÃO;209;5;;Demais Regiões;1.473;;;60 a 70 anos;9512
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;7955
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13648
ALTO PARNAÍBA;96;1;;CASOS CONFIRMADOS;;;;TOTAL;109731
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;659;11;;Ativos;12455;Isolamento Domiciliar ;11851;;
ANAJATUBA;280;6;;;;Internação Enfermaria;350;Rede Pública;294
ANAPURUS;647;6;;;;;;Rede Privada;56
APICUM-AÇU;197;3;;;;Internação UTI;254;Rede Pública;217
ARAGUANÃ;434;2;;;;;;Rede Privada;37
ARAIOSES;501;9;;Óbitos;2.810;;;;
ARAME;213;4;;Recuperados;94466;;;;
ARARI;186;6;;;;;;GRANDE ILHA*;
AXIXÁ;104;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2906;37;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;49377;45%;;Leitos ocupados;94
BACURI;377;2;;MULHER;60354;55%;;Leitos livres;288
BACURITUBA;21;0;;;;;;% de ocupação;24,61%
BALSAS;1943;12;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2273;18;;2805;2710;54;;Total de leitos UTI;152
BARREIRINHAS;400;18;;;;;;Leitos ocupados UTI;90
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;62
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;59,21%
BENEDITO LEITE;42;0;;LABORATÓRIO PÚBLICO;2939;;;;
BEQUIMÃO;195;10;;LABORATÓRIO PRIVADO;413;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;235.399;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;238751;;;Total de leitos;618
BOM JARDIM;636;16;;;;;;Leitos ocupados;146
BOM JESUS DAS SELVAS;1107;7;;;;;;Leitos livres;472
BOM LUGAR;162;0;;ÓBITOS DE COVID-19;;;;% de ocupação;23,62%
BREJO;559;15;;;;;;;
BREJO DE AREIA;111;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
