;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1679
AÇAILÂNDIA;2611;61;;6795;107264;98398;;10 a 19 anos;5511
AFONSO CUNHA;101;1;;;;;;20 a 29 anos;14523
ÁGUA DOCE DO MARANHÃO;446;5;;CASOS NOVOS;;;;30 a 39 anos;20170
ALCÂNTARA;34;5;;Grande Ilha;102;;;40 a 49 anos;16259
ALDEIAS ALTAS;117;0;;Imperatriz;6;;;50 a 59 anos;11348
ALTAMIRA DO MARANHÃO;176;5;;Demais Regiões;1.572;;;60 a 70 anos;8525
ALTO ALEGRE DO MARANHÃO;320;10;;;;;;Mais de 70 anos;7233
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13150
ALTO PARNAÍBA;79;1;;CASOS CONFIRMADOS;;;;TOTAL;98398
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;589;11;;Ativos;19051;Isolamento Domiciliar ;18293;;
ANAJATUBA;255;6;;;;Internação Enfermaria;429;Rede Pública;366
ANAPURUS;661;6;;;;;;Rede Privada;63
APICUM-AÇU;197;3;;;;Internação UTI;329;Rede Pública;284
ARAGUANÃ;427;2;;;;;;Rede Privada;45
ARAIOSES;457;8;;Óbitos;2426;;;;
ARAME;156;4;;Recuperados;76921;;;;
ARARI;163;4;;;;;;GRANDE ILHA*;
AXIXÁ;90;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2517;27;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;128;1;;HOMEM;44367;45%;;Leitos ocupados;101
BACURI;371;2;;MULHER;54031;55%;;Leitos livres;281
BACURITUBA;19;0;;;;;;% de ocupação;26,44%
BALSAS;1429;10;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;0;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;1986;16;;2659;2540;50;;Total de leitos UTI;164
BARREIRINHAS;364;18;;;;;;Leitos ocupados UTI;135
BELA VISTA DO MARANHÃO;111;2;;;;;;Leitos livres;29
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;82,32%
BENEDITO LEITE;28;0;;LABORATÓRIO PÚBLICO;3522;;;;
BEQUIMÃO;179;9;;LABORATÓRIO PRIVADO;411;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;202658;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;206591;;;Total de leitos;618
BOM JARDIM;582;9;;;;;;Leitos ocupados;209
BOM JESUS DAS SELVAS;856;4;;;;;;Leitos livres;409
BOM LUGAR;147;0;;ÓBITOS DE COVID-19;;;;% de ocupação;33,82%
BREJO;481;11;;;;;;;
BREJO DE AREIA;105;0;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;259;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;66;0;;10 a 19 anos;13;;;Leitos ocupados UTI;103
BURITICUPU;1497;4;;20 a 29 anos;24;;;Leitos livres;116
BURITIRANA;208;6;;30 a 39 anos;83;;;% de ocupação UTI;47,03%
CACHOEIRA GRANDE;116;3;;40 a 49 anos;143;;;;
CAJAPIÓ;5;2;;50 a 59 anos;259;;;IMPERATRIZ;
