;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1894
AÇAILÂNDIA;2804;63;;6100;118861;105183;;10 a 19 anos;6112
AFONSO CUNHA;128;1;;;;;;20 a 29 anos;15762
ÁGUA DOCE DO MARANHÃO;531;5;;CASOS NOVOS;;;;30 a 39 anos;21683
ALCÂNTARA;37;5;;Grande Ilha;77;;;40 a 49 anos;17470
ALDEIAS ALTAS;224;0;;Imperatriz;5;;;50 a 59 anos;12210
ALTAMIRA DO MARANHÃO;202;5;;Demais Regiões;975;;;60 a 70 anos;9112
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;7658
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13282
ALTO PARNAÍBA;94;1;;CASOS CONFIRMADOS;;;;TOTAL;105183
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;637;11;;Ativos;13512;Isolamento Domiciliar ;12875;;
ANAJATUBA;271;6;;;;Internação Enfermaria;359;Rede Pública;301
ANAPURUS;659;6;;;;;;Rede Privada;58
APICUM-AÇU;197;3;;;;Internação UTI;278;Rede Pública;240
ARAGUANÃ;426;2;;;;;;Rede Privada;38
ARAIOSES;482;8;;Óbitos;2640;;;;
ARAME;189;4;;Recuperados;89031;;;;
ARARI;184;6;;;;;;GRANDE ILHA*;
AXIXÁ;95;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2761;34;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;47261;45%;;Leitos ocupados;89
BACURI;376;2;;MULHER;57922;55%;;Leitos livres;293
