;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3246
AÇAILÂNDIA;3052;79;;4.504;171.295;144400;;10 a 19 anos;9832
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;23129
ÁGUA DOCE DO MARANHÃO;595;5;;CASOS NOVOS;;;;30 a 39 anos;30582
ALCÂNTARA;44;6;;Grande Ilha;90;;;40 a 49 anos;24350
ALDEIAS ALTAS;802;4;;Imperatriz;9;;;50 a 59 anos;16902
ALTAMIRA DO MARANHÃO;262;5;;Demais Regiões;428;;;60 a 70 anos;12366
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;10014
ALTO ALEGRE DO PINDARÉ;1331;19;;;;;;Não informado;13979
ALTO PARNAÍBA;193;2;;CASOS CONFIRMADOS;;;;TOTAL;144400
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;834;16;;Ativos;8326;Isolamento Domiciliar ;7832;;
ANAJATUBA;324;8;;;;Internação Enfermaria;295;Rede Pública;255
ANAPURUS;710;6;;;;;;Rede Privada;40
APICUM-AÇU;197;3;;;;Internação UTI;199;Rede Pública;175
ARAGUANÃ;495;2;;;;;;Rede Privada;24
ARAIOSES;543;10;;Óbitos;3352;;;; 
ARAME;804;7;;Recuperados;132722;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;124;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3125;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;64877;45%;;Leitos ocupados;75
BACURI;412;3;;MULHER;79523;55%;;Leitos livres;307
BACURITUBA;39;0;;;;;;% de ocupação;19,63%
BALSAS;4690;29;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3174;24;;3259;3170;59;;Total de leitos UTI;152
BARREIRINHAS;621;23;;;;;;Leitos ocupados UTI;60
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;92
BELÁGUA;212;1;;TESTES REALIZADOS;;;;% de ocupação UTI;39,47%
BENEDITO LEITE;99;0;;LABORATÓRIO PÚBLICO;788;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;55;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;317.532;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;318375;;;Total de leitos;578
BOM JARDIM;809;22;;;;;;Leitos ocupados;112
BOM JESUS DAS SELVAS;1488;10;;;;;;Leitos livres;466
BOM LUGAR;205;1;;ÓBITOS DE COVID-19;;;;% de ocupação;19,38%
BREJO;640;18;;;;;;;
BREJO DE AREIA;196;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;513;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;247;0;;10 a 19 anos;15;;;Leitos ocupados UTI;68
BURITICUPU;2160;4;;20 a 29 anos;33;;;Leitos livres;147
BURITIRANA;235;6;;30 a 39 anos;107;;;% de ocupação UTI;31,63%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;191;;;;
CAJAPIÓ;5;2;;50 a 59 anos;357;;;IMPERATRIZ;
CAJARI;125;4;;60 a 69 anos;772;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;357;4;;Mais de 70 anos;1858;;;Total de leitos;81
CÂNDIDO MENDES;40;4;;TOTAL;3352;;;Leitos ocupados;68
CANTANHEDE;381;3;;;;;;Leitos livres;13
CAPINZAL DO NORTE;347;1;;;;;;% de ocupação;83,95%
CAROLINA;313;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;330;17;;HOMEM;2058;61%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3723;70;;MULHER;1294;39%;;Total de leitos UTI;54
CEDRAL;121;0;;;;;;Leitos ocupados UTI;47
CENTRAL DO MARANHÃO;21;1;;;;;;Leitos livres;7
CENTRO DO GUILHERME;332;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;87,04%
CENTRO NOVO DO MARANHÃO;600;7;;COM COMORBIDADES ;2838;85%;;;
CHAPADINHA;2665;44;;SEM COMORBIDADES ;514;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;281;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1502;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1464;26;;NEUROLÓGICO;191;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;127;;;RAÇA/COR;
COROATÁ;980;10;;PNEUMOPATIA;50;;;AMARELA;27.236
CURURUPU;491;7;;CARDIOPATIA;413;;;BRANCA;15.282
DAVINÓPOLIS;242;7;;DOENÇA RENAL CRÔNICA;193;;;INDIGENA;979
DOM PEDRO;285;2;;DIABETES MELITUS;1281;;;PARDA;54.142
DUQUE BACELAR;334;7;;HIPERTENSÃO ARTERIAL;1844;;;PRETA;5.391
ESPERANTINÓPOLIS;619;13;;SEM COMORBIDADES;514;;;SEM INFORMAÇÃO;41.370
ESTREITO;1539;7;;OBESIDADE;143;;;TOTAL;144.400
FEIRA NOVA DO MARANHÃO;356;2;;OUTROS;452;;;;
FERNANDO FALCÃO;728;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;563;1;;;;;;PARDA;1652
FORTALEZA DOS NOGUEIRAS;483;1;;;;;;BRANCA;409
FORTUNA;416;1;;;;;;PRETA;228
GODOFREDO VIANA;83;3;;;;;;AMARELA;209
GONÇALVES DIAS;323;4;;;;;;INDÍGENA;27
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
