;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2675
AÇAILÂNDIA;2893;75;;3.671;152.555;129700;;10 a 19 anos;8453
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;20404
ÁGUA DOCE DO MARANHÃO;581;5;;CASOS NOVOS;;;;30 a 39 anos;27144
ALCÂNTARA;40;6;;Grande Ilha;94;;;40 a 49 anos;21713
ALDEIAS ALTAS;641;0;;Imperatriz;1;;;50 a 59 anos;15186
ALTAMIRA DO MARANHÃO;250;5;;Demais Regiões;341;;;60 a 70 anos;11171
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;9145
ALTO ALEGRE DO PINDARÉ;1282;6;;;;;;Não informado;14245
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;130136
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;784;15;;Ativos;7527;Isolamento Domiciliar ;7058;;
ANAJATUBA;318;8;;;;Internação Enfermaria;280;Rede Pública;238
ANAPURUS;689;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;189;Rede Pública;163
ARAGUANÃ;479;2;;;;;;Rede Privada;26
ARAIOSES;533;10;;Óbitos;3169;;;; 
ARAME;672;7;;Recuperados;119004;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3073;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;58593;45%;;Leitos ocupados;82
BACURI;403;3;;MULHER;71543;55%;;Leitos livres;300
BACURITUBA;33;0;;;;;;% de ocupação;21,47%
BALSAS;3208;17;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2799;22;;3109;3023;57;;Total de leitos UTI;152
BARREIRINHAS;490;22;;;;;;Leitos ocupados UTI;63
BELA VISTA DO MARANHÃO;121;3;;;;;;Leitos livres;89
BELÁGUA;198;1;;TESTES REALIZADOS;;;;% de ocupação UTI;41,45%
BENEDITO LEITE;83;0;;LABORATÓRIO PÚBLICO;450;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;83;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;284.838;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;285371;;;Total de leitos;578
BOM JARDIM;784;22;;;;;;Leitos ocupados;114
BOM JESUS DAS SELVAS;1405;8;;;;;;Leitos livres;464
BOM LUGAR;184;0;;ÓBITOS DE COVID-19;;;;% de ocupação;19,72%
BREJO;584;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;416;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;159;0;;10 a 19 anos;14;;;Leitos ocupados UTI;68
BURITICUPU;1989;4;;20 a 29 anos;31;;;Leitos livres;147
BURITIRANA;235;6;;30 a 39 anos;103;;;% de ocupação UTI;31,63%
CACHOEIRA GRANDE;170;3;;40 a 49 anos;180;;;;
CAJAPIÓ;5;2;;50 a 59 anos;341;;;IMPERATRIZ;
CAJARI;121;2;;60 a 69 anos;735;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;283;1;;Mais de 70 anos;1746;;;Total de leitos;81
CÂNDIDO MENDES;26;4;;TOTAL;3169;;;Leitos ocupados;42
CANTANHEDE;381;3;;;;;;Leitos livres;39
CAPINZAL DO NORTE;323;1;;;;;;% de ocupação;51,85%
CAROLINA;251;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;291;16;;HOMEM;1954;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3253;70;;MULHER;1215;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;32
CENTRAL DO MARANHÃO;18;1;;;;;;Leitos livres;22
CENTRO DO GUILHERME;325;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;59,26%
CENTRO NOVO DO MARANHÃO;547;7;;COM COMORBIDADES;2687;85%;;;
CHAPADINHA;2571;43;;SEM COMORBIDADES;482;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;267;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1457;34;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1239;25;;NEUROLÓGICO;185;;;;
CONCEIÇÃO DO LAGO-AÇU;147;5;;ONCOLÓGICO;120;;;RAÇA/COR;
COROATÁ;761;10;;PNEUMOPATIA;41;;;AMARELA;23.024
CURURUPU;487;7;;CARDIOPATIA;381;;;BRANCA;13.140
DAVINÓPOLIS;227;7;;DOENÇA RENAL CRÔNICA;184;;;INDIGENA;830
DOM PEDRO;201;2;;DIABETES MELITUS;1217;;;PARDA;47.167
DUQUE BACELAR;314;7;;HIPERTENSÃO ARTERIAL;1759;;;PRETA;4.715
ESPERANTINÓPOLIS;615;12;;SEM COMORBIDADES;482;;;SEM INFORMAÇÃO;41.260
ESTREITO;1157;7;;OBESIDADE;435;;;TOTAL;130.136
