;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2071
AÇAILÂNDIA;2782;66;;5.480;128.608;111488;;10 a 19 anos;6720
AFONSO CUNHA;128;2;;;;;;20 a 29 anos;16802
ÁGUA DOCE DO MARANHÃO;550;5;;CASOS NOVOS;;;;30 a 39 anos;22971
ALCÂNTARA;38;5;;Grande Ilha;114;;;40 a 49 anos;18531
ALDEIAS ALTAS;346;0;;Imperatriz;0;;;50 a 59 anos;12952
ALTAMIRA DO MARANHÃO;215;5;;Demais Regiões;1.643;;;60 a 70 anos;9641
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8064
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13736
ALTO PARNAÍBA;96;1;;CASOS CONFIRMADOS;;;;TOTAL;111488
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;660;11;;Ativos;11797;Isolamento Domiciliar ;11197;;
ANAJATUBA;286;6;;;;Internação Enfermaria;348;Rede Pública;290
ANAPURUS;646;6;;;;;;Rede Privada;58
APICUM-AÇU;197;3;;;;Internação UTI;252;Rede Pública;215
ARAGUANÃ;442;2;;;;;;Rede Privada;37
ARAIOSES;501;9;;Óbitos;2840;;;;
ARAME;238;4;;Recuperados;96851;;;;
ARARI;190;6;;;;;;GRANDE ILHA*;
AXIXÁ;106;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2926;37;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;50164;45%;;Leitos ocupados;92
BACURI;379;2;;MULHER;61324;55%;;Leitos livres;290
BACURITUBA;22;0;;;;;;% de ocupação;24,08%
BALSAS;1988;12;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2378;19;;2813;2722;54;;Total de leitos UTI;152
BARREIRINHAS;400;19;;;;;;Leitos ocupados UTI;87
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;65
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;57,24%
BENEDITO LEITE;43;0;;LABORATÓRIO PÚBLICO;3880;;;;
BEQUIMÃO;196;10;;LABORATÓRIO PRIVADO;114;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;238.751;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;242745;;;Total de leitos;618
BOM JARDIM;639;16;;;;;;Leitos ocupados;146
BOM JESUS DAS SELVAS;1145;7;;;;;;Leitos livres;472
BOM LUGAR;170;0;;ÓBITOS DE COVID-19;;;;% de ocupação;23,62%
BREJO;562;16;;;;;;;
BREJO DE AREIA;111;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;303;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;117;0;;10 a 19 anos;14;;;Leitos ocupados UTI;97
BURITICUPU;1725;4;;20 a 29 anos;29;;;Leitos livres;122
BURITIRANA;209;6;;30 a 39 anos;94;;;% de ocupação UTI;44,29%
CACHOEIRA GRANDE;136;3;;40 a 49 anos;165;;;;
CAJAPIÓ;5;2;;50 a 59 anos;305;;;IMPERATRIZ;
CAJARI;120;1;;60 a 69 anos;668;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;220;1;;Mais de 70 anos;1550;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2840;;;Leitos ocupados;52
CANTANHEDE;378;3;;;;;;Leitos livres;29
CAPINZAL DO NORTE;298;0;;;;;;% de ocupação;64,20%
CAROLINA;197;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;254;15;;HOMEM;1759;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2585;59;;MULHER;1081;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;31
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;23
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;57,41%
CENTRO NOVO DO MARANHÃO;418;5;;COM COMORBIDADES ;2477;87%;;;
CHAPADINHA;2463;38;;SEM COMORBIDADES ;363;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;250;0;;;;;;;
CODÓ;1788;16;;;;;;;
COELHO NETO;1341;31;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;993;21;;NEUROLÓGICO;174;;;;
CONCEIÇÃO DO LAGO-AÇU;144;3;;ONCOLÓGICO;109;;;;
COROATÁ;648;9;;PNEUMOPATIA;33;;;;
CURURUPU;383;7;;CARDIOPATIA;332;;;RAÇA/COR;
DAVINÓPOLIS;209;7;;DOENÇA RENAL CRÔNICA;167;;;AMARELA;17.475
DOM PEDRO;49;1;;DIABETES MELITUS;1100;;;BRANCA;10.361
DUQUE BACELAR;288;6;;HIPERTENSÃO ARTERIAL;1595;;;INDIGENA;448
ESPERANTINÓPOLIS;602;11;;SEM COMORBIDADES;418;;;PARDA;39.050
ESTREITO;910;7;;OBESIDADE;118;;;PRETA;3.864
FEIRA NOVA DO MARANHÃO;81;1;;OUTROS;394;;;SEM INFORMAÇÃO;40.290
FERNANDO FALCÃO;540;0;;;;;;TOTAL;111.488
FORMOSA DA SERRA NEGRA;221;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;173;0;;;;;;;
FORTUNA;192;0;;;;;;;
GODOFREDO VIANA;75;3;;;;;;ÓBITOS RAÇA/COR;
GONÇALVES DIAS;172;1;;;;;;PARDA;1.316
GOVERNADOR ARCHER;244;0;;;;;;BRANCA;310
GOVERNADOR EDISON LOBÃO;175;4;;;;;;PRETA;178
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;AMARELA;198
GOVERNADOR LUIZ ROCHA;67;0;;;;;;INDÍGENA;11
GOVERNADOR NEWTON BELLO;394;4;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR NUNES FREIRE;583;3;;;;;;TOTAL;2.840
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1643;21;;;;;;;
GUIMARÃES;169;4;;;;;;;
HUMBERTO DE CAMPOS;355;4;;;;;;;
ICATU;167;6;;;;;;;
IGARAPÉ DO MEIO;186;7;;;;;;;
IGARAPÉ GRANDE;787;5;;;;;;;
IMPERATRIZ;4556;224;;;;;;;
ITAIPAVA DO GRAJAÚ;169;0;;;;;;;
ITAPECURU-MIRIM;570;8;;;;;;;
ITINGA DO MARANHÃO;457;11;;;;;;;
JATOBÁ;31;1;;;;;;;
JENIPAPO DOS VIEIRAS;218;3;;;;;;;
JOÃO LISBOA;208;9;;;;;;;
JOSELÂNDIA;317;0;;;;;;;
JUNCO DO MARANHÃO;113;0;;;;;;;
LAGO DA PEDRA;1029;41;;;;;;;
LAGO DO JUNCO;159;1;;;;;;;
LAGO DOS RODRIGUES;261;4;;;;;;;
LAGO VERDE;421;2;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;45;0;;;;;;;
LIMA CAMPOS;486;5;;;;;;;
LORETO;76;2;;;;;;;
LUÍS DOMINGUES;55;1;;;;;;;
MAGALHÃES DE ALMEIDA;172;4;;;;;;;
MARACAÇUMÉ;440;1;;;;;;;
MARAJÁ DO SENA;129;2;;;;;;;
MARANHÃOZINHO;333;3;;;;;;;
MATA ROMA;324;6;;;;;;;
MATINHA;228;1;;;;;;;
MATÕES;210;2;;;;;;;
MATÕES DO NORTE;151;1;;;;;;;
MILAGRES DO MARANHÃO;138;1;;;;;;;
MIRADOR;217;2;;;;;;;
MIRANDA DO NORTE;134;5;;;;;;;
MIRINZAL;121;6;;;;;;;
MONÇÃO;277;15;;;;;;;
MONTES ALTOS;154;2;;;;;;;
MORROS;128;6;;;;;;;
NINA RODRIGUES;163;3;;;;;;;
NOVA COLINAS;16;0;;;;;;;
NOVA IORQUE;10;0;;;;;;;
NOVA OLINDA DO MARANHÃO;263;3;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;366;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;6;;;;;;;
PAÇO DO LUMIAR;488;76;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;196;2;;;;;;;
PARNARAMA;174;1;;;;;;;
PASSAGEM FRANCA;85;0;;;;;;;
PASTOS BONS;77;1;;;;;;;
PAULINO NEVES;133;1;;;;;;;
PAULO RAMOS;608;6;;;;;;;
PEDREIRAS;1310;34;;;;;;;
PEDRO DO ROSÁRIO;86;1;;;;;;;
PENALVA;203;5;;;;;;;
PERI-MIRIM;159;1;;;;;;;
PERITORÓ;319;3;;;;;;;
PINDARÉ-MIRIM;558;7;;;;;;;
PINHEIRO;1455;27;;;;;;;
PIO XII;756;4;;;;;;;
PIRAPEMAS;241;3;;;;;;;
POÇÃO DE PEDRAS;414;2;;;;;;;
PORTO FRANCO;394;7;;;;;;;
PORTO RICO DO MARANHÃO;86;1;;;;;;;
PRESIDENTE DUTRA;990;6;;;;;;;
PRESIDENTE JUSCELINO;27;0;;;;;;;
PRESIDENTE MÉDICI;174;0;;;;;;;
PRESIDENTE SARNEY;166;6;;;;;;;
PRESIDENTE VARGAS;38;1;;;;;;;
PRIMEIRA CRUZ;38;2;;;;;;;
RAPOSA;110;13;;;;;;;
RIACHÃO;99;2;;;;;;;
RIBAMAR FIQUENE;129;7;;;;;;;
ROSÁRIO;359;9;;;;;;;
SAMBAÍBA;15;0;;;;;;;
SANTA FILOMENA DO MARANHÃO;26;0;;;;;;;
SANTA HELENA;1168;6;;;;;;;
SANTA INÊS;3890;66;;;;;;;
SANTA LUZIA;1963;11;;;;;;;
SANTA LUZIA DO PARUÁ;268;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;445;14;;;;;;;
SANTA RITA;214;11;;;;;;;
SANTANA DO MARANHÃO;120;1;;;;;;;
