;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4381
AÇAILÂNDIA;3311;84;;4.762;200.919;167948;;10 a 19 anos;12060
AFONSO CUNHA;152;2;;;;;;20 a 29 anos;27178
ÁGUA DOCE DO MARANHÃO;647;5;;CASOS NOVOS;;;;30 a 39 anos;35549
ALCÂNTARA;198;7;;Grande Ilha;110;;;40 a 49 anos;28257
ALDEIAS ALTAS;909;4;;Imperatriz;20;;;50 a 59 anos;19820
ALTAMIRA DO MARANHÃO;273;5;;Demais Regiões;161;;;60 a 70 anos;14741
ALTO ALEGRE DO MARANHÃO;360;12;;;;;;Mais de 70 anos;11809
ALTO ALEGRE DO PINDARÉ;1450;19;;;;;;Não informado;14153
ALTO PARNAÍBA;283;2;;CASOS CONFIRMADOS;;;;TOTAL;167948
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;1037;20;;Ativos;5792;Isolamento Domiciliar ;5432;;
ANAJATUBA;335;8;;;;Internação Enfermaria;220;Rede Pública;171
ANAPURUS;710;6;;;;;;Rede Privada;49
APICUM-AÇU;197;3;;;;Internação UTI;140;Rede Pública;117
ARAGUANÃ;535;2;;;;;;Rede Privada;23
ARAIOSES;580;10;;Óbitos;3664;;;; 
ARAME;920;10;;Recuperados;158492;;;;
ARARI;204;9;;;;;;GRANDE ILHA*;
AXIXÁ;138;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3299;53;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;152;2;;HOMEM;74885;45%;;Leitos ocupados;59
BACURI;416;3;;MULHER;93063;55%;;Leitos livres;323
BACURITUBA;45;0;;;;;;% de ocupação;15,45%
BALSAS;6159;53;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;17;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3757;33;;3535;3452;65;;Total de leitos UTI;152
BARREIRINHAS;909;23;;;;;;Leitos ocupados UTI;43
BELA VISTA DO MARANHÃO;127;4;;;;;;Leitos livres;109
BELÁGUA;252;1;;TESTES REALIZADOS;;;;% de ocupação UTI;28,29%
BENEDITO LEITE;181;0;;LABORATÓRIO PÚBLICO;1087;;;;
BEQUIMÃO;233;11;;LABORATÓRIO PRIVADO;4;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;65;3;;BOLETIM ANTERIOR;370.426;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;371517;;;Total de leitos;552
BOM JARDIM;910;23;;;;;;Leitos ocupados;67
BOM JESUS DAS SELVAS;1616;10;;;;;;Leitos livres;466
BOM LUGAR;267;2;;ÓBITOS DE COVID-19;;;;% de ocupação;12,14%
BREJO;682;18;;;;;;;
