;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2638
AÇAILÂNDIA;2887;72;;3.802;151.322;128846;;10 a 19 anos;8345
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;20126
ÁGUA DOCE DO MARANHÃO;575;5;;CASOS NOVOS;;;;30 a 39 anos;26828
ALCÂNTARA;40;6;;Grande Ilha;111;;;40 a 49 anos;21467
ALDEIAS ALTAS;628;0;;Imperatriz;31;;;50 a 59 anos;15021
ALTAMIRA DO MARANHÃO;245;5;;Demais Regiões;1.639;;;60 a 70 anos;11079
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;9063
ALTO ALEGRE DO PINDARÉ;1282;5;;;;;;Não informado;14279
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;128846
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;773;15;;Ativos;7878;Isolamento Domiciliar ;7415;;
ANAJATUBA;318;8;;;;Internação Enfermaria;276;Rede Pública;233
ANAPURUS;676;6;;;;;;Rede Privada;43
APICUM-AÇU;197;3;;;;Internação UTI;187;Rede Pública;161
ARAGUANÃ;478;2;;;;;;Rede Privada;26
ARAIOSES;532;10;;Óbitos;3138;;;; 
ARAME;672;6;;Recuperados;117830;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3065;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;57976;45%;;Leitos ocupados;83
BACURI;403;3;;MULHER;70870;55%;;Leitos livres;299
BACURITUBA;32;0;;;;;;% de ocupação;21,73%
BALSAS;2962;16;;PROFISSIONAIS DA SAÚDE;;;;;
