;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2517
AÇAILÂNDIA;2850;70;;4.089;147.701;125459;;10 a 19 anos;8040
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;19463
ÁGUA DOCE DO MARANHÃO;573;5;;CASOS NOVOS;;;;30 a 39 anos;26013
ALCÂNTARA;40;6;;Grande Ilha;91;;;40 a 49 anos;20833
ALDEIAS ALTAS;576;0;;Imperatriz;48;;;50 a 59 anos;14592
ALTAMIRA DO MARANHÃO;239;5;;Demais Regiões;1.433;;;60 a 70 anos;10820
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8870
ALTO ALEGRE DO PINDARÉ;1270;4;;;;;;Não informado;14311
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;125459
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;754;15;;Ativos;7613;Isolamento Domiciliar ;7131;;
ANAJATUBA;302;8;;;;Internação Enfermaria;286;Rede Pública;242
ANAPURUS;645;6;;;;;;Rede Privada;44
APICUM-AÇU;197;3;;;;Internação UTI;196;Rede Pública;169
ARAGUANÃ;453;2;;;;;;Rede Privada;27
ARAIOSES;525;10;;Óbitos;3103;;;; 
ARAME;630;6;;Recuperados;114743;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3058;46;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;55861;45%;;Leitos ocupados;83
BACURI;391;3;;MULHER;68026;55%;;Leitos livres;299
BACURITUBA;31;0;;;;;;% de ocupação;21,73%
BALSAS;2687;16;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2746;21;;3050;2963;55;;Total de leitos UTI;152
BARREIRINHAS;468;22;;;;;;Leitos ocupados UTI;66
BELA VISTA DO MARANHÃO;120;3;;;;;;Leitos livres;86
BELÁGUA;159;1;;TESTES REALIZADOS;;;;% de ocupação UTI;43,42%
BENEDITO LEITE;75;0;;LABORATÓRIO PÚBLICO;2843;;;;
BEQUIMÃO;205;10;;LABORATÓRIO PRIVADO;0;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;272.997;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;275840;;;Total de leitos;578
BOM JARDIM;778;21;;;;;;Leitos ocupados;118
BOM JESUS DAS SELVAS;1384;8;;;;;;Leitos livres;460
BOM LUGAR;177;0;;ÓBITOS DE COVID-19;;;;% de ocupação;20,42%
BREJO;583;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;378;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;159;0;;10 a 19 anos;14;;;Leitos ocupados UTI;69
BURITICUPU;1930;4;;20 a 29 anos;30;;;Leitos livres;146
BURITIRANA;235;6;;30 a 39 anos;101;;;% de ocupação UTI;32,09%
CACHOEIRA GRANDE;169;3;;40 a 49 anos;176;;;;
CAJAPIÓ;5;2;;50 a 59 anos;334;;;IMPERATRIZ;
CAJARI;121;2;;60 a 69 anos;722;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;267;1;;Mais de 70 anos;1707;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;3103;;;Leitos ocupados;41
CANTANHEDE;378;3;;;;;;Leitos livres;40
CAPINZAL DO NORTE;323;1;;;;;;% de ocupação;50,62%
CAROLINA;240;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;263;16;;HOMEM;1915;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3080;67;;MULHER;1188;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;34
CENTRAL DO MARANHÃO;18;1;;;;;;Leitos livres;20
CENTRO DO GUILHERME;128;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;62,96%
CENTRO NOVO DO MARANHÃO;521;5;;COM COMORBIDADES ;2631;85%;;;
CHAPADINHA;2571;42;;SEM COMORBIDADES ;472;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;258;1;;;;;;;
CODÓ;1790;19;;;;;;;
COELHO NETO;1433;32;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1179;25;;NEUROLÓGICO;182;;;;
CONCEIÇÃO DO LAGO-AÇU;146;4;;ONCOLÓGICO;118;;;RAÇA/COR;
COROATÁ;757;10;;PNEUMOPATIA;37;;;AMARELA;21.536
CURURUPU;469;7;;CARDIOPATIA;365;;;BRANCA;12.481
DAVINÓPOLIS;223;7;;DOENÇA RENAL CRÔNICA;182;;;INDIGENA;752
DOM PEDRO;163;2;;DIABETES MELITUS;1190;;;PARDA;45.120
DUQUE BACELAR;311;7;;HIPERTENSÃO ARTERIAL;1724;;;PRETA;4.468
ESPERANTINÓPOLIS;615;12;;SEM COMORBIDADES;472;;;SEM INFORMAÇÃO;41.102
ESTREITO;1133;7;;OBESIDADE;132;;;TOTAL;125.459
FEIRA NOVA DO MARANHÃO;220;1;;OUTROS;417;;;;
FERNANDO FALCÃO;599;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;433;1;;;;;;PARDA;1.496
FORTALEZA DOS NOGUEIRAS;308;0;;;;;;BRANCA;360
FORTUNA;304;0;;;;;;PRETA;199
GODOFREDO VIANA;79;3;;;;;;AMARELA;202
GONÇALVES DIAS;251;3;;;;;;INDÍGENA;19
GOVERNADOR ARCHER;250;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;225;4;;;;;;TOTAL;3.103
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;;
GOVERNADOR LUIZ ROCHA;87;0;;;;;;;
GOVERNADOR NEWTON BELLO;417;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1934;26;;;;;;;
GUIMARÃES;186;4;;;;;;;
HUMBERTO DE CAMPOS;394;5;;;;;;;
ICATU;177;6;;;;;;;
IGARAPÉ DO MEIO;210;8;;;;;;;
IGARAPÉ GRANDE;868;7;;;;;;;
IMPERATRIZ;4774;229;;;;;;;
ITAIPAVA DO GRAJAÚ;282;1;;;;;;;
ITAPECURU-MIRIM;633;9;;;;;;;
ITINGA DO MARANHÃO;499;11;;;;;;;
JATOBÁ;33;3;;;;;;;
JENIPAPO DOS VIEIRAS;308;4;;;;;;;
JOÃO LISBOA;221;9;;;;;;;
JOSELÂNDIA;335;0;;;;;;;
JUNCO DO MARANHÃO;130;0;;;;;;;
LAGO DA PEDRA;1072;43;;;;;;;
LAGO DO JUNCO;172;1;;;;;;;
LAGO DOS RODRIGUES;269;6;;;;;;;
LAGO VERDE;449;3;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;523;5;;;;;;;
LORETO;132;2;;;;;;;
LUÍS DOMINGUES;64;1;;;;;;;
MAGALHÃES DE ALMEIDA;321;4;;;;;;;
MARACAÇUMÉ;462;3;;;;;;;
MARAJÁ DO SENA;136;2;;;;;;;
MARANHÃOZINHO;386;3;;;;;;;
MATA ROMA;343;9;;;;;;;
MATINHA;234;3;;;;;;;
MATÕES;244;2;;;;;;;
MATÕES DO NORTE;187;1;;;;;;;
