;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3188
AÇAILÂNDIA;3042;78;;4.135;170.123;143103;;10 a 19 anos;9732
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;22860
ÁGUA DOCE DO MARANHÃO;593;5;;CASOS NOVOS;;;;30 a 39 anos;30265
ALCÂNTARA;44;6;;Grande Ilha;84;;;40 a 49 anos;24138
ALDEIAS ALTAS;797;4;;Imperatriz;49;;;50 a 59 anos;16741
ALTAMIRA DO MARANHÃO;262;5;;Demais Regiões;1.110;;;60 a 70 anos;12262
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9938
ALTO ALEGRE DO PINDARÉ;1331;17;;;;;;Não informado;13979
ALTO PARNAÍBA;176;2;;CASOS CONFIRMADOS;;;;TOTAL;143103
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;830;16;;Ativos;8042;Isolamento Domiciliar ;7571;;
ANAJATUBA;324;8;;;;Internação Enfermaria;280;Rede Pública;238
ANAPURUS;710;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;191;Rede Pública;166
ARAGUANÃ;495;2;;;;;;Rede Privada;25
ARAIOSES;543;10;;Óbitos;3328;;;; 
ARAME;803;7;;Recuperados;131733;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3124;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;144;2;;HOMEM;64290;45%;;Leitos ocupados;75
BACURI;412;3;;MULHER;78813;55%;;Leitos livres;307
BACURITUBA;39;0;;;;;;% de ocupação;19,63%
BALSAS;4507;27;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3175;24;;3251;3165;59;;Total de leitos UTI;152
BARREIRINHAS;621;23;;;;;;Leitos ocupados UTI;58
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;94
BELÁGUA;212;1;;TESTES REALIZADOS;;;;% de ocupação UTI;38,16%
BENEDITO LEITE;99;0;;LABORATÓRIO PÚBLICO;2525;;;;
