;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2408
AÇAILÂNDIA;2826;70;;4.238;145.123;122482;;10 a 19 anos;7744
AFONSO CUNHA;131;2;;;;;;20 a 29 anos;18853
ÁGUA DOCE DO MARANHÃO;572;5;;CASOS NOVOS;;;;30 a 39 anos;25303
ALCÂNTARA;39;6;;Grande Ilha;110;;;40 a 49 anos;20330
ALDEIAS ALTAS;497;0;;Imperatriz;12;;;50 a 59 anos;14241
ALTAMIRA DO MARANHÃO;237;5;;Demais Regiões;407;;;60 a 70 anos;10564
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8688
ALTO ALEGRE DO PINDARÉ;1234;4;;;;;;Não informado;14351
ALTO PARNAÍBA;109;1;;CASOS CONFIRMADOS;;;;TOTAL;122482
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;742;15;;Ativos;8705;Isolamento Domiciliar ;8174;;
ANAJATUBA;298;6;;;;Internação Enfermaria;324;Rede Pública;280
ANAPURUS;646;6;;;;;;Rede Privada;44
APICUM-AÇU;197;3;;;;Internação UTI;207;Rede Pública;180
ARAGUANÃ;453;2;;;;;;Rede Privada;27
ARAIOSES;521;10;;Óbitos;3069;;;; 
ARAME;577;4;;Recuperados;110708;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3054;46;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;55238;45%;;Leitos ocupados;86
BACURI;391;3;;MULHER;67244;55%;;Leitos livres;296
BACURITUBA;31;0;;;;;;% de ocupação;22,51%
BALSAS;2589;16;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2655;21;;3036;2942;54;;Total de leitos UTI;152
BARREIRINHAS;453;21;;;;;;Leitos ocupados UTI;65
BELA VISTA DO MARANHÃO;119;3;;;;;;Leitos livres;87
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;42,76%
BENEDITO LEITE;66;0;;LABORATÓRIO PÚBLICO;1421;;;;
BEQUIMÃO;202;10;;LABORATÓRIO PRIVADO;0;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;268.840;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;270261;;;Total de leitos;578
BOM JARDIM;757;18;;;;;;Leitos ocupados;139
BOM JESUS DAS SELVAS;1342;8;;;;;;Leitos livres;439
BOM LUGAR;174;0;;ÓBITOS DE COVID-19;;;;% de ocupação;24,05%
BREJO;583;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;355;1;;0 a 9 anos;18;;;Total de leitos UTI;215
BURITI BRAVO;146;0;;10 a 19 anos;14;;;Leitos ocupados UTI;79
BURITICUPU;1832;4;;20 a 29 anos;30;;;Leitos livres;136
BURITIRANA;234;6;;30 a 39 anos;100;;;% de ocupação UTI;36,74%
CACHOEIRA GRANDE;167;3;;40 a 49 anos;172;;;;
CAJAPIÓ;5;2;;50 a 59 anos;329;;;IMPERATRIZ;
CAJARI;121;2;;60 a 69 anos;716;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;254;1;;Mais de 70 anos;1690;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;3069;;;Leitos ocupados;55
CANTANHEDE;378;3;;;;;;Leitos livres;26
CAPINZAL DO NORTE;317;1;;;;;;% de ocupação;67,90%
CAROLINA;234;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;261;16;;HOMEM;1892;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2950;67;;MULHER;1177;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;36
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;18
CENTRO DO GUILHERME;103;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;66,67%
CENTRO NOVO DO MARANHÃO;493;5;;COM COMORBIDADES ;2603;85%;;;
CHAPADINHA;2543;40;;SEM COMORBIDADES ;466;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;254;0;;;;;;;
CODÓ;1790;19;;;;;;;
COELHO NETO;1412;32;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1139;24;;NEUROLÓGICO;182;;;;
CONCEIÇÃO DO LAGO-AÇU;146;3;;ONCOLÓGICO;115;;;RAÇA/COR;
COROATÁ;757;10;;PNEUMOPATIA;36;;;AMARELA;20.626
CURURUPU;436;7;;CARDIOPATIA;363;;;BRANCA;12.051
DAVINÓPOLIS;221;7;;DOENÇA RENAL CRÔNICA;180;;;INDIGENA;651
DOM PEDRO;131;2;;DIABETES MELITUS;1181;;;PARDA;43.829
DUQUE BACELAR;309;7;;HIPERTENSÃO ARTERIAL;1705;;;PRETA;4.344
ESPERANTINÓPOLIS;614;12;;SEM COMORBIDADES;466;;;SEM INFORMAÇÃO;40.981
ESTREITO;1078;7;;OBESIDADE;131;;;TOTAL;122.482
FEIRA NOVA DO MARANHÃO;210;1;;OUTROS;416;;;;
FERNANDO FALCÃO;566;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;400;1;;;;;;PARDA;1.475
FORTALEZA DOS NOGUEIRAS;298;0;;;;;;BRANCA;355
FORTUNA;281;0;;;;;;PRETA;195
GODOFREDO VIANA;78;3;;;;;;AMARELA;202
GONÇALVES DIAS;240;3;;;;;;INDÍGENA;15
GOVERNADOR ARCHER;249;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;223;4;;;;;;TOTAL;3.069
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;;
GOVERNADOR LUIZ ROCHA;75;0;;;;;;;
GOVERNADOR NEWTON BELLO;417;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1857;26;;;;;;;
GUIMARÃES;180;4;;;;;;;
HUMBERTO DE CAMPOS;390;5;;;;;;;
ICATU;175;6;;;;;;;
IGARAPÉ DO MEIO;202;8;;;;;;;
IGARAPÉ GRANDE;864;7;;;;;;;
IMPERATRIZ;4686;227;;;;;;;
ITAIPAVA DO GRAJAÚ;274;1;;;;;;;
ITAPECURU-MIRIM;633;9;;;;;;;
ITINGA DO MARANHÃO;491;11;;;;;;;
JATOBÁ;33;2;;;;;;;
JENIPAPO DOS VIEIRAS;221;4;;;;;;;
JOÃO LISBOA;221;9;;;;;;;
JOSELÂNDIA;335;0;;;;;;;
JUNCO DO MARANHÃO;120;0;;;;;;;
LAGO DA PEDRA;1057;43;;;;;;;
LAGO DO JUNCO;166;1;;;;;;;
LAGO DOS RODRIGUES;268;5;;;;;;;
LAGO VERDE;448;3;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;71;0;;;;;;;
LIMA CAMPOS;513;5;;;;;;;
LORETO;123;2;;;;;;;
LUÍS DOMINGUES;61;1;;;;;;;
MAGALHÃES DE ALMEIDA;312;4;;;;;;;
MARACAÇUMÉ;455;3;;;;;;;
MARAJÁ DO SENA;132;2;;;;;;;
MARANHÃOZINHO;356;3;;;;;;;
MATA ROMA;343;9;;;;;;;
MATINHA;234;3;;;;;;;
MATÕES;245;2;;;;;;;
MATÕES DO NORTE;186;1;;;;;;;
MILAGRES DO MARANHÃO;144;1;;;;;;;
MIRADOR;313;2;;;;;;;
MIRANDA DO NORTE;135;6;;;;;;;
MIRINZAL;124;6;;;;;;;
MONÇÃO;288;15;;;;;;;
MONTES ALTOS;199;2;;;;;;;
MORROS;134;6;;;;;;;
NINA RODRIGUES;180;4;;;;;;;
NOVA COLINAS;28;0;;;;;;;
NOVA IORQUE;19;0;;;;;;;
NOVA OLINDA DO MARANHÃO;264;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;387;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;499;77;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;243;2;;;;;;;
PARNARAMA;244;0;;;;;;;
PASSAGEM FRANCA;105;0;;;;;;;
PASTOS BONS;125;1;;;;;;;
PAULINO NEVES;142;2;;;;;;;
PAULO RAMOS;682;7;;;;;;;
PEDREIRAS;1393;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;212;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;322;3;;;;;;;
PINDARÉ-MIRIM;559;10;;;;;;;
PINHEIRO;1612;29;;;;;;;
PIO XII;758;6;;;;;;;
PIRAPEMAS;244;3;;;;;;;
POÇÃO DE PEDRAS;592;2;;;;;;;
