;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3390
AÇAILÂNDIA;3055;80;;5.077;175.294;147676;;10 a 19 anos;10155
AFONSO CUNHA;137;2;;;;;;20 a 29 anos;23750
ÁGUA DOCE DO MARANHÃO;596;5;;CASOS NOVOS;;;;30 a 39 anos;31331
ALCÂNTARA;44;6;;Grande Ilha;105;;;40 a 49 anos;24936
ALDEIAS ALTAS;830;4;;Imperatriz;37;;;50 a 59 anos;17319
ALTAMIRA DO MARANHÃO;264;5;;Demais Regiões;1.613;;;60 a 70 anos;12619
ALTO ALEGRE DO MARANHÃO;330;11;;;;;;Mais de 70 anos;10200
ALTO ALEGRE DO PINDARÉ;1341;19;;;;;;Não informado;13976
ALTO PARNAÍBA;204;2;;CASOS CONFIRMADOS;;;;TOTAL;147676
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;837;16;;Ativos;8433;Isolamento Domiciliar ;7967;;
ANAJATUBA;323;8;;;;Internação Enfermaria;283;Rede Pública;243
ANAPURUS;710;6;;;;;;Rede Privada;40
APICUM-AÇU;197;3;;;;Internação UTI;183;Rede Pública;159
ARAGUANÃ;495;2;;;;;;Rede Privada;24
ARAIOSES;548;10;;Óbitos;3390;;;; 
ARAME;832;7;;Recuperados;135853;;;;
ARARI;196;8;;;;;;GRANDE ILHA*;
AXIXÁ;125;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3141;48;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;66313;45%;;Leitos ocupados;71
BACURI;412;3;;MULHER;81363;55%;;Leitos livres;311
BACURITUBA;39;0;;;;;;% de ocupação;18,59%
BALSAS;4941;33;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3241;24;;3278;3191;60;;Total de leitos UTI;152
BARREIRINHAS;703;23;;;;;;Leitos ocupados UTI;55
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;97
BELÁGUA;213;1;;TESTES REALIZADOS;;;;% de ocupação UTI;36,18%
BENEDITO LEITE;104;0;;LABORATÓRIO PÚBLICO;3097;;;;
BEQUIMÃO;207;10;;LABORATÓRIO PRIVADO;164;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;322.389;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;325650;;;Total de leitos;578
BOM JARDIM;816;22;;;;;;Leitos ocupados;102
