;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3960
AÇAILÂNDIA;3160;83;;5.061;187.146;158310;;10 a 19 anos;11191
AFONSO CUNHA;143;2;;;;;;20 a 29 anos;25690
ÁGUA DOCE DO MARANHÃO;633;5;;CASOS NOVOS;;;;30 a 39 anos;33731
ALCÂNTARA;45;7;;Grande Ilha;60;;;40 a 49 anos;26743
ALDEIAS ALTAS;860;4;;Imperatriz;3;;;50 a 59 anos;18645
ALTAMIRA DO MARANHÃO;269;5;;Demais Regiões;197;;;60 a 70 anos;13452
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;10883
ALTO ALEGRE DO PINDARÉ;1382;19;;;;;;Não informado;14015
ALTO PARNAÍBA;260;2;;CASOS CONFIRMADOS;;;;TOTAL;158310
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;904;18;;Ativos;7675;Isolamento Domiciliar ;7236;;
ANAJATUBA;329;8;;;;Internação Enfermaria;255;Rede Pública;213
ANAPURUS;710;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;184;Rede Pública;164
ARAGUANÃ;521;2;;;;;;Rede Privada;20
ARAIOSES;563;10;;Óbitos;3518;;;; 
ARAME;892;9;;Recuperados;147117;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;130;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3196;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;70897;45%;;Leitos ocupados;66
BACURI;412;3;;MULHER;87413;55%;;Leitos livres;316
BACURITUBA;39;0;;;;;;% de ocupação;17,28%
BALSAS;5833;40;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3480;27;;3368;3279;62;;Total de leitos UTI;152
BARREIRINHAS;834;23;;;;;;Leitos ocupados UTI;53
BELA VISTA DO MARANHÃO;126;3;;;;;;Leitos livres;99
BELÁGUA;245;1;;TESTES REALIZADOS;;;;% de ocupação UTI;34,87%
BENEDITO LEITE;168;0;;LABORATÓRIO PÚBLICO;226;;;;
BEQUIMÃO;212;11;;LABORATÓRIO PRIVADO;178;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;347.733;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;348137;;;Total de leitos;552
BOM JARDIM;842;22;;;;;;Leitos ocupados;95
BOM JESUS DAS SELVAS;1551;10;;;;;;Leitos livres;457
BOM LUGAR;256;1;;ÓBITOS DE COVID-19;;;;% de ocupação;17,21%
BREJO;662;18;;;;;;;
BREJO DE AREIA;197;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;579;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;326;1;;10 a 19 anos;15;;;Leitos ocupados UTI;72
BURITICUPU;2189;4;;20 a 29 anos;34;;;Leitos livres;143
BURITIRANA;236;6;;30 a 39 anos;110;;;% de ocupação UTI;33,49%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;204;;;;
CAJAPIÓ;5;2;;50 a 59 anos;376;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;801;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;416;4;;Mais de 70 anos;1959;;;Total de leitos;81
CÂNDIDO MENDES;86;4;;TOTAL;3518;;;Leitos ocupados;52
CANTANHEDE;381;3;;;;;;Leitos livres;29
CAPINZAL DO NORTE;360;1;;;;;;% de ocupação;64,20%
CAROLINA;354;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;355;17;;HOMEM;2163;61%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3981;78;;MULHER;1355;39%;;Total de leitos UTI;54
CEDRAL;132;0;;;;;;Leitos ocupados UTI;39
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;15
CENTRO DO GUILHERME;343;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;72,22%
CENTRO NOVO DO MARANHÃO;617;7;;COM COMORBIDADES ;2976;85%;;;
CHAPADINHA;2666;45;;SEM COMORBIDADES ;542;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;302;1;;;;;;;
CODÓ;1805;49;;;;;;;
COELHO NETO;1549;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1605;27;;NEUROLÓGICO;199;;;;
CONCEIÇÃO DO LAGO-AÇU;157;6;;ONCOLÓGICO;131;;;RAÇA/COR;
COROATÁ;1512;10;;PNEUMOPATIA;53;;;AMARELA;31.014
CURURUPU;509;7;;CARDIOPATIA;437;;;BRANCA;17.308
DAVINÓPOLIS;255;7;;DOENÇA RENAL CRÔNICA;204;;;INDIGENA;1.076
DOM PEDRO;347;2;;DIABETES MELITUS;1350;;;PARDA;60.838
DUQUE BACELAR;375;8;;HIPERTENSÃO ARTERIAL;1929;;;PRETA;6.028
ESPERANTINÓPOLIS;623;13;;SEM COMORBIDADES;542;;;SEM INFORMAÇÃO;42.046
ESTREITO;2545;7;;OBESIDADE;150;;;TOTAL;158.310
FEIRA NOVA DO MARANHÃO;546;2;;OUTROS;470;;;;
FERNANDO FALCÃO;735;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;656;1;;;;;;PARDA;1780
FORTALEZA DOS NOGUEIRAS;581;2;;;;;;BRANCA;434
FORTUNA;545;1;;;;;;PRETA;237
GODOFREDO VIANA;86;3;;;;;;AMARELA;210
GONÇALVES DIAS;369;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;321;5;;;;;;TOTAL;3.518
GOVERNADOR EUGÊNIO BARROS;200;0;;;;;;;
GOVERNADOR LUIZ ROCHA;111;0;;;;;;;
GOVERNADOR NEWTON BELLO;471;4;;;;;;;
GOVERNADOR NUNES FREIRE;634;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2500;34;;;;;;;
GUIMARÃES;218;4;;;;;;;
HUMBERTO DE CAMPOS;630;5;;;;;;;
ICATU;215;6;;;;;;;
IGARAPÉ DO MEIO;256;9;;;;;;;
IGARAPÉ GRANDE;943;8;;;;;;;
IMPERATRIZ;5533;305;;;;;;;
ITAIPAVA DO GRAJAÚ;478;3;;;;;;;
ITAPECURU-MIRIM;753;11;;;;;;;
ITINGA DO MARANHÃO;574;12;;;;;;;
JATOBÁ;76;4;;;;;;;
JENIPAPO DOS VIEIRAS;682;9;;;;;;;
JOÃO LISBOA;242;10;;;;;;;
JOSELÂNDIA;418;0;;;;;;;
JUNCO DO MARANHÃO;190;0;;;;;;;
LAGO DA PEDRA;1200;43;;;;;;;
LAGO DO JUNCO;226;1;;;;;;;
LAGO DOS RODRIGUES;369;7;;;;;;;
LAGO VERDE;499;4;;;;;;;
LAGOA DO MATO;2;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;4;;;;;;;
LAJEADO NOVO;138;0;;;;;;;
LIMA CAMPOS;685;6;;;;;;;
LORETO;328;3;;;;;;;
LUÍS DOMINGUES;163;1;;;;;;;
MAGALHÃES DE ALMEIDA;399;4;;;;;;;
MARACAÇUMÉ;500;3;;;;;;;
MARAJÁ DO SENA;150;3;;;;;;;
MARANHÃOZINHO;420;3;;;;;;;
MATA ROMA;345;10;;;;;;;
MATINHA;258;3;;;;;;;
MATÕES;387;8;;;;;;;
MATÕES DO NORTE;209;1;;;;;;;
MILAGRES DO MARANHÃO;176;1;;;;;;;
MIRADOR;608;3;;;;;;;
MIRANDA DO NORTE;139;9;;;;;;;
MIRINZAL;130;6;;;;;;;
MONÇÃO;590;15;;;;;;;
MONTES ALTOS;389;4;;;;;;;
MORROS;141;7;;;;;;;
NINA RODRIGUES;181;4;;;;;;;
NOVA COLINAS;93;0;;;;;;;
NOVA IORQUE;27;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;496;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;608;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;363;4;;;;;;;
PARNARAMA;494;0;;;;;;;
PASSAGEM FRANCA;395;0;;;;;;;
PASTOS BONS;417;2;;;;;;;
PAULINO NEVES;152;2;;;;;;;
PAULO RAMOS;825;11;;;;;;;
PEDREIRAS;1535;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;220;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;337;3;;;;;;;
PINDARÉ-MIRIM;583;11;;;;;;;
PINHEIRO;1925;34;;;;;;;
PIO XII;806;6;;;;;;;
PIRAPEMAS;249;3;;;;;;;
POÇÃO DE PEDRAS;939;3;;;;;;;
PORTO FRANCO;792;9;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1341;7;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;234;0;;;;;;;
PRESIDENTE SARNEY;169;7;;;;;;;
PRESIDENTE VARGAS;58;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;139;13;;;;;;;
RIACHÃO;517;6;;;;;;;
RIBAMAR FIQUENE;153;8;;;;;;;
ROSÁRIO;379;11;;;;;;;
SAMBAÍBA;265;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1338;6;;;;;;;
SANTA INÊS;4275;71;;;;;;;
SANTA LUZIA;2491;16;;;;;;;
SANTA LUZIA DO PARUÁ;436;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;444;15;;;;;;;
SANTA RITA;266;13;;;;;;;
SANTANA DO MARANHÃO;162;3;;;;;;;
SANTO AMARO DO MARANHÃO;75;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;691;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;943;7;;;;;;;
SÃO BENTO;459;6;;;;;;;
SÃO BERNARDO;842;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;149;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1401;9;;;;;;;
SÃO FÉLIX DE BALSAS;165;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;328;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;89;0;;;;;;;
SÃO JOÃO BATISTA;121;5;;;;;;;
SÃO JOÃO DO CARÚ;394;5;;;;;;;
SÃO JOÃO DO PARAÍSO;111;2;;;;;;;
SÃO JOÃO DO SÓTER;558;2;;;;;;;
SÃO JOÃO DOS PATOS;1116;9;;;;;;;
SÃO JOSÉ DE RIBAMAR;1232;112;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;197;0;;;;;;;
SÃO LUÍS;19292;1215;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;585;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1120;26;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;409;1;;;;;;;
SÃO PEDRO DOS CRENTES;109;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1555;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;74;2;;;;;;;
SÃO ROBERTO;239;2;;;;;;;
SÃO VICENTE FERRER;201;1;;;;;;;
SATUBINHA;128;1;;;;;;;
SENADOR ALEXANDRE COSTA;356;1;;;;;;;
SENADOR LA ROCQUE;204;8;;;;;;;
SERRANO DO MARANHÃO;185;2;;;;;;;
SÍTIO NOVO;787;5;;;;;;;
SUCUPIRA DO NORTE;113;0;;;;;;;
SUCUPIRA DO RIACHÃO;99;0;;;;;;;
TASSO FRAGOSO;204;0;;;;;;;
TIMBIRAS;363;3;;;;;;;
TIMON;3756;107;;;;;;;
TRIZIDELA DO VALE;608;8;;;;;;;
TUFILÂNDIA;86;5;;;;;;;
TUNTUM;1306;6;;;;;;;
TURIAÇU;237;3;;;;;;;
TURILÂNDIA;312;5;;;;;;;
TUTÓIA;1008;23;;;;;;;
URBANO SANTOS;1521;14;;;;;;;
VARGEM GRANDE;732;10;;;;;;;
VIANA;281;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;286;0;;;;;;;
VITÓRIA DO MEARIM;676;6;;;;;;;
VITORINO FREIRE;1503;26;;;;;;;
ZÉ DOCA;3368;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
