;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3739
AÇAILÂNDIA;3111;82;;5.498;182.878;154468;;10 a 19 anos;10835
AFONSO CUNHA;141;2;;;;;;20 a 29 anos;25019
ÁGUA DOCE DO MARANHÃO;602;5;;CASOS NOVOS;;;;30 a 39 anos;32905
ALCÂNTARA;45;7;;Grande Ilha;92;;;40 a 49 anos;26091
ALDEIAS ALTAS;855;4;;Imperatriz;57;;;50 a 59 anos;18123
ALTAMIRA DO MARANHÃO;267;5;;Demais Regiões;1.638;;;60 a 70 anos;13148
ALTO ALEGRE DO MARANHÃO;347;11;;;;;;Mais de 70 anos;10634
ALTO ALEGRE DO PINDARÉ;1368;19;;;;;;Não informado;13974
ALTO PARNAÍBA;255;2;;CASOS CONFIRMADOS;;;;TOTAL;154468
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;869;18;;Ativos;8238;Isolamento Domiciliar ;7781;;
ANAJATUBA;327;8;;;;Internação Enfermaria;275;Rede Pública;233
ANAPURUS;710;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;182;Rede Pública;159
ARAGUANÃ;505;2;;;;;;Rede Privada;23
ARAIOSES;561;10;;Óbitos;3467;;;; 
ARAME;872;9;;Recuperados;142763;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;126;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3180;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;69228;45%;;Leitos ocupados;69
BACURI;412;3;;MULHER;85240;55%;;Leitos livres;313
BACURITUBA;39;0;;;;;;% de ocupação;18,06%
BALSAS;5487;35;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3397;25;;3322;3239;62;;Total de leitos UTI;152
BARREIRINHAS;799;23;;;;;;Leitos ocupados UTI;56
BELA VISTA DO MARANHÃO;126;3;;;;;;Leitos livres;96
BELÁGUA;244;1;;TESTES REALIZADOS;;;;% de ocupação UTI;36,84%
BENEDITO LEITE;157;0;;LABORATÓRIO PÚBLICO;2971;;;;
BEQUIMÃO;211;11;;LABORATÓRIO PRIVADO;536;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;336.519;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;340026;;;Total de leitos;552
BOM JARDIM;829;22;;;;;;Leitos ocupados;94
BOM JESUS DAS SELVAS;1521;10;;;;;;Leitos livres;458
BOM LUGAR;228;1;;ÓBITOS DE COVID-19;;;;% de ocupação;17,03%
BREJO;651;18;;;;;;;
BREJO DE AREIA;197;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;570;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;311;1;;10 a 19 anos;15;;;Leitos ocupados UTI;62
BURITICUPU;2171;4;;20 a 29 anos;34;;;Leitos livres;153
BURITIRANA;236;6;;30 a 39 anos;110;;;% de ocupação UTI;28,84%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;200;;;;
CAJAPIÓ;5;2;;50 a 59 anos;371;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;794;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;400;4;;Mais de 70 anos;1924;;;Total de leitos;81
CÂNDIDO MENDES;67;4;;TOTAL;3467;;;Leitos ocupados;70
CANTANHEDE;381;3;;;;;;Leitos livres;11
CAPINZAL DO NORTE;359;1;;;;;;% de ocupação;86,42%
CAROLINA;345;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;350;17;;HOMEM;2134;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3930;75;;MULHER;1333;38%;;Total de leitos UTI;54
CEDRAL;128;0;;;;;;Leitos ocupados UTI;41
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;13
CENTRO DO GUILHERME;342;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;75,93%
CENTRO NOVO DO MARANHÃO;611;7;;COM COMORBIDADES ;2931;85%;;;
CHAPADINHA;2666;45;;SEM COMORBIDADES ;536;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;295;1;;;;;;;
CODÓ;1802;38;;;;;;;
COELHO NETO;1543;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1573;27;;NEUROLÓGICO;198;;;;
CONCEIÇÃO DO LAGO-AÇU;153;6;;ONCOLÓGICO;128;;;RAÇA/COR;
COROATÁ;1340;10;;PNEUMOPATIA;52;;;AMARELA;29.962
CURURUPU;509;7;;CARDIOPATIA;430;;;BRANCA;16.765
DAVINÓPOLIS;248;7;;DOENÇA RENAL CRÔNICA;203;;;INDIGENA;1.066
DOM PEDRO;326;2;;DIABETES MELITUS;1329;;;PARDA;59.077
DUQUE BACELAR;365;8;;HIPERTENSÃO ARTERIAL;1901;;;PRETA;5.863
ESPERANTINÓPOLIS;623;13;;SEM COMORBIDADES;536;;;SEM INFORMAÇÃO;41.735
ESTREITO;2103;7;;OBESIDADE;146;;;TOTAL;154.468
FEIRA NOVA DO MARANHÃO;491;2;;OUTROS;469;;;;
FERNANDO FALCÃO;734;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;635;1;;;;;;PARDA;1738
FORTALEZA DOS NOGUEIRAS;560;2;;;;;;BRANCA;427
FORTUNA;516;1;;;;;;PRETA;235
GODOFREDO VIANA;85;3;;;;;;AMARELA;210
GONÇALVES DIAS;346;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;318;5;;;;;;TOTAL;3.467
GOVERNADOR EUGÊNIO BARROS;200;0;;;;;;;
GOVERNADOR LUIZ ROCHA;110;0;;;;;;;
GOVERNADOR NEWTON BELLO;465;4;;;;;;;
GOVERNADOR NUNES FREIRE;627;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2432;33;;;;;;;
GUIMARÃES;214;4;;;;;;;
HUMBERTO DE CAMPOS;599;5;;;;;;;
ICATU;212;6;;;;;;;
IGARAPÉ DO MEIO;256;9;;;;;;;
IGARAPÉ GRANDE;943;8;;;;;;;
IMPERATRIZ;5442;292;;;;;;;
ITAIPAVA DO GRAJAÚ;478;3;;;;;;;
ITAPECURU-MIRIM;737;11;;;;;;;
ITINGA DO MARANHÃO;567;11;;;;;;;
JATOBÁ;75;4;;;;;;;
JENIPAPO DOS VIEIRAS;663;9;;;;;;;
JOÃO LISBOA;238;10;;;;;;;
JOSELÂNDIA;418;0;;;;;;;
JUNCO DO MARANHÃO;186;0;;;;;;;
LAGO DA PEDRA;1195;43;;;;;;;
LAGO DO JUNCO;221;1;;;;;;;
LAGO DOS RODRIGUES;348;7;;;;;;;
LAGO VERDE;497;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;4;;;;;;;
LAJEADO NOVO;110;0;;;;;;;
LIMA CAMPOS;676;6;;;;;;;
LORETO;318;3;;;;;;;
LUÍS DOMINGUES;141;1;;;;;;;
MAGALHÃES DE ALMEIDA;399;4;;;;;;;
MARACAÇUMÉ;497;3;;;;;;;
MARAJÁ DO SENA;145;3;;;;;;;
MARANHÃOZINHO;420;3;;;;;;;
MATA ROMA;345;10;;;;;;;
MATINHA;258;3;;;;;;;
MATÕES;380;8;;;;;;;
MATÕES DO NORTE;205;1;;;;;;;
MILAGRES DO MARANHÃO;165;1;;;;;;;
MIRADOR;608;3;;;;;;;
MIRANDA DO NORTE;138;9;;;;;;;
MIRINZAL;128;6;;;;;;;
MONÇÃO;517;15;;;;;;;
MONTES ALTOS;360;4;;;;;;;
MORROS;141;7;;;;;;;
NINA RODRIGUES;181;4;;;;;;;
NOVA COLINAS;91;0;;;;;;;
NOVA IORQUE;27;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;490;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;565;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;363;4;;;;;;;
PARNARAMA;470;0;;;;;;;
PASSAGEM FRANCA;325;0;;;;;;;
PASTOS BONS;368;2;;;;;;;
PAULINO NEVES;152;2;;;;;;;
PAULO RAMOS;817;11;;;;;;;
PEDREIRAS;1526;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;218;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;337;3;;;;;;;
PINDARÉ-MIRIM;582;11;;;;;;;
PINHEIRO;1868;33;;;;;;;
PIO XII;799;6;;;;;;;
PIRAPEMAS;248;3;;;;;;;
POÇÃO DE PEDRAS;922;3;;;;;;;
