;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2921
AÇAILÂNDIA;2944;77;;3.255;162.364;136853;;10 a 19 anos;9119
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;21684
ÁGUA DOCE DO MARANHÃO;591;5;;CASOS NOVOS;;;;30 a 39 anos;28818
ALCÂNTARA;40;6;;Grande Ilha;82;;;40 a 49 anos;23015
ALDEIAS ALTAS;757;4;;Imperatriz;6;;;50 a 59 anos;15970
ALTAMIRA DO MARANHÃO;251;5;;Demais Regiões;485;;;60 a 70 anos;11736
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9576
ALTO ALEGRE DO PINDARÉ;1290;15;;;;;;Não informado;14014
ALTO PARNAÍBA;150;1;;CASOS CONFIRMADOS;;;;TOTAL;136853
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;805;16;;Ativos;7811;Isolamento Domiciliar ;7366;;
ANAJATUBA;320;8;;;;Internação Enfermaria;260;Rede Pública;218
ANAPURUS;704;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;185;Rede Pública;160
ARAGUANÃ;480;2;;;;;;Rede Privada;25
ARAIOSES;537;10;;Óbitos;3264;;;; 
ARAME;715;7;;Recuperados;125778;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3105;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;139;2;;HOMEM;61579;45%;;Leitos ocupados;77
BACURI;408;3;;MULHER;75274;55%;;Leitos livres;305
BACURITUBA;39;0;;;;;;% de ocupação;20,16%
BALSAS;3858;22;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2934;24;;3205;3123;57;;Total de leitos UTI;152
BARREIRINHAS;547;23;;;;;;Leitos ocupados UTI;59
BELA VISTA DO MARANHÃO;122;3;;;;;;Leitos livres;93
BELÁGUA;201;1;;TESTES REALIZADOS;;;;% de ocupação UTI;38,82%
BENEDITO LEITE;89;0;;LABORATÓRIO PÚBLICO;603;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;96;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;301.198;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;301897;;;Total de leitos;578
BOM JARDIM;790;22;;;;;;Leitos ocupados;91
BOM JESUS DAS SELVAS;1447;10;;;;;;Leitos livres;487
BOM LUGAR;188;0;;ÓBITOS DE COVID-19;;;;% de ocupação;15,74%
BREJO;623;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;467;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;237;0;;10 a 19 anos;15;;;Leitos ocupados UTI;59
BURITICUPU;2092;4;;20 a 29 anos;31;;;Leitos livres;156
BURITIRANA;235;6;;30 a 39 anos;104;;;% de ocupação UTI;27,44%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;184;;;;
CAJAPIÓ;5;2;;50 a 59 anos;348;;;IMPERATRIZ;
CAJARI;121;4;;60 a 69 anos;754;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;315;3;;Mais de 70 anos;1809;;;Total de leitos;81
CÂNDIDO MENDES;27;4;;TOTAL;3264;;;Leitos ocupados;50
CANTANHEDE;381;3;;;;;;Leitos livres;31
CAPINZAL DO NORTE;339;1;;;;;;% de ocupação;61,73%
CAROLINA;284;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;314;17;;HOMEM;2012;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3535;70;;MULHER;1252;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;42
CENTRAL DO MARANHÃO;20;1;;;;;;Leitos livres;12
CENTRO DO GUILHERME;330;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;77,78%
CENTRO NOVO DO MARANHÃO;576;7;;COM COMORBIDADES ;2765;85%;;;
CHAPADINHA;2663;44;;SEM COMORBIDADES ;499;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;271;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1481;35;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1345;26;;NEUROLÓGICO;188;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;124;;;RAÇA/COR;
COROATÁ;862;10;;PNEUMOPATIA;48;;;AMARELA;25.061
CURURUPU;489;7;;CARDIOPATIA;400;;;BRANCA;14.144
DAVINÓPOLIS;235;7;;DOENÇA RENAL CRÔNICA;190;;;INDIGENA;891
DOM PEDRO;248;2;;DIABETES MELITUS;1249;;;PARDA;50.454
DUQUE BACELAR;322;7;;HIPERTENSÃO ARTERIAL;1810;;;PRETA;5.041
ESPERANTINÓPOLIS;616;13;;SEM COMORBIDADES;499;;;SEM INFORMAÇÃO;41.262
