;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1800
AÇAILÂNDIA;2729;62;;6204;114659;102469;;10 a 19 anos;5861
AFONSO CUNHA;121;1;;;;;;20 a 29 anos;15239
ÁGUA DOCE DO MARANHÃO;510;5;;CASOS NOVOS;;;;30 a 39 anos;21097
ALCÂNTARA;36;5;;Grande Ilha;133;;;40 a 49 anos;17000
ALDEIAS ALTAS;183;0;;Imperatriz;6;;;50 a 59 anos;11857
ALTAMIRA DO MARANHÃO;185;5;;Demais Regiões;863;;;60 a 70 anos;8869
ALTO ALEGRE DO MARANHÃO;321;11;;;;;;Mais de 70 anos;7496
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13250
ALTO PARNAÍBA;92;1;;CASOS CONFIRMADOS;;;;TOTAL;102469
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;598;11;;Ativos;15729;Isolamento Domiciliar ;15080;;
ANAJATUBA;265;6;;;;Internação Enfermaria;355;Rede Pública;293
ANAPURUS;659;6;;;;;;Rede Privada;62
APICUM-AÇU;197;3;;;;Internação UTI;294;Rede Pública;254
ARAGUANÃ;426;2;;;;;;Rede Privada;40
ARAIOSES;470;8;;Óbitos;2572;;;;
ARAME;169;4;;Recuperados;84168;;;;
ARARI;177;4;;;;;;GRANDE ILHA*;
AXIXÁ;91;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2697;33;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;128;1;;HOMEM;46121;45%;;Leitos ocupados;94
BACURI;374;2;;MULHER;56348;55%;;Leitos livres;288
BACURITUBA;21;0;;;;;;% de ocupação;24,61%
BALSAS;1633;10;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2086;18;;2710;2605;51;;Total de leitos UTI;164
BARREIRINHAS;385;18;;;;;;Leitos ocupados UTI;121
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;43
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;73,78%
BENEDITO LEITE;28;0;;LABORATÓRIO PÚBLICO;2692;;;;
BEQUIMÃO;181;10;;LABORATÓRIO PRIVADO;209;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;215156;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;218057;;;Total de leitos;618
BOM JARDIM;601;15;;;;;;Leitos ocupados;151
BOM JESUS DAS SELVAS;922;4;;;;;;Leitos livres;467
BOM LUGAR;148;0;;ÓBITOS DE COVID-19;;;;% de ocupação;24,43%
BREJO;512;15;;;;;;;
BREJO DE AREIA;106;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;278;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;79;0;;10 a 19 anos;13;;;Leitos ocupados UTI;93
BURITICUPU;1534;4;;20 a 29 anos;25;;;Leitos livres;126
BURITIRANA;209;6;;30 a 39 anos;86;;;% de ocupação UTI;42,47%
CACHOEIRA GRANDE;124;3;;40 a 49 anos;151;;;;
CAJAPIÓ;5;2;;50 a 59 anos;271;;;IMPERATRIZ;
CAJARI;120;1;;60 a 69 anos;621;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;196;1;;Mais de 70 anos;1390;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2572;;;Leitos ocupados;48
CANTANHEDE;380;2;;;;;;Leitos livres;33
CAPINZAL DO NORTE;274;0;;;;;;% de ocupação;59,26%
CAROLINA;165;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;254;15;;HOMEM;1597;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2224;45;;MULHER;975;38%;;Total de leitos UTI;54
CEDRAL;104;0;;;;;;Leitos ocupados UTI;40
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;14
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;74,07%
CENTRO NOVO DO MARANHÃO;348;5;;COM COMORBIDADES ;2243;87%;;;
CHAPADINHA;2359;29;;SEM COMORBIDADES ;329;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;239;0;;;;;;;
CODÓ;1788;15;;;;;;;
COELHO NETO;1246;29;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;773;17;;NEUROLÓGICO;156;;;;
CONCEIÇÃO DO LAGO-AÇU;140;3;;ONCOLÓGICO;97;;;RAÇA/COR;
COROATÁ;615;7;;PNEUMOPATIA;24;;;AMARELA;14.869
CURURUPU;297;7;;CARDIOPATIA;293;;;BRANCA;8.922
DAVINÓPOLIS;200;7;;DOENÇA RENAL CRÔNICA;151;;;INDIGENA;378
DOM PEDRO;49;1;;DIABETES MELITUS;1001;;;PARDA;34.757
DUQUE BACELAR;267;4;;HIPERTENSÃO ARTERIAL;1454;;;PRETA;3.417
