;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2212
AÇAILÂNDIA;2792;67;;5.011;136.040;115988;;10 a 19 anos;7145
AFONSO CUNHA;131;2;;;;;;20 a 29 anos;17635
ÁGUA DOCE DO MARANHÃO;567;5;;CASOS NOVOS;;;;30 a 39 anos;23895
ALCÂNTARA;38;6;;Grande Ilha;111;;;40 a 49 anos;19255
ALDEIAS ALTAS;447;0;;Imperatriz;1;;;50 a 59 anos;13442
ALTAMIRA DO MARANHÃO;223;5;;Demais Regiões;1.291;;;60 a 70 anos;10009
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8325
ALTO ALEGRE DO PINDARÉ;1184;4;;;;;;Não informado;14070
ALTO PARNAÍBA;99;1;;CASOS CONFIRMADOS;;;;TOTAL;115988
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;716;12;;Ativos;9035;Isolamento Domiciliar ;8428;;
ANAJATUBA;286;6;;;;Internação Enfermaria;360;Rede Pública;305
ANAPURUS;646;6;;;;;;Rede Privada;55
APICUM-AÇU;197;3;;;;Internação UTI;247;Rede Pública;216
ARAGUANÃ;453;2;;;;;;Rede Privada;31
ARAIOSES;510;9;;Óbitos;2959;;;; 
ARAME;392;4;;Recuperados;103994;;;;
ARARI;193;6;;;;;;GRANDE ILHA*;
AXIXÁ;118;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2939;41;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;2;;HOMEM;52270;45%;;Leitos ocupados;87
BACURI;385;2;;MULHER;63718;55%;;Leitos livres;295
