;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2116
AÇAILÂNDIA;2778;67;;5.406;130.663;112683;;10 a 19 anos;6851
AFONSO CUNHA;128;2;;;;;;20 a 29 anos;17022
ÁGUA DOCE DO MARANHÃO;550;5;;CASOS NOVOS;;;;30 a 39 anos;23213
ALCÂNTARA;38;5;;Grande Ilha;109;;;40 a 49 anos;18734
ALDEIAS ALTAS;387;0;;Imperatriz;2;;;50 a 59 anos;13083
ALTAMIRA DO MARANHÃO;219;5;;Demais Regiões;1.084;;;60 a 70 anos;9734
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8139
ALTO ALEGRE DO PINDARÉ;1187;3;;;;;;Não informado;13791
ALTO PARNAÍBA;96;1;;CASOS CONFIRMADOS;;;;TOTAL;112683
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;685;11;;Ativos;9442;Isolamento Domiciliar ;8823;;
ANAJATUBA;286;6;;;;Internação Enfermaria;365;Rede Pública;309
ANAPURUS;645;6;;;;;;Rede Privada;56
APICUM-AÇU;197;3;;;;Internação UTI;254;Rede Pública;218
ARAGUANÃ;451;2;;;;;;Rede Privada;36
ARAIOSES;502;9;;Óbitos;2871;;;;
ARAME;264;4;;Recuperados;100370;;;;
ARARI;191;6;;;;;;GRANDE ILHA*;
AXIXÁ;108;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2936;37;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;50716;45%;;Leitos ocupados;94
BACURI;383;2;;MULHER;61967;55%;;Leitos livres;288
BACURITUBA;22;0;;;;;;% de ocupação;24,61%
BALSAS;2014;13;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2378;19;;2909;2791;54;;Total de leitos UTI;152
BARREIRINHAS;404;19;;;;;;Leitos ocupados UTI;88
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;64
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;57,89%
BENEDITO LEITE;49;0;;LABORATÓRIO PÚBLICO;3089;;;;
BEQUIMÃO;197;10;;LABORATÓRIO PRIVADO;161;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;242.745;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
