;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
Municípios;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1644
AÇAILÂNDIA;2589;61;;6650;105011;96718;;10 a 19 anos;5358
AFONSO CUNHA;101;1;;;;;;20 a 29 anos;14245
ÁGUA DOCE DO MARANHÃO;395;5;;CASOS NOVOS;;;;30 a 39 anos;19839
ALCÂNTARA;34;5;;Grande Ilha;117;;;40 a 49 anos;16009
ALDEIAS ALTAS;113;0;;Imperatriz;15;;;50 a 59 anos;11148
ALTAMIRA DO MARANHÃO;175;5;;Demais Regiões;1.263;;;60 a 70 anos;8405
ALTO ALEGRE DO MARANHÃO;318;9;;;;;;Mais de 70 anos;7132
ALTO ALEGRE DO PINDARÉ;1186;2;;;;;;Não informado;12938
ALTO PARNAÍBA;79;1;;CASOS CONFIRMADOS;;;;TOTAL;96718
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;581;11;;Ativos;18756;Isolamento Domiciliar ;17974;;
ANAJATUBA;255;6;;;;Internação Enfermaria;444;Rede Pública;380
ANAPURUS;515;4;;;;;;Rede Privada;64
APICUM-AÇU;197;3;;;;Internação UTI;338;Rede Pública;291
ARAGUANÃ;427;2;;;;;;Rede Privada;47
ARAIOSES;453;7;;Óbitos;2392;;;;
ARAME;155;4;;Recuperados;75570;;;;
ARARI;163;4;;;;;;GRANDE ILHA*;
AXIXÁ;90;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2416;24;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;128;1;;HOMEM;43628;45%;;Leitos ocupados;99
BACURI;370;2;;MULHER;53090;55%;;Leitos livres;283
BACURITUBA;19;0;;;;;;% de ocupação;25,92%
BALSAS;1365;10;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;0;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;1985;16;;2615;2488;50;;Total de leitos UTI;164
BARREIRINHAS;359;18;;;;;;Leitos ocupados UTI;132
BELA VISTA DO MARANHÃO;111;2;;;;;;Leitos livres;32
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;80,49%
BENEDITO LEITE;26;0;;LABORATÓRIO PÚBLICO;3082;;;;
BEQUIMÃO;179;9;;LABORATÓRIO PRIVADO;350;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;199.226;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;202658;;;Total de leitos;618
BOM JARDIM;549;8;;;;;;Leitos ocupados;222
BOM JESUS DAS SELVAS;856;4;;;;;;Leitos livres;396
BOM LUGAR;147;0;;ÓBITOS DE COVID-19;;;;% de ocupação;35,92%
BREJO;481;11;;;;;;;
BREJO DE AREIA;104;0;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;258;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;66;0;;10 a 19 anos;13;;;Leitos ocupados UTI;115
BURITICUPU;1416;4;;20 a 29 anos;24;;;Leitos livres;104
BURITIRANA;208;6;;30 a 39 anos;83;;;% de ocupação UTI;52,51%
CACHOEIRA GRANDE;116;3;;40 a 49 anos;142;;;;
CAJAPIÓ;5;2;;50 a 59 anos;258;;;IMPERATRIZ;
CAJARI;120;1;;60 a 69 anos;575;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;186;1;;Mais de 70 anos;1282;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2392;;;Leitos ocupados;59
CANTANHEDE;341;2;;;;;;Leitos livres;22
CAPINZAL DO NORTE;265;0;;;;;;% de ocupação;72,84%
CAROLINA;160;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;255;15;;HOMEM;1484;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2044;31;;MULHER;908;38%;;Total de leitos UTI;54
CEDRAL;94;0;;;;;;Leitos ocupados UTI;44
CENTRAL DO MARANHÃO;16;1;;;;;;Leitos livres;10
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;81,48%
CENTRO NOVO DO MARANHÃO;324;5;;COM COMORBIDADES;2082;87%;;;
CHAPADINHA;1994;28;;SEM COMORBIDADES;310;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;225;0;;;;;;;
CODÓ;1787;15;;;;;;;
COELHO NETO;1192;27;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;669;12;;NEUROLÓGICO;145;;;;
CONCEIÇÃO DO LAGO-AÇU;139;3;;ONCOLÓGICO;93;;;RAÇA/COR;Contagem
COROATÁ;565;7;;PNEUMOPATIA;23;;;AMARELA;13.327
CURURUPU;295;6;;CARDIOPATIA;284;;;BRANCA;8.148
DAVINÓPOLIS;199;6;;DOENÇA RENAL CRÔNICA;140;;;INDIGENA;358
DOM PEDRO;47;1;;DIABETES MELITUS;926;;;PARDA;32.463
DUQUE BACELAR;249;3;;HIPERTENSÃO ARTERIAL;1346;;;PRETA;3.158
ESPERANTINÓPOLIS;538;11;;SEM COMORBIDADES;346;;;SEM INFORMAÇÃO;39.264
