;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4103
AÇAILÂNDIA;3186;83;;5.061;190.261;160968;;10 a 19 anos;11447
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26118
ÁGUA DOCE DO MARANHÃO;639;5;;CASOS NOVOS;;;;30 a 39 anos;34250
ALCÂNTARA;52;7;;Grande Ilha;65;;;40 a 49 anos;27192
ALDEIAS ALTAS;870;4;;Imperatriz;13;;;50 a 59 anos;18956
ALTAMIRA DO MARANHÃO;269;5;;Demais Regiões;651;;;60 a 70 anos;13697
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;11116
ALTO ALEGRE DO PINDARÉ;1383;19;;;;;;Não informado;14089
ALTO PARNAÍBA;262;2;;CASOS CONFIRMADOS;;;;TOTAL;160968
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;923;18;;Ativos;6447;Isolamento Domiciliar ;6038;;
ANAJATUBA;332;8;;;;Internação Enfermaria;253;Rede Pública;201
ANAPURUS;710;6;;;;;;Rede Privada;52
APICUM-AÇU;197;3;;;;Internação UTI;156;Rede Pública;133
ARAGUANÃ;528;2;;;;;;Rede Privada;23
ARAIOSES;569;10;;Óbitos;3550;;;; 
ARAME;901;9;;Recuperados;150971;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3228;50;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;72021;45%;;Leitos ocupados;56
BACURI;412;3;;MULHER;88947;55%;;Leitos livres;326
BACURITUBA;42;0;;;;;;% de ocupação;14,66%
BALSAS;5978;44;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
