;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3959
AÇAILÂNDIA;3157;82;;4.985;187.002;158050;;10 a 19 anos;11184
AFONSO CUNHA;143;2;;;;;;20 a 29 anos;25671
ÁGUA DOCE DO MARANHÃO;626;5;;CASOS NOVOS;;;;30 a 39 anos;33684
ALCÂNTARA;45;7;;Grande Ilha;34;;;40 a 49 anos;26711
ALDEIAS ALTAS;860;4;;Imperatriz;3;;;50 a 59 anos;18609
ALTAMIRA DO MARANHÃO;269;5;;Demais Regiões;169;;;60 a 70 anos;13420
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;10844
ALTO ALEGRE DO PINDARÉ;1381;19;;;;;;Não informado;13968
ALTO PARNAÍBA;260;2;;CASOS CONFIRMADOS;;;;TOTAL;158050
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;902;18;;Ativos;8439;Isolamento Domiciliar ;8002;;
ANAJATUBA;329;8;;;;Internação Enfermaria;259;Rede Pública;217
ANAPURUS;710;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;178;Rede Pública;157
ARAGUANÃ;518;2;;;;;;Rede Privada;21
ARAIOSES;563;10;;Óbitos;3508;;;; 
ARAME;885;9;;Recuperados;146103;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;130;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3196;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;70748;45%;;Leitos ocupados;60
BACURI;412;3;;MULHER;87302;55%;;Leitos livres;322
BACURITUBA;39;0;;;;;;% de ocupação;15,71%
BALSAS;5811;39;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3480;26;;3359;3273;62;;Total de leitos UTI;152
BARREIRINHAS;834;23;;;;;;Leitos ocupados UTI;54
BELA VISTA DO MARANHÃO;126;3;;;;;;Leitos livres;98
BELÁGUA;244;1;;TESTES REALIZADOS;;;;% de ocupação UTI;35,53%
BENEDITO LEITE;168;0;;LABORATÓRIO PÚBLICO;351;;;;
BEQUIMÃO;212;11;;LABORATÓRIO PRIVADO;180;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;347.202;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;347733;;;Total de leitos;552
BOM JARDIM;842;22;;;;;;Leitos ocupados;89
BOM JESUS DAS SELVAS;1550;10;;;;;;Leitos livres;463
BOM LUGAR;256;1;;ÓBITOS DE COVID-19;;;;% de ocupação;16,12%
BREJO;661;18;;;;;;;
BREJO DE AREIA;197;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;577;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;324;1;;10 a 19 anos;15;;;Leitos ocupados UTI;63
BURITICUPU;2189;4;;20 a 29 anos;34;;;Leitos livres;152
BURITIRANA;236;6;;30 a 39 anos;110;;;% de ocupação UTI;29,30%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;204;;;;
CAJAPIÓ;5;2;;50 a 59 anos;375;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;800;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;416;4;;Mais de 70 anos;1951;;;Total de leitos;81
CÂNDIDO MENDES;86;4;;TOTAL;3508;;;Leitos ocupados;68
CANTANHEDE;381;3;;;;;;Leitos livres;13
CAPINZAL DO NORTE;360;1;;;;;;% de ocupação;83,95%
CAROLINA;354;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;354;17;;HOMEM;2159;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3970;78;;MULHER;1349;38%;;Total de leitos UTI;54
CEDRAL;132;0;;;;;;Leitos ocupados UTI;40
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;14
CENTRO DO GUILHERME;342;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;74,07%
CENTRO NOVO DO MARANHÃO;617;7;;COM COMORBIDADES ;2966;85%;;;
CHAPADINHA;2666;45;;SEM COMORBIDADES ;542;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;301;1;;;;;;;
CODÓ;1805;48;;;;;;;
COELHO NETO;1549;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1599;27;;NEUROLÓGICO;199;;;;
CONCEIÇÃO DO LAGO-AÇU;157;6;;ONCOLÓGICO;130;;;RAÇA/COR;
COROATÁ;1497;10;;PNEUMOPATIA;53;;;AMARELA;30.951
CURURUPU;509;7;;CARDIOPATIA;436;;;BRANCA;17.282
DAVINÓPOLIS;254;7;;DOENÇA RENAL CRÔNICA;204;;;INDIGENA;1.076
DOM PEDRO;347;2;;DIABETES MELITUS;1343;;;PARDA;60.729
DUQUE BACELAR;375;8;;HIPERTENSÃO ARTERIAL;1921;;;PRETA;6.013
ESPERANTINÓPOLIS;623;13;;SEM COMORBIDADES;542;;;SEM INFORMAÇÃO;41.999
ESTREITO;2542;7;;OBESIDADE;150;;;TOTAL;158.050
FEIRA NOVA DO MARANHÃO;544;2;;OUTROS;470;;;;
FERNANDO FALCÃO;735;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;656;1;;;;;;PARDA;1773
FORTALEZA DOS NOGUEIRAS;581;2;;;;;;BRANCA;432
FORTUNA;543;1;;;;;;PRETA;236
GODOFREDO VIANA;86;3;;;;;;AMARELA;210
GONÇALVES DIAS;366;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;321;5;;;;;;TOTAL;3.508
GOVERNADOR EUGÊNIO BARROS;200;0;;;;;;;
GOVERNADOR LUIZ ROCHA;111;0;;;;;;;
GOVERNADOR NEWTON BELLO;471;4;;;;;;;
GOVERNADOR NUNES FREIRE;634;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2496;34;;;;;;;
GUIMARÃES;218;4;;;;;;;
HUMBERTO DE CAMPOS;630;5;;;;;;;
ICATU;212;6;;;;;;;
IGARAPÉ DO MEIO;256;9;;;;;;;
IGARAPÉ GRANDE;943;8;;;;;;;
IMPERATRIZ;5530;303;;;;;;;
ITAIPAVA DO GRAJAÚ;478;3;;;;;;;
ITAPECURU-MIRIM;752;11;;;;;;;
ITINGA DO MARANHÃO;574;11;;;;;;;
JATOBÁ;75;4;;;;;;;
JENIPAPO DOS VIEIRAS;682;9;;;;;;;
JOÃO LISBOA;242;10;;;;;;;
JOSELÂNDIA;418;0;;;;;;;
JUNCO DO MARANHÃO;188;0;;;;;;;
LAGO DA PEDRA;1199;43;;;;;;;
LAGO DO JUNCO;226;1;;;;;;;
LAGO DOS RODRIGUES;368;7;;;;;;;
LAGO VERDE;499;4;;;;;;;
LAGOA DO MATO;2;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;4;;;;;;;
LAJEADO NOVO;137;0;;;;;;;
