;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2169
AÇAILÂNDIA;2779;67;;5.083;133.867;114585;;10 a 19 anos;7007
AFONSO CUNHA;128;2;;;;;;20 a 29 anos;17360
ÁGUA DOCE DO MARANHÃO;557;5;;CASOS NOVOS;;;;30 a 39 anos;23567
ALCÂNTARA;38;6;;Grande Ilha;110;;;40 a 49 anos;19040
ALDEIAS ALTAS;416;0;;Imperatriz;2;;;50 a 59 anos;13308
ALTAMIRA DO MARANHÃO;223;5;;Demais Regiões;582;;;60 a 70 anos;9885
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8247
ALTO ALEGRE DO PINDARÉ;1192;4;;;;;;Não informado;14002
ALTO PARNAÍBA;99;1;;CASOS CONFIRMADOS;;;;TOTAL;114585
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;709;12;;Ativos;8770;Isolamento Domiciliar ;8163;;
ANAJATUBA;286;6;;;;Internação Enfermaria;365;Rede Pública;308
ANAPURUS;646;6;;;;;;Rede Privada;57
APICUM-AÇU;197;3;;;;Internação UTI;242;Rede Pública;208
ARAGUANÃ;451;2;;;;;;Rede Privada;34
ARAIOSES;504;9;;Óbitos;2943;;;; 
ARAME;284;4;;Recuperados;102872;;;;
ARARI;193;6;;;;;;GRANDE ILHA*;
AXIXÁ;108;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2936;41;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;2;;HOMEM;51654;45%;;Leitos ocupados;91
BACURI;385;2;;MULHER;62931;55%;;Leitos livres;291
BACURITUBA;22;0;;;;;;% de ocupação;23,82%
BALSAS;2122;15;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2468;19;;2961;2848;54;;Total de leitos UTI;152
BARREIRINHAS;404;20;;;;;;Leitos ocupados UTI;90
