;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3090
AÇAILÂNDIA;2983;77;;3.718;166.790;140571;;10 a 19 anos;9478
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;22402
ÁGUA DOCE DO MARANHÃO;592;5;;CASOS NOVOS;;;;30 a 39 anos;29727
ALCÂNTARA;40;6;;Grande Ilha;88;;;40 a 49 anos;23667
ALDEIAS ALTAS;785;4;;Imperatriz;11;;;50 a 59 anos;16420
ALTAMIRA DO MARANHÃO;262;5;;Demais Regiões;1.287;;;60 a 70 anos;12019
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9777
ALTO ALEGRE DO PINDARÉ;1304;17;;;;;;Não informado;13991
ALTO PARNAÍBA;171;1;;CASOS CONFIRMADOS;;;;TOTAL;140571
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;815;16;;Ativos;8109;Isolamento Domiciliar ;7661;;
ANAJATUBA;324;8;;;;Internação Enfermaria;261;Rede Pública;218
ANAPURUS;709;6;;;;;;Rede Privada;43
APICUM-AÇU;197;3;;;;Internação UTI;187;Rede Pública;161
ARAGUANÃ;481;2;;;;;;Rede Privada;26
ARAIOSES;541;10;;Óbitos;3302;;;; 
ARAME;735;7;;Recuperados;129160;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3113;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;144;2;;HOMEM;63186;45%;;Leitos ocupados;79
BACURI;408;3;;MULHER;77385;55%;;Leitos livres;303
BACURITUBA;39;0;;;;;;% de ocupação;20,68%
BALSAS;4317;26;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3119;24;;3233;3151;57;;Total de leitos UTI;152
