;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4150
AÇAILÂNDIA;3211;84;;5.050;191.666;161994;;10 a 19 anos;11556
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26317
ÁGUA DOCE DO MARANHÃO;639;5;;CASOS NOVOS;;;;30 a 39 anos;34459
ALCÂNTARA;137;7;;Grande Ilha;29;;;40 a 49 anos;27355
ALDEIAS ALTAS;874;4;;Imperatriz;13;;;50 a 59 anos;19103
ALTAMIRA DO MARANHÃO;270;5;;Demais Regiões;984;;;60 a 70 anos;13781
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;11182
ALTO ALEGRE DO PINDARÉ;1383;19;;;;;;Não informado;14091
ALTO PARNAÍBA;270;2;;CASOS CONFIRMADOS;;;;TOTAL;161994
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;923;18;;Ativos;6490;Isolamento Domiciliar ;6089;;
ANAJATUBA;332;8;;;;Internação Enfermaria;250;Rede Pública;202
ANAPURUS;710;6;;;;;;Rede Privada;48
APICUM-AÇU;197;3;;;;Internação UTI;151;Rede Pública;129
ARAGUANÃ;528;2;;;;;;Rede Privada;22
ARAIOSES;574;10;;Óbitos;3560;;;; 
ARAME;903;9;;Recuperados;151944;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3230;50;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;72429;45%;;Leitos ocupados;54
BACURI;412;3;;MULHER;89565;55%;;Leitos livres;328
BACURITUBA;44;0;;;;;;% de ocupação;14,14%
BALSAS;6039;45;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3630;29;;3402;3316;62;;Total de leitos UTI;152
BARREIRINHAS;863;23;;;;;;Leitos ocupados UTI;50
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;102
BELÁGUA;247;1;;TESTES REALIZADOS;;;;% de ocupação UTI;32,89%
BENEDITO LEITE;176;0;;LABORATÓRIO PÚBLICO;1997;;;;
BEQUIMÃO;212;11;;LABORATÓRIO PRIVADO;434;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;353.910;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;356341;;;Total de leitos;552
BOM JARDIM;869;22;;;;;;Leitos ocupados;82
BOM JESUS DAS SELVAS;1576;10;;;;;;Leitos livres;470
BOM LUGAR;257;1;;ÓBITOS DE COVID-19;;;;% de ocupação;14,86%
BREJO;671;18;;;;;;;
