;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3537
AÇAILÂNDIA;3091;80;;5.474;177.955;150144;;10 a 19 anos;10415
AFONSO CUNHA;137;2;;;;;;20 a 29 anos;24212
ÁGUA DOCE DO MARANHÃO;596;5;;CASOS NOVOS;;;;30 a 39 anos;31878
ALCÂNTARA;45;7;;Grande Ilha;99;;;40 a 49 anos;25347
ALDEIAS ALTAS;832;4;;Imperatriz;24;;;50 a 59 anos;17611
ALTAMIRA DO MARANHÃO;265;5;;Demais Regiões;1.098;;;60 a 70 anos;12811
ALTO ALEGRE DO MARANHÃO;345;11;;;;;;Mais de 70 anos;10358
ALTO ALEGRE DO PINDARÉ;1353;19;;;;;;Não informado;13975
ALTO PARNAÍBA;224;2;;CASOS CONFIRMADOS;;;;TOTAL;150144
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;843;16;;Ativos;8252;Isolamento Domiciliar ;7772;;
ANAJATUBA;323;8;;;;Internação Enfermaria;292;Rede Pública;250
ANAPURUS;709;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;188;Rede Pública;164
ARAGUANÃ;505;2;;;;;;Rede Privada;24
ARAIOSES;549;10;;Óbitos;3412;;;; 
ARAME;846;8;;Recuperados;138480;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;124;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3155;48;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;67331;45%;;Leitos ocupados;70
BACURI;412;3;;MULHER;82813;55%;;Leitos livres;312
BACURITUBA;39;0;;;;;;% de ocupação;18,32%
BALSAS;5081;34;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3291;24;;3298;3213;61;;Total de leitos UTI;152
BARREIRINHAS;727;23;;;;;;Leitos ocupados UTI;54
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;98
BELÁGUA;216;1;;TESTES REALIZADOS;;;;% de ocupação UTI;35,53%
BENEDITO LEITE;115;0;;LABORATÓRIO PÚBLICO;2156;;;;
BEQUIMÃO;207;10;;LABORATÓRIO PRIVADO;233;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;328.390;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;330779;;;Total de leitos;578
BOM JARDIM;816;22;;;;;;Leitos ocupados;106
BOM JESUS DAS SELVAS;1509;10;;;;;;Leitos livres;472
BOM LUGAR;206;1;;ÓBITOS DE COVID-19;;;;% de ocupação;18,34%
BREJO;647;18;;;;;;;
BREJO DE AREIA;196;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;547;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;311;1;;10 a 19 anos;15;;;Leitos ocupados UTI;63
