;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2333
AÇAILÂNDIA;2821;67;;4.636;142.673;120661;;10 a 19 anos;7583
AFONSO CUNHA;131;2;;;;;;20 a 29 anos;18537
ÁGUA DOCE DO MARANHÃO;569;5;;CASOS NOVOS;;;;30 a 39 anos;24865
ALCÂNTARA;39;6;;Grande Ilha;109;;;40 a 49 anos;20006
ALDEIAS ALTAS;485;0;;Imperatriz;46;;;50 a 59 anos;14022
ALTAMIRA DO MARANHÃO;237;5;;Demais Regiões;1.244;;;60 a 70 anos;10435
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8595
ALTO ALEGRE DO PINDARÉ;1201;4;;;;;;Não informado;14285
ALTO PARNAÍBA;105;1;;CASOS CONFIRMADOS;;;;TOTAL;120661
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;729;13;;Ativos;9080;Isolamento Domiciliar ;8499;;
ANAJATUBA;298;6;;;;Internação Enfermaria;357;Rede Pública;299
ANAPURUS;646;6;;;;;;Rede Privada;58
APICUM-AÇU;197;3;;;;Internação UTI;224;Rede Pública;193
ARAGUANÃ;453;2;;;;;;Rede Privada;31
ARAIOSES;514;10;;Óbitos;3013;;;; 
ARAME;542;4;;Recuperados;108568;;;;
ARARI;194;6;;;;;;GRANDE ILHA*;
AXIXÁ;121;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3050;44;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;54305;45%;;Leitos ocupados;91
BACURI;386;3;;MULHER;66356;55%;;Leitos livres;291
BACURITUBA;22;0;;;;;;% de ocupação;23,82%
BALSAS;2472;16;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2597;20;;3016;2916;54;;Total de leitos UTI;152
BARREIRINHAS;452;20;;;;;;Leitos ocupados UTI;76
BELA VISTA DO MARANHÃO;119;2;;;;;;Leitos livres;76
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;50,00%
BENEDITO LEITE;62;0;;LABORATÓRIO PÚBLICO;3343;;;;
BEQUIMÃO;200;10;;LABORATÓRIO PRIVADO;3;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;262637;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;265983;;;Total de leitos;578
BOM JARDIM;755;18;;;;;;Leitos ocupados;158
BOM JESUS DAS SELVAS;1342;7;;;;;;Leitos livres;420
BOM LUGAR;174;0;;ÓBITOS DE COVID-19;;;;% de ocupação;27,34%
BREJO;583;18;;;;;;;
BREJO DE AREIA;140;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;355;1;;0 a 9 anos;18;;;Total de leitos UTI;215
BURITI BRAVO;145;0;;10 a 19 anos;14;;;Leitos ocupados UTI;83
BURITICUPU;1830;4;;20 a 29 anos;30;;;Leitos livres;132
BURITIRANA;234;6;;30 a 39 anos;98;;;% de ocupação UTI;38,60%
CACHOEIRA GRANDE;166;3;;40 a 49 anos;172;;;;
CAJAPIÓ;5;2;;50 a 59 anos;324;;;IMPERATRIZ;
