;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2744
AÇAILÂNDIA;2898;76;;3.406;155.684;132060;;10 a 19 anos;8653
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;20792
ÁGUA DOCE DO MARANHÃO;583;5;;CASOS NOVOS;;;;30 a 39 anos;27674
ALCÂNTARA;40;6;;Grande Ilha;116;;;40 a 49 anos;22115
ALDEIAS ALTAS;668;0;;Imperatriz;18;;;50 a 59 anos;15390
ALTAMIRA DO MARANHÃO;250;5;;Demais Regiões;1.360;;;60 a 70 anos;11331
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;9245
ALTO ALEGRE DO PINDARÉ;1282;6;;;;;;Não informado;14116
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;132060
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;785;15;;Ativos;7013;Isolamento Domiciliar ;6568;;
ANAJATUBA;318;8;;;;Internação Enfermaria;261;Rede Pública;221
ANAPURUS;690;6;;;;;;Rede Privada;40
APICUM-AÇU;197;3;;;;Internação UTI;184;Rede Pública;158
ARAGUANÃ;479;2;;;;;;Rede Privada;26
ARAIOSES;534;10;;Óbitos;3204;;;; 
ARAME;693;7;;Recuperados;121843;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3077;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;59472;45%;;Leitos ocupados;80
BACURI;408;3;;MULHER;72588;55%;;Leitos livres;302
BACURITUBA;37;0;;;;;;% de ocupação;20,94%
