;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4064
AÇAILÂNDIA;3185;83;;5.139;188.824;160239;;10 a 19 anos;11357
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;25982
ÁGUA DOCE DO MARANHÃO;634;5;;CASOS NOVOS;;;;30 a 39 anos;34103
ALCÂNTARA;45;7;;Grande Ilha;69;;;40 a 49 anos;27071
ALDEIAS ALTAS;867;4;;Imperatriz;66;;;50 a 59 anos;18880
ALTAMIRA DO MARANHÃO;269;5;;Demais Regiões;941;;;60 a 70 anos;13628
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;11082
ALTO ALEGRE DO PINDARÉ;1383;19;;;;;;Não informado;14072
ALTO PARNAÍBA;260;2;;CASOS CONFIRMADOS;;;;TOTAL;160239
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;923;18;;Ativos;6894;Isolamento Domiciliar ;6470;;
ANAJATUBA;330;8;;;;Internação Enfermaria;267;Rede Pública;216
ANAPURUS;710;6;;;;;;Rede Privada;51
APICUM-AÇU;197;3;;;;Internação UTI;157;Rede Pública;134
ARAGUANÃ;528;2;;;;;;Rede Privada;23
ARAIOSES;569;10;;Óbitos;3539;;;; 
ARAME;899;9;;Recuperados;149806;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3207;50;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;71733;45%;;Leitos ocupados;68
BACURI;412;3;;MULHER;88506;55%;;Leitos livres;314
BACURITUBA;42;0;;;;;;% de ocupação;17,80%
BALSAS;5956;43;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3568;28;;3385;3299;62;;Total de leitos UTI;152
BARREIRINHAS;840;23;;;;;;Leitos ocupados UTI;50
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;102
