;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
Municípios;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1540
AÇAILÂNDIA;2580;54;;6565;100700;92939;;10 a 19 anos;5022
AFONSO CUNHA;83;1;;;;;;20 a 29 anos;13531
ÁGUA DOCE DO MARANHÃO;347;5;;CASOS NOVOS;;;;30 a 39 anos;19019
ALCÂNTARA;32;5;;Grande Ilha;128;;;40 a 49 anos;15347
ALDEIAS ALTAS;89;0;;Imperatriz;14;;;50 a 59 anos;10681
ALTAMIRA DO MARANHÃO;146;5;;Demais Regiões;709;;;60 a 70 anos;8075
ALTO ALEGRE DO MARANHÃO;318;9;;;;;;Mais de 70 anos;6874
ALTO ALEGRE DO PINDARÉ;1132;2;;;;;;Não informado;12850
ALTO PARNAÍBA;73;1;;CASOS CONFIRMADOS;;;;TOTAL;92939
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;518;11;;Ativos;18563;Isolamento Domiciliar ;17770;;
ANAJATUBA;242;6;;;;Internação Enfermaria;462;Rede Pública;394
ANAPURUS;517;4;;;;;;Rede Privada;68
APICUM-AÇU;196;3;;;;Internação UTI;331;Rede Pública;280
ARAGUANÃ;422;2;;;;;;Rede Privada;51
ARAIOSES;436;5;;Óbitos;2324;;;;
ARAME;151;4;;Recuperados;72052;;;;
ARARI;163;4;;;;;;GRANDE ILHA*;
AXIXÁ;70;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2139;23;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;124;1;;HOMEM;42026;45%;;Leitos ocupados;109
BACURI;365;2;;MULHER;50913;55%;;Leitos livres;273
BACURITUBA;19;0;;;;;;% de ocupação;28,53%
BALSAS;1257;9;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;0;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;1868;16;;2568;2401;50;;Total de leitos UTI;164
BARREIRINHAS;338;18;;;;;;Leitos ocupados UTI;136
BELA VISTA DO MARANHÃO;108;2;;;;;;Leitos livres;28
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;82,93%
BENEDITO LEITE;20;0;;LABORATÓRIO PÚBLICO;3135;;;;
BEQUIMÃO;170;9;;LABORATÓRIO PRIVADO;146;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;191287;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;194568;;;Total de leitos;618
BOM JARDIM;525;8;;;;;;Leitos ocupados;223
BOM JESUS DAS SELVAS;786;4;;;;;;Leitos livres;395
BOM LUGAR;147;0;;ÓBITOS DE COVID-19;;;;% de ocupação;36,08%
BREJO;439;11;;;;;;;
BREJO DE AREIA;104;0;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;248;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;51;0;;10 a 19 anos;13;;;Leitos ocupados UTI;100
BURITICUPU;1281;4;;20 a 29 anos;24;;;Leitos livres;119
BURITIRANA;208;6;;30 a 39 anos;80;;;% de ocupação UTI;45,66%
CACHOEIRA GRANDE;82;3;;40 a 49 anos;139;;;;
CAJAPIÓ;5;2;;50 a 59 anos;250;;;IMPERATRIZ;
CAJARI;119;1;;60 a 69 anos;558;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;183;1;;Mais de 70 anos;1245;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2324;;;Leitos ocupados;62
CANTANHEDE;342;1;;;;;;Leitos livres;19
CAPINZAL DO NORTE;258;0;;;;;;% de ocupação;76,54%
CAROLINA;155;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;249;15;;HOMEM;1444;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;1965;27;;MULHER;880;38%;;Total de leitos UTI;54
CEDRAL;93;0;;;;;;Leitos ocupados UTI;44
CENTRAL DO MARANHÃO;16;1;;;;;;Leitos livres;10
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;81,48%
CENTRO NOVO DO MARANHÃO;301;5;;COM COMORBIDADES;2022;87%;;;
CHAPADINHA;1925;26;;SEM COMORBIDADES;302;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;218;0;;;;;;;
CODÓ;1781;14;;;;;;;
COELHO NETO;1152;21;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;594;12;;NEUROLÓGICO;142;;;;
CONCEIÇÃO DO LAGO-AÇU;139;3;;ONCOLÓGICO;90;;;RAÇA/COR;Contagem
COROATÁ;554;6;;PNEUMOPATIA;23;;;AMARELA;12.132
CURURUPU;276;5;;CARDIOPATIA;276;;;BRANCA;7.511
DAVINÓPOLIS;199;6;;DOENÇA RENAL CRÔNICA;138;;;INDIGENA;302
DOM PEDRO;47;1;;DIABETES MELITUS;895;;;PARDA;30.876
DUQUE BACELAR;232;3;;HIPERTENSÃO ARTERIAL;1307;;;PRETA;2.977
ESPERANTINÓPOLIS;536;9;;SEM COMORBIDADES;337;;;SEM INFORMAÇÃO;39.141
ESTREITO;662;7;;OBESIDADE;102;;;TOTAL;92.939
FEIRA NOVA DO MARANHÃO;30;1;;OUTROS;318;;;;
FERNANDO FALCÃO;441;0;;;;;;;
FORMOSA DA SERRA NEGRA;80;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;62;0;;;;;;ÓBITOS RAÇA/COR;Contagem
FORTUNA;153;0;;;;;;AMARELA;181
GODOFREDO VIANA;66;2;;;;;;BRANCA;208
GONÇALVES DIAS;79;1;;;;;;INDIGENA;6
GOVERNADOR ARCHER;187;0;;;;;;PARDA;1.016
GOVERNADOR EDISON LOBÃO;174;4;;;;;;PRETA;135
GOVERNADOR EUGÊNIO BARROS;128;0;;;;;;SEM INFORMAÇÃO;778
GOVERNADOR LUIZ ROCHA;33;0;;;;;;TOTAL;2.324
GOVERNADOR NEWTON BELLO;335;4;;;;;;;
GOVERNADOR NUNES FREIRE;580;1;;;;;;;
GRAÇA ARANHA;104;1;;;;;;;
GRAJAÚ;1175;18;;;;;;;
GUIMARÃES;142;4;;;;;;;
HUMBERTO DE CAMPOS;233;3;;;;;;;
ICATU;165;5;;;;;;;
