;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1919
AÇAILÂNDIA;2817;66;;5940;121724;106092;;10 a 19 anos;6181
AFONSO CUNHA;128;1;;;;;;20 a 29 anos;15920
ÁGUA DOCE DO MARANHÃO;536;5;;CASOS NOVOS;;;;30 a 39 anos;21861
ALCÂNTARA;37;5;;Grande Ilha;90;;;40 a 49 anos;17617
ALDEIAS ALTAS;233;0;;Imperatriz;31;;;50 a 59 anos;12336
ALTAMIRA DO MARANHÃO;204;5;;Demais Regiões;788;;;60 a 70 anos;9183
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;7719
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13356
ALTO PARNAÍBA;94;1;;CASOS CONFIRMADOS;;;;TOTAL;106092
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;649;11;;Ativos;13056;Isolamento Domiciliar ;12443;;
ANAJATUBA;271;6;;;;Internação Enfermaria;354;Rede Pública;296
ANAPURUS;659;6;;;;;;Rede Privada;58
APICUM-AÇU;197;3;;;;Internação UTI;259;Rede Pública;222
ARAGUANÃ;426;2;;;;;;Rede Privada;37
ARAIOSES;484;8;;Óbitos;2676;;;;
ARAME;190;4;;Recuperados;90360;;;;
ARARI;185;6;;;;;;GRANDE ILHA*;
AXIXÁ;95;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2761;34;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;47682;45%;;Leitos ocupados;89
BACURI;376;2;;MULHER;58410;55%;;Leitos livres;293
BACURITUBA;21;0;;;;;;% de ocupação;23,30%
BALSAS;1772;11;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2192;18;;2758;2679;52;;Total de leitos UTI;164
BARREIRINHAS;389;18;;;;;;Leitos ocupados UTI;99
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;65
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;60,37%
BENEDITO LEITE;35;0;;LABORATÓRIO PÚBLICO;3483;;;;
BEQUIMÃO;191;10;;LABORATÓRIO PRIVADO;289;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;224973;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;228745;;;Total de leitos;618
BOM JARDIM;625;16;;;;;;Leitos ocupados;157
BOM JESUS DAS SELVAS;988;5;;;;;;Leitos livres;461
BOM LUGAR;161;0;;ÓBITOS DE COVID-19;;;;% de ocupação;25,40%
BREJO;547;15;;;;;;;
BREJO DE AREIA;112;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;295;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;83;0;;10 a 19 anos;13;;;Leitos ocupados UTI;88
BURITICUPU;1630;4;;20 a 29 anos;25;;;Leitos livres;131
BURITIRANA;209;6;;30 a 39 anos;90;;;% de ocupação UTI;40,18%
CACHOEIRA GRANDE;128;3;;40 a 49 anos;157;;;;
CAJAPIÓ;5;2;;50 a 59 anos;281;;;IMPERATRIZ;
CAJARI;120;1;;60 a 69 anos;641;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;210;1;;Mais de 70 anos;1454;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2676;;;Leitos ocupados;50
CANTANHEDE;380;2;;;;;;Leitos livres;31
CAPINZAL DO NORTE;285;0;;;;;;% de ocupação;61,73%
CAROLINA;192;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;254;15;;HOMEM;1657;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2380;54;;MULHER;1019;38%;;Total de leitos UTI;54
CEDRAL;104;0;;;;;;Leitos ocupados UTI;35
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;19
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;64,81%
CENTRO NOVO DO MARANHÃO;358;5;;COM COMORBIDADES;2334;87%;;;
CHAPADINHA;2402;35;;SEM COMORBIDADES;342;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;245;0;;;;;;;
CODÓ;1794;15;;;;;;;
COELHO NETO;1296;29;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;880;19;;NEUROLÓGICO;156;;;;
CONCEIÇÃO DO LAGO-AÇU;144;3;;ONCOLÓGICO;97;;;RAÇA/COR;
COROATÁ;626;8;;PNEUMOPATIA;24;;;AMARELA;15.898
CURURUPU;300;7;;CARDIOPATIA;293;;;BRANCA;9.476
DAVINÓPOLIS;202;7;;DOENÇA RENAL CRÔNICA;151;;;INDIGENA;402
DOM PEDRO;49;1;;DIABETES MELITUS;1001;;;PARDA;36.417
DUQUE BACELAR;277;4;;HIPERTENSÃO ARTERIAL;1454;;;PRETA;3.602
ESPERANTINÓPOLIS;577;11;;SEM COMORBIDADES;376;;;SEM INFORMAÇÃO;40.297
ESTREITO;784;7;;OBESIDADE;109;;;TOTAL;106.092
FEIRA NOVA DO MARANHÃO;66;1;;OUTROS;351;;;;
FERNANDO FALCÃO;509;0;;;;;;;
FORMOSA DA SERRA NEGRA;167;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;142;0;;;;;;ÓBITOS RAÇA/COR;
FORTUNA;180;0;;;;;;PARDA;1214
GODOFREDO VIANA;66;3;;;;;;BRANCA;272
GONÇALVES DIAS;172;1;;;;;;PRETA;162
GOVERNADOR ARCHER;211;0;;;;;;AMARELA;194
GOVERNADOR EDISON LOBÃO;175;4;;;;;;INDÍGENA;10
GOVERNADOR EUGÊNIO BARROS;154;0;;;;;;SEM INFORMAÇÃO;824
GOVERNADOR LUIZ ROCHA;56;0;;;;;;TOTAL;2.676
GOVERNADOR NEWTON BELLO;374;4;;;;;;;
GOVERNADOR NUNES FREIRE;582;2;;;;;;;
GRAÇA ARANHA;117;2;;;;;;;
GRAJAÚ;1490;19;;;;;;;
GUIMARÃES;164;4;;;;;;;
HUMBERTO DE CAMPOS;328;4;;;;;;;
ICATU;167;6;;;;;;;
IGARAPÉ DO MEIO;176;7;;;;;;;
IGARAPÉ GRANDE;766;5;;;;;;;
IMPERATRIZ;4543;219;;;;;;;
ITAIPAVA DO GRAJAÚ;163;0;;;;;;;
ITAPECURU-MIRIM;534;7;;;;;;;
ITINGA DO MARANHÃO;441;11;;;;;;;
JATOBÁ;30;0;;;;;;;
JENIPAPO DOS VIEIRAS;164;3;;;;;;;
JOÃO LISBOA;207;8;;;;;;;
JOSELÂNDIA;303;0;;;;;;;
JUNCO DO MARANHÃO;111;0;;;;;;;
LAGO DA PEDRA;1003;40;;;;;;;
LAGO DO JUNCO;143;1;;;;;;;
LAGO DOS RODRIGUES;221;4;;;;;;;
LAGO VERDE;397;2;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;45;0;;;;;;;
LIMA CAMPOS;484;4;;;;;;;
LORETO;65;0;;;;;;;
LUÍS DOMINGUES;50;1;;;;;;;
MAGALHÃES DE ALMEIDA;135;4;;;;;;;
MARACAÇUMÉ;430;1;;;;;;;
