;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2691
AÇAILÂNDIA;2893;76;;3.469;153.588;130566;;10 a 19 anos;8490
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;20496
ÁGUA DOCE DO MARANHÃO;581;5;;CASOS NOVOS;;;;30 a 39 anos;27268
ALCÂNTARA;40;6;;Grande Ilha;111;;;40 a 49 anos;21801
ALDEIAS ALTAS;642;0;;Imperatriz;9;;;50 a 59 anos;15217
ALTAMIRA DO MARANHÃO;250;5;;Demais Regiões;310;;;60 a 70 anos;11199
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;9167
ALTO ALEGRE DO PINDARÉ;1282;6;;;;;;Não informado;14237
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;130566
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;784;15;;Ativos;7012;Isolamento Domiciliar ;6561;;
ANAJATUBA;318;8;;;;Internação Enfermaria;264;Rede Pública;223
ANAPURUS;689;6;;;;;;Rede Privada;41
APICUM-AÇU;197;3;;;;Internação UTI;187;Rede Pública;162
ARAGUANÃ;479;2;;;;;;Rede Privada;25
ARAIOSES;533;10;;Óbitos;3187;;;; 
ARAME;672;7;;Recuperados;120367;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;121;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3073;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;58803;45%;;Leitos ocupados;81
BACURI;403;3;;MULHER;71763;55%;;Leitos livres;301
BACURITUBA;33;0;;;;;;% de ocupação;21,20%
BALSAS;3231;17;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2800;23;;3117;3033;57;;Total de leitos UTI;152
BARREIRINHAS;493;22;;;;;;Leitos ocupados UTI;65
BELA VISTA DO MARANHÃO;121;3;;;;;;Leitos livres;87
BELÁGUA;198;1;;TESTES REALIZADOS;;;;% de ocupação UTI;42,76%
BENEDITO LEITE;84;0;;LABORATÓRIO PÚBLICO;1130;;;;
