;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2257
AÇAILÂNDIA;2796;67;;4.824;138.241;117694;;10 a 19 anos;7318
AFONSO CUNHA;131;2;;;;;;20 a 29 anos;17973
ÁGUA DOCE DO MARANHÃO;567;5;;CASOS NOVOS;;;;30 a 39 anos;24243
ALCÂNTARA;38;6;;Grande Ilha;90;;;40 a 49 anos;19521
ALDEIAS ALTAS;471;0;;Imperatriz;21;;;50 a 59 anos;13667
ALTAMIRA DO MARANHÃO;233;5;;Demais Regiões;1.595;;;60 a 70 anos;10160
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8437
ALTO ALEGRE DO PINDARÉ;1194;4;;;;;;Não informado;14118
ALTO PARNAÍBA;105;1;;CASOS CONFIRMADOS;;;;TOTAL;117694
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;724;12;;Ativos;9045;Isolamento Domiciliar ;8463;;
ANAJATUBA;286;6;;;;Internação Enfermaria;346;Rede Pública;289
ANAPURUS;646;6;;;;;;Rede Privada;57
APICUM-AÇU;197;3;;;;Internação UTI;236;Rede Pública;205
ARAGUANÃ;453;2;;;;;;Rede Privada;31
ARAIOSES;513;9;;Óbitos;2978;;;; 
ARAME;455;4;;Recuperados;105671;;;;
ARARI;193;6;;;;;;GRANDE ILHA*;
AXIXÁ;120;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2999;41;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;2;;HOMEM;53009;45%;;Leitos ocupados;88
BACURI;386;3;;MULHER;64685;55%;;Leitos livres;294
BACURITUBA;22;0;;;;;;% de ocupação;23,04%
BALSAS;2243;16;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2469;19;;2976;2864;54;;Total de leitos UTI;152
BARREIRINHAS;415;20;;;;;;Leitos ocupados UTI;81
BELA VISTA DO MARANHÃO;118;2;;;;;;Leitos livres;71
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;53,29%
BENEDITO LEITE;54;0;;LABORATÓRIO PÚBLICO;3742;;;;
BEQUIMÃO;200;10;;LABORATÓRIO PRIVADO;346;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;254907;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;258995;;;Total de leitos;618
BOM JARDIM;742;17;;;;;;Leitos ocupados;151
BOM JESUS DAS SELVAS;1254;7;;;;;;Leitos livres;467
BOM LUGAR;173;0;;ÓBITOS DE COVID-19;;;;% de ocupação;24,43%
BREJO;582;18;;;;;;;
BREJO DE AREIA;140;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;342;1;;0 a 9 anos;17;;;Total de leitos UTI;225
BURITI BRAVO;131;0;;10 a 19 anos;14;;;Leitos ocupados UTI;93
BURITICUPU;1824;4;;20 a 29 anos;30;;;Leitos livres;132
BURITIRANA;234;6;;30 a 39 anos;96;;;% de ocupação UTI;41,33%
CACHOEIRA GRANDE;161;3;;40 a 49 anos;171;;;;
CAJAPIÓ;5;2;;50 a 59 anos;322;;;IMPERATRIZ;
CAJARI;121;2;;60 a 69 anos;699;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;235;1;;Mais de 70 anos;1629;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2978;;;Leitos ocupados;50
CANTANHEDE;378;3;;;;;;Leitos livres;31
CAPINZAL DO NORTE;309;1;;;;;;% de ocupação;61,73%
CAROLINA;225;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;254;16;;HOMEM;1842;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2785;62;;MULHER;1136;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;31
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;23
CENTRO DO GUILHERME;55;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;57,41%
CENTRO NOVO DO MARANHÃO;470;5;;COM COMORBIDADES ;2536;85%;;;
CHAPADINHA;2509;39;;SEM COMORBIDADES ;442;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;253;0;;;;;;;
CODÓ;1788;18;;;;;;;
COELHO NETO;1387;32;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1067;23;;NEUROLÓGICO;178;;;;
CONCEIÇÃO DO LAGO-AÇU;146;3;;ONCOLÓGICO;113;;;RAÇA/COR;
COROATÁ;688;9;;PNEUMOPATIA;36;;;AMARELA;19.244
CURURUPU;428;7;;CARDIOPATIA;353;;;BRANCA;11.336
DAVINÓPOLIS;219;7;;DOENÇA RENAL CRÔNICA;174;;;INDIGENA;611
DOM PEDRO;85;2;;DIABETES MELITUS;1151;;;PARDA;41.796
DUQUE BACELAR;301;6;;HIPERTENSÃO ARTERIAL;1667;;;PRETA;4.135
ESPERANTINÓPOLIS;613;11;;SEM COMORBIDADES;442;;;SEM INFORMAÇÃO;40.572
ESTREITO;967;7;;OBESIDADE;128;;;TOTAL;117.694
FEIRA NOVA DO MARANHÃO;128;1;;OUTROS;405;;;;
FERNANDO FALCÃO;557;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;361;1;;;;;;PARDA;1.415
FORTALEZA DOS NOGUEIRAS;280;0;;;;;;BRANCA;339
FORTUNA;218;0;;;;;;PRETA;187
GODOFREDO VIANA;76;3;;;;;;AMARELA;198
GONÇALVES DIAS;240;1;;;;;;INDÍGENA;12
GOVERNADOR ARCHER;249;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;222;4;;;;;;TOTAL;2.978
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;;
GOVERNADOR LUIZ ROCHA;73;0;;;;;;;
GOVERNADOR NEWTON BELLO;403;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1773;21;;;;;;;
GUIMARÃES;169;4;;;;;;;
HUMBERTO DE CAMPOS;377;5;;;;;;;
ICATU;172;6;;;;;;;
IGARAPÉ DO MEIO;194;7;;;;;;;
IGARAPÉ GRANDE;835;7;;;;;;;
IMPERATRIZ;4592;226;;;;;;;
ITAIPAVA DO GRAJAÚ;184;1;;;;;;;
ITAPECURU-MIRIM;633;8;;;;;;;
ITINGA DO MARANHÃO;476;11;;;;;;;
JATOBÁ;33;2;;;;;;;
JENIPAPO DOS VIEIRAS;214;4;;;;;;;
JOÃO LISBOA;212;9;;;;;;;
JOSELÂNDIA;329;0;;;;;;;
JUNCO DO MARANHÃO;117;0;;;;;;;
LAGO DA PEDRA;1048;41;;;;;;;
LAGO DO JUNCO;165;1;;;;;;;
LAGO DOS RODRIGUES;268;5;;;;;;;
LAGO VERDE;439;3;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;63;0;;;;;;;
LIMA CAMPOS;510;5;;;;;;;
LORETO;93;2;;;;;;;
LUÍS DOMINGUES;55;1;;;;;;;
MAGALHÃES DE ALMEIDA;265;4;;;;;;;
MARACAÇUMÉ;448;3;;;;;;;
MARAJÁ DO SENA;132;2;;;;;;;
MARANHÃOZINHO;353;3;;;;;;;
MATA ROMA;330;9;;;;;;;
MATINHA;229;2;;;;;;;
MATÕES;240;2;;;;;;;
MATÕES DO NORTE;185;1;;;;;;;
MILAGRES DO MARANHÃO;143;1;;;;;;;
MIRADOR;252;2;;;;;;;
MIRANDA DO NORTE;134;5;;;;;;;
MIRINZAL;124;6;;;;;;;
MONÇÃO;281;15;;;;;;;
MONTES ALTOS;168;2;;;;;;;
MORROS;133;6;;;;;;;
NINA RODRIGUES;163;4;;;;;;;
NOVA COLINAS;25;0;;;;;;;
NOVA IORQUE;19;0;;;;;;;
NOVA OLINDA DO MARANHÃO;264;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;366;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;494;76;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;229;2;;;;;;;
PARNARAMA;206;0;;;;;;;
PASSAGEM FRANCA;102;0;;;;;;;
PASTOS BONS;115;1;;;;;;;
PAULINO NEVES;137;1;;;;;;;
PAULO RAMOS;660;7;;;;;;;
PEDREIRAS;1353;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;211;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;322;3;;;;;;;
PINDARÉ-MIRIM;559;10;;;;;;;
PINHEIRO;1561;27;;;;;;;
PIO XII;758;6;;;;;;;
PIRAPEMAS;243;3;;;;;;;
POÇÃO DE PEDRAS;516;2;;;;;;;
PORTO FRANCO;470;7;;;;;;;
PORTO RICO DO MARANHÃO;87;1;;;;;;;
PRESIDENTE DUTRA;1048;6;;;;;;;
PRESIDENTE JUSCELINO;27;0;;;;;;;
PRESIDENTE MÉDICI;182;0;;;;;;;
PRESIDENTE SARNEY;167;6;;;;;;;
PRESIDENTE VARGAS;48;1;;;;;;;
PRIMEIRA CRUZ;40;2;;;;;;;
RAPOSA;110;13;;;;;;;
RIACHÃO;145;2;;;;;;;
RIBAMAR FIQUENE;129;7;;;;;;;
ROSÁRIO;360;10;;;;;;;
SAMBAÍBA;29;1;;;;;;;
