;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1855
AÇAILÂNDIA;2788;62;;6183;117186;104126;;10 a 19 anos;6013
AFONSO CUNHA;124;1;;;;;;20 a 29 anos;15564
ÁGUA DOCE DO MARANHÃO;521;5;;CASOS NOVOS;;;;30 a 39 anos;21461
ALCÂNTARA;37;5;;Grande Ilha;112;;;40 a 49 anos;17291
ALDEIAS ALTAS;198;0;;Imperatriz;19;;;50 a 59 anos;12084
ALTAMIRA DO MARANHÃO;197;5;;Demais Regiões;1.526;;;60 a 70 anos;9016
ALTO ALEGRE DO MARANHÃO;321;11;;;;;;Mais de 70 anos;7594
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13248
ALTO PARNAÍBA;94;1;;CASOS CONFIRMADOS;;;;TOTAL;104126
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;609;11;;Ativos;14459;Isolamento Domiciliar ;13823;;
ANAJATUBA;271;6;;;;Internação Enfermaria;349;Rede Pública;288
ANAPURUS;659;6;;;;;;Rede Privada;61
APICUM-AÇU;197;3;;;;Internação UTI;287;Rede Pública;247
ARAGUANÃ;426;2;;;;;;Rede Privada;40
ARAIOSES;479;8;;Óbitos;2608;;;;
ARAME;180;4;;Recuperados;87059;;;;
ARARI;179;6;;;;;;GRANDE ILHA*;
AXIXÁ;95;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2724;33;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;129;1;;HOMEM;46801;45%;;Leitos ocupados;90
BACURI;376;2;;MULHER;57325;55%;;Leitos livres;292
BACURITUBA;21;0;;;;;;% de ocupação;23,56%
BALSAS;1681;11;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
