;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3579
AÇAILÂNDIA;3096;80;;5.811;178.963;150895;;10 a 19 anos;10476
AFONSO CUNHA;137;2;;;;;;20 a 29 anos;24363
ÁGUA DOCE DO MARANHÃO;596;5;;CASOS NOVOS;;;;30 a 39 anos;32067
ALCÂNTARA;45;7;;Grande Ilha;90;;;40 a 49 anos;25475
ALDEIAS ALTAS;832;4;;Imperatriz;14;;;50 a 59 anos;17691
ALTAMIRA DO MARANHÃO;266;5;;Demais Regiões;647;;;60 a 70 anos;12864
ALTO ALEGRE DO MARANHÃO;347;11;;;;;;Mais de 70 anos;10405
ALTO ALEGRE DO PINDARÉ;1353;19;;;;;;Não informado;13975
ALTO PARNAÍBA;227;2;;CASOS CONFIRMADOS;;;;TOTAL;150895
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;853;17;;Ativos;8444;Isolamento Domiciliar ;7972;;
ANAJATUBA;323;8;;;;Internação Enfermaria;285;Rede Pública;243
ANAPURUS;709;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;187;Rede Pública;163
ARAGUANÃ;505;2;;;;;;Rede Privada;24
ARAIOSES;549;10;;Óbitos;3424;;;; 
ARAME;855;8;;Recuperados;139027;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;124;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3155;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;67668;45%;;Leitos ocupados;71
BACURI;412;3;;MULHER;83227;55%;;Leitos livres;311
BACURITUBA;39;0;;;;;;% de ocupação;18,59%
BALSAS;5180;34;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3313;24;;3302;3217;61;;Total de leitos UTI;152
BARREIRINHAS;727;23;;;;;;Leitos ocupados UTI;55
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;97
BELÁGUA;216;1;;TESTES REALIZADOS;;;;% de ocupação UTI;36,18%
BENEDITO LEITE;129;0;;LABORATÓRIO PÚBLICO;1455;;;;
BEQUIMÃO;207;10;;LABORATÓRIO PRIVADO;304;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;330.779;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;332538;;;Total de leitos;578
BOM JARDIM;820;22;;;;;;Leitos ocupados;102
BOM JESUS DAS SELVAS;1509;10;;;;;;Leitos livres;476
BOM LUGAR;206;1;;ÓBITOS DE COVID-19;;;;% de ocupação;17,65%
BREJO;647;18;;;;;;;
BREJO DE AREIA;196;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;554;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;311;1;;10 a 19 anos;15;;;Leitos ocupados UTI;63
BURITICUPU;2171;4;;20 a 29 anos;34;;;Leitos livres;152
BURITIRANA;236;6;;30 a 39 anos;109;;;% de ocupação UTI;29,30%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;199;;;;
CAJAPIÓ;5;2;;50 a 59 anos;365;;;IMPERATRIZ;
CAJARI;125;4;;60 a 69 anos;785;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;381;4;;Mais de 70 anos;1898;;;Total de leitos;81
CÂNDIDO MENDES;53;4;;TOTAL;3424;;;Leitos ocupados;70
CANTANHEDE;381;3;;;;;;Leitos livres;11
CAPINZAL DO NORTE;352;1;;;;;;% de ocupação;86,42%
CAROLINA;334;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;350;17;;HOMEM;2105;61%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3846;72;;MULHER;1319;39%;;Total de leitos UTI;54
CEDRAL;121;0;;;;;;Leitos ocupados UTI;45
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;9
CENTRO DO GUILHERME;339;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;83,33%
CENTRO NOVO DO MARANHÃO;609;7;;COM COMORBIDADES ;2900;85%;;;
CHAPADINHA;2666;44;;SEM COMORBIDADES ;524;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;289;1;;;;;;;
CODÓ;1797;27;;;;;;;
COELHO NETO;1542;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1546;27;;NEUROLÓGICO;194;;;;
CONCEIÇÃO DO LAGO-AÇU;152;5;;ONCOLÓGICO;128;;;RAÇA/COR;
COROATÁ;1264;10;;PNEUMOPATIA;52;;;AMARELA;28.987
CURURUPU;507;7;;CARDIOPATIA;422;;;BRANCA;16.268
DAVINÓPOLIS;248;7;;DOENÇA RENAL CRÔNICA;201;;;INDIGENA;1.045
DOM PEDRO;296;2;;DIABETES MELITUS;1311;;;PARDA;57.353
DUQUE BACELAR;348;8;;HIPERTENSÃO ARTERIAL;1883;;;PRETA;5.708
ESPERANTINÓPOLIS;621;13;;SEM COMORBIDADES;524;;;SEM INFORMAÇÃO;41.534
ESTREITO;1940;7;;OBESIDADE;144;;;TOTAL;150.895
FEIRA NOVA DO MARANHÃO;427;2;;OUTROS;467;;;;
FERNANDO FALCÃO;733;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;634;1;;;;;;PARDA;1703
FORTALEZA DOS NOGUEIRAS;547;2;;;;;;BRANCA;422
FORTUNA;481;1;;;;;;PRETA;233
GODOFREDO VIANA;85;3;;;;;;AMARELA;209
GONÇALVES DIAS;346;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;271;5;;;;;;TOTAL;3.424
GOVERNADOR EUGÊNIO BARROS;199;0;;;;;;;
GOVERNADOR LUIZ ROCHA;104;0;;;;;;;
GOVERNADOR NEWTON BELLO;447;4;;;;;;;
GOVERNADOR NUNES FREIRE;620;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2369;33;;;;;;;
GUIMARÃES;214;4;;;;;;;
HUMBERTO DE CAMPOS;572;5;;;;;;;
ICATU;211;6;;;;;;;
IGARAPÉ DO MEIO;249;9;;;;;;;
IGARAPÉ GRANDE;942;8;;;;;;;
IMPERATRIZ;5310;286;;;;;;;
ITAIPAVA DO GRAJAÚ;438;3;;;;;;;
ITAPECURU-MIRIM;717;11;;;;;;;
ITINGA DO MARANHÃO;551;11;;;;;;;
JATOBÁ;61;4;;;;;;;
JENIPAPO DOS VIEIRAS;631;9;;;;;;;
JOÃO LISBOA;235;10;;;;;;;
JOSELÂNDIA;412;0;;;;;;;
JUNCO DO MARANHÃO;185;0;;;;;;;
LAGO DA PEDRA;1183;43;;;;;;;
LAGO DO JUNCO;215;1;;;;;;;
LAGO DOS RODRIGUES;333;7;;;;;;;
LAGO VERDE;494;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;3;;;;;;;
LAJEADO NOVO;110;0;;;;;;;
LIMA CAMPOS;653;6;;;;;;;
