;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3651
AÇAILÂNDIA;3101;82;;5.605;181.158;152681;;10 a 19 anos;10625
AFONSO CUNHA;141;2;;;;;;20 a 29 anos;24695
ÁGUA DOCE DO MARANHÃO;600;5;;CASOS NOVOS;;;;30 a 39 anos;32505
ALCÂNTARA;45;7;;Grande Ilha;108;;;40 a 49 anos;25783
ALDEIAS ALTAS;839;4;;Imperatriz;42;;;50 a 59 anos;17905
ALTAMIRA DO MARANHÃO;267;5;;Demais Regiões;916;;;60 a 70 anos;13023
ALTO ALEGRE DO MARANHÃO;347;11;;;;;;Mais de 70 anos;10521
ALTO ALEGRE DO PINDARÉ;1355;19;;;;;;Não informado;13973
ALTO PARNAÍBA;246;2;;CASOS CONFIRMADOS;;;;TOTAL;152681
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;868;18;;Ativos;7569;Isolamento Domiciliar ;7109;;
ANAJATUBA;327;8;;;;Internação Enfermaria;275;Rede Pública;234
ANAPURUS;710;6;;;;;;Rede Privada;41
APICUM-AÇU;197;3;;;;Internação UTI;185;Rede Pública;162
ARAGUANÃ;505;2;;;;;;Rede Privada;23
ARAIOSES;554;10;;Óbitos;3457;;;; 
ARAME;872;8;;Recuperados;141655;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;124;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3172;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;68478;45%;;Leitos ocupados;70
BACURI;412;3;;MULHER;84203;55%;;Leitos livres;312
BACURITUBA;39;0;;;;;;% de ocupação;18,32%
BALSAS;5347;35;;PROFISSIONAIS DA SAÚDE;;;;;
