;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1771
AÇAILÂNDIA;2697;62;;6274;112760;101467;;10 a 19 anos;5771
AFONSO CUNHA;117;1;;;;;;20 a 29 anos;15077
ÁGUA DOCE DO MARANHÃO;507;5;;CASOS NOVOS;;;;30 a 39 anos;20859
ALCÂNTARA;34;5;;Grande Ilha;85;;;40 a 49 anos;16819
ALDEIAS ALTAS;146;0;;Imperatriz;49;;;50 a 59 anos;11741
ALTAMIRA DO MARANHÃO;182;5;;Demais Regiões;1.503;;;60 a 70 anos;8784
ALTO ALEGRE DO MARANHÃO;321;11;;;;;;Mais de 70 anos;7439
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13206
ALTO PARNAÍBA;87;1;;CASOS CONFIRMADOS;;;;TOTAL;101467
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;596;11;;Ativos;18107;Isolamento Domiciliar ;17412;;
ANAJATUBA;263;6;;;;Internação Enfermaria;377;Rede Pública;310
ANAPURUS;661;6;;;;;;Rede Privada;67
APICUM-AÇU;197;3;;;;Internação UTI;318;Rede Pública;273
ARAGUANÃ;427;2;;;;;;Rede Privada;45
ARAIOSES;467;8;;Óbitos;2536;;;;
ARAME;163;4;;Recuperados;80824;;;;
ARARI;175;4;;;;;;GRANDE ILHA*;
AXIXÁ;90;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2665;33;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;128;1;;HOMEM;45688;45%;;Leitos ocupados;101
BACURI;374;2;;MULHER;55779;55%;;Leitos livres;281
BACURITUBA;21;0;;;;;;% de ocupação;26,44%
BALSAS;1599;10;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2085;17;;2698;2592;50;;Total de leitos UTI;164
BARREIRINHAS;381;18;;;;;;Leitos ocupados UTI;133
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;31
