;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2300
AÇAILÂNDIA;2817;67;;4.708;140.726;119262;;10 a 19 anos;7455
AFONSO CUNHA;131;2;;;;;;20 a 29 anos;18250
ÁGUA DOCE DO MARANHÃO;567;5;;CASOS NOVOS;;;;30 a 39 anos;24571
ALCÂNTARA;38;6;;Grande Ilha;110;;;40 a 49 anos;19788
ALDEIAS ALTAS;479;0;;Imperatriz;2;;;50 a 59 anos;13881
ALTAMIRA DO MARANHÃO;233;5;;Demais Regiões;1.456;;;60 a 70 anos;10308
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8510
ALTO ALEGRE DO PINDARÉ;1198;4;;;;;;Não informado;14199
ALTO PARNAÍBA;105;1;;CASOS CONFIRMADOS;;;;TOTAL;119262
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;725;13;;Ativos;9161;Isolamento Domiciliar ;8580;;
ANAJATUBA;292;6;;;;Internação Enfermaria;349;Rede Pública;294
ANAPURUS;646;6;;;;;;Rede Privada;55
APICUM-AÇU;197;3;;;;Internação UTI;232;Rede Pública;201
ARAGUANÃ;453;2;;;;;;Rede Privada;31
ARAIOSES;513;9;;Óbitos;2996;;;; 
ARAME;479;4;;Recuperados;107105;;;;
ARARI;193;6;;;;;;GRANDE ILHA*;
AXIXÁ;120;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3036;43;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;132;2;;HOMEM;53687;45%;;Leitos ocupados;89
BACURI;386;3;;MULHER;65575;55%;;Leitos livres;293
BACURITUBA;22;0;;;;;;% de ocupação;23,30%
BALSAS;2320;16;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2597;20;;2999;2892;54;;Total de leitos UTI;152
BARREIRINHAS;436;20;;;;;;Leitos ocupados UTI;79
BELA VISTA DO MARANHÃO;118;2;;;;;;Leitos livres;73
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;51,97%
BENEDITO LEITE;56;0;;LABORATÓRIO PÚBLICO;3637;;;;
BEQUIMÃO;200;10;;LABORATÓRIO PRIVADO;674;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;258995;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;263306;;;Total de leitos;618
BOM JARDIM;742;18;;;;;;Leitos ocupados;156
BOM JESUS DAS SELVAS;1313;7;;;;;;Leitos livres;462
BOM LUGAR;174;0;;ÓBITOS DE COVID-19;;;;% de ocupação;25,24%
BREJO;583;18;;;;;;;
BREJO DE AREIA;140;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;347;1;;0 a 9 anos;18;;;Total de leitos UTI;225
BURITI BRAVO;139;0;;10 a 19 anos;14;;;Leitos ocupados UTI;89
BURITICUPU;1828;4;;20 a 29 anos;30;;;Leitos livres;136
BURITIRANA;234;6;;30 a 39 anos;97;;;% de ocupação UTI;39,56%
CACHOEIRA GRANDE;166;3;;40 a 49 anos;172;;;;
CAJAPIÓ;5;2;;50 a 59 anos;323;;;IMPERATRIZ;
CAJARI;121;2;;60 a 69 anos;703;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;244;1;;Mais de 70 anos;1639;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2996;;;Leitos ocupados;49
CANTANHEDE;378;3;;;;;;Leitos livres;32
CAPINZAL DO NORTE;309;1;;;;;;% de ocupação;60,49%
CAROLINA;226;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;257;16;;HOMEM;1853;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2849;65;;MULHER;1143;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;33
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;21
CENTRO DO GUILHERME;62;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;61,11%
CENTRO NOVO DO MARANHÃO;483;5;;COM COMORBIDADES ;2547;85%;;;
CHAPADINHA;2517;39;;SEM COMORBIDADES ;449;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;253;0;;;;;;;
CODÓ;1790;18;;;;;;;
COELHO NETO;1400;32;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1083;23;;NEUROLÓGICO;179;;;;
CONCEIÇÃO DO LAGO-AÇU;146;3;;ONCOLÓGICO;114;;;RAÇA/COR;
COROATÁ;719;9;;PNEUMOPATIA;36;;;AMARELA;19.722
CURURUPU;434;7;;CARDIOPATIA;355;;;BRANCA;11.591
DAVINÓPOLIS;219;7;;DOENÇA RENAL CRÔNICA;174;;;INDIGENA;628
DOM PEDRO;111;2;;DIABETES MELITUS;1156;;;PARDA;42.478
DUQUE BACELAR;303;7;;HIPERTENSÃO ARTERIAL;1673;;;PRETA;4.207
ESPERANTINÓPOLIS;613;12;;SEM COMORBIDADES;449;;;SEM INFORMAÇÃO;40.636
ESTREITO;990;7;;OBESIDADE;129;;;TOTAL;119.262
FEIRA NOVA DO MARANHÃO;135;1;;OUTROS;408;;;;
