;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4234
AÇAILÂNDIA;3228;84;;4.802;195.378;163802;;10 a 19 anos;11723
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26612
ÁGUA DOCE DO MARANHÃO;642;5;;CASOS NOVOS;;;;30 a 39 anos;34810
ALCÂNTARA;146;7;;Grande Ilha;21;;;40 a 49 anos;27616
ALDEIAS ALTAS;887;4;;Imperatriz;25;;;50 a 59 anos;19306
ALTAMIRA DO MARANHÃO;270;5;;Demais Regiões;758;;;60 a 70 anos;14036
ALTO ALEGRE DO MARANHÃO;354;12;;;;;;Mais de 70 anos;11328
ALTO ALEGRE DO PINDARÉ;1412;19;;;;;;Não informado;14137
ALTO PARNAÍBA;274;2;;CASOS CONFIRMADOS;;;;TOTAL;163802
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;957;18;;Ativos;5763;Isolamento Domiciliar ;5380;;
ANAJATUBA;332;8;;;;Internação Enfermaria;232;Rede Pública;185
ANAPURUS;710;6;;;;;;Rede Privada;47
APICUM-AÇU;197;3;;;;Internação UTI;151;Rede Pública;129
ARAGUANÃ;532;2;;;;;;Rede Privada;22
ARAIOSES;574;10;;Óbitos;3601;;;; 
ARAME;908;9;;Recuperados;154438;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3242;51;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;149;2;;HOMEM;73198;45%;;Leitos ocupados;52
BACURI;415;3;;MULHER;90604;55%;;Leitos livres;330
BACURITUBA;45;0;;;;;;% de ocupação;13,61%
BALSAS;6070;50;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3682;30;;3413;3329;64;;Total de leitos UTI;152
BARREIRINHAS;871;23;;;;;;Leitos ocupados UTI;48
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;104
BELÁGUA;247;1;;TESTES REALIZADOS;;;;% de ocupação UTI;31,58%
BENEDITO LEITE;177;0;;LABORATÓRIO PÚBLICO;2219;;;;
BEQUIMÃO;232;11;;LABORATÓRIO PRIVADO;36;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;359.606;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;361861;;;Total de leitos;552
BOM JARDIM;884;23;;;;;;Leitos ocupados;74
