;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2878
AÇAILÂNDIA;2925;76;;3.599;161.067;135324;;10 a 19 anos;8985
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;21415
ÁGUA DOCE DO MARANHÃO;587;5;;CASOS NOVOS;;;;30 a 39 anos;28457
ALCÂNTARA;40;6;;Grande Ilha;66;;;40 a 49 anos;22702
ALDEIAS ALTAS;735;4;;Imperatriz;8;;;50 a 59 anos;15781
ALTAMIRA DO MARANHÃO;250;5;;Demais Regiões;1.057;;;60 a 70 anos;11607
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9466
ALTO ALEGRE DO PINDARÉ;1288;10;;;;;;Não informado;14033
ALTO PARNAÍBA;125;1;;CASOS CONFIRMADOS;;;;TOTAL;135324
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;801;15;;Ativos;8048;Isolamento Domiciliar ;7599;;
ANAJATUBA;320;8;;;;Internação Enfermaria;261;Rede Pública;218
ANAPURUS;704;6;;;;;;Rede Privada;43
APICUM-AÇU;197;3;;;;Internação UTI;188;Rede Pública;162
ARAGUANÃ;480;2;;;;;;Rede Privada;26
ARAIOSES;537;10;;Óbitos;3240;;;; 
ARAME;693;7;;Recuperados;124036;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3095;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;134;2;;HOMEM;60884;45%;;Leitos ocupados;78
BACURI;408;3;;MULHER;74440;55%;;Leitos livres;304
BACURITUBA;39;0;;;;;;% de ocupação;20,42%
BALSAS;3480;21;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2932;24;;3200;3118;57;;Total de leitos UTI;152
BARREIRINHAS;544;23;;;;;;Leitos ocupados UTI;60
BELA VISTA DO MARANHÃO;122;3;;;;;;Leitos livres;92
BELÁGUA;201;1;;TESTES REALIZADOS;;;;% de ocupação UTI;39,47%
BENEDITO LEITE;89;0;;LABORATÓRIO PÚBLICO;2679;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;92;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;296.300;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;299071;;;Total de leitos;578
BOM JARDIM;790;22;;;;;;Leitos ocupados;91
BOM JESUS DAS SELVAS;1442;10;;;;;;Leitos livres;487
BOM LUGAR;186;0;;ÓBITOS DE COVID-19;;;;% de ocupação;15,74%
BREJO;622;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;459;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;223;0;;10 a 19 anos;15;;;Leitos ocupados UTI;62
BURITICUPU;2086;4;;20 a 29 anos;31;;;Leitos livres;153
BURITIRANA;235;6;;30 a 39 anos;104;;;% de ocupação UTI;28,84%
CACHOEIRA GRANDE;170;3;;40 a 49 anos;184;;;;
CAJAPIÓ;5;2;;50 a 59 anos;345;;;IMPERATRIZ;
CAJARI;121;4;;60 a 69 anos;750;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;309;2;;Mais de 70 anos;1792;;;Total de leitos;81
CÂNDIDO MENDES;27;4;;TOTAL;3240;;;Leitos ocupados;49
CANTANHEDE;381;3;;;;;;Leitos livres;32
CAPINZAL DO NORTE;338;1;;;;;;% de ocupação;60,49%
CAROLINA;273;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;308;17;;HOMEM;1998;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3517;70;;MULHER;1242;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;40
CENTRAL DO MARANHÃO;20;1;;;;;;Leitos livres;14
CENTRO DO GUILHERME;328;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;74,07%
CENTRO NOVO DO MARANHÃO;572;7;;COM COMORBIDADES ;2746;85%;;;
CHAPADINHA;2662;43;;SEM COMORBIDADES ;494;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;271;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1476;35;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1325;26;;NEUROLÓGICO;186;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;124;;;RAÇA/COR;
COROATÁ;862;10;;PNEUMOPATIA;46;;;AMARELA;24.662
CURURUPU;487;7;;CARDIOPATIA;396;;;BRANCA;13.931
DAVINÓPOLIS;234;7;;DOENÇA RENAL CRÔNICA;189;;;INDIGENA;861
DOM PEDRO;230;2;;DIABETES MELITUS;1241;;;PARDA;49.720
DUQUE BACELAR;321;7;;HIPERTENSÃO ARTERIAL;1798;;;PRETA;4.946
ESPERANTINÓPOLIS;616;13;;SEM COMORBIDADES;494;;;SEM INFORMAÇÃO;41.204
ESTREITO;1223;7;;OBESIDADE;136;;;TOTAL;135.324
FEIRA NOVA DO MARANHÃO;332;2;;OUTROS;434;;;;
FERNANDO FALCÃO;703;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;505;1;;;;;;PARDA;1580
FORTALEZA DOS NOGUEIRAS;423;0;;;;;;BRANCA;387
FORTUNA;372;1;;;;;;PRETA;213
GODOFREDO VIANA;83;3;;;;;;AMARELA;206
GONÇALVES DIAS;309;4;;;;;;INDÍGENA;27
GOVERNADOR ARCHER;260;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;234;4;;;;;;TOTAL;3.240
GOVERNADOR EUGÊNIO BARROS;186;0;;;;;;;
GOVERNADOR LUIZ ROCHA;95;0;;;;;;;
GOVERNADOR NEWTON BELLO;441;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2087;31;;;;;;;
GUIMARÃES;213;4;;;;;;;
HUMBERTO DE CAMPOS;463;5;;;;;;;
ICATU;183;6;;;;;;;
IGARAPÉ DO MEIO;228;8;;;;;;;
IGARAPÉ GRANDE;871;8;;;;;;;
IMPERATRIZ;4917;233;;;;;;;
ITAIPAVA DO GRAJAÚ;358;2;;;;;;;
ITAPECURU-MIRIM;671;10;;;;;;;
ITINGA DO MARANHÃO;515;11;;;;;;;
JATOBÁ;42;3;;;;;;;
JENIPAPO DOS VIEIRAS;443;8;;;;;;;
JOÃO LISBOA;226;9;;;;;;;
JOSELÂNDIA;376;0;;;;;;;
JUNCO DO MARANHÃO;143;0;;;;;;;
LAGO DA PEDRA;1131;43;;;;;;;
LAGO DO JUNCO;179;1;;;;;;;
LAGO DOS RODRIGUES;304;7;;;;;;;
LAGO VERDE;471;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;100;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;581;6;;;;;;;
LORETO;181;2;;;;;;;
LUÍS DOMINGUES;65;1;;;;;;;
MAGALHÃES DE ALMEIDA;384;4;;;;;;;
MARACAÇUMÉ;471;3;;;;;;;
MARAJÁ DO SENA;144;2;;;;;;;
MARANHÃOZINHO;408;3;;;;;;;
MATA ROMA;344;10;;;;;;;
MATINHA;256;3;;;;;;;
MATÕES;285;4;;;;;;;
MATÕES DO NORTE;201;1;;;;;;;
MILAGRES DO MARANHÃO;153;1;;;;;;;
MIRADOR;437;3;;;;;;;
MIRANDA DO NORTE;135;7;;;;;;;
MIRINZAL;125;6;;;;;;;
MONÇÃO;320;15;;;;;;;
MONTES ALTOS;267;3;;;;;;;
MORROS;137;7;;;;;;;
NINA RODRIGUES;180;4;;;;;;;
NOVA COLINAS;62;0;;;;;;;
NOVA IORQUE;25;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;450;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;522;79;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;319;2;;;;;;;
PARNARAMA;353;0;;;;;;;
PASSAGEM FRANCA;122;0;;;;;;;
PASTOS BONS;200;2;;;;;;;
PAULINO NEVES;151;2;;;;;;;
PAULO RAMOS;740;9;;;;;;;
PEDREIRAS;1466;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;218;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;326;3;;;;;;;
PINDARÉ-MIRIM;563;11;;;;;;;
PINHEIRO;1723;30;;;;;;;
PIO XII;786;6;;;;;;;
PIRAPEMAS;246;3;;;;;;;
POÇÃO DE PEDRAS;679;2;;;;;;;
PORTO FRANCO;623;8;;;;;;;
PORTO RICO DO MARANHÃO;103;1;;;;;;;
PRESIDENTE DUTRA;1202;7;;;;;;;
PRESIDENTE JUSCELINO;28;0;;;;;;;
PRESIDENTE MÉDICI;219;0;;;;;;;
PRESIDENTE SARNEY;167;7;;;;;;;
