;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3584
AÇAILÂNDIA;3100;82;;5.839;179.317;151212;;10 a 19 anos;10492
AFONSO CUNHA;137;2;;;;;;20 a 29 anos;24417
ÁGUA DOCE DO MARANHÃO;596;5;;CASOS NOVOS;;;;30 a 39 anos;32144
ALCÂNTARA;45;7;;Grande Ilha;96;;;40 a 49 anos;25535
ALDEIAS ALTAS;834;4;;Imperatriz;3;;;50 a 59 anos;17729
ALTAMIRA DO MARANHÃO;266;5;;Demais Regiões;218;;;60 a 70 anos;12903
ALTO ALEGRE DO MARANHÃO;347;11;;;;;;Mais de 70 anos;10433
ALTO ALEGRE DO PINDARÉ;1355;19;;;;;;Não informado;13975
ALTO PARNAÍBA;227;2;;CASOS CONFIRMADOS;;;;TOTAL;151212
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;855;18;;Ativos;8490;Isolamento Domiciliar ;8027;;
ANAJATUBA;323;8;;;;Internação Enfermaria;276;Rede Pública;235
ANAPURUS;710;6;;;;;;Rede Privada;41
APICUM-AÇU;197;3;;;;Internação UTI;187;Rede Pública;163
ARAGUANÃ;505;2;;;;;;Rede Privada;24
ARAIOSES;550;10;;Óbitos;3436;;;; 
ARAME;856;8;;Recuperados;139286;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;124;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3155;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;67833;45%;;Leitos ocupados;69
BACURI;412;3;;MULHER;83379;55%;;Leitos livres;313
BACURITUBA;39;0;;;;;;% de ocupação;18,06%
