;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3024
AÇAILÂNDIA;2950;77;;3.760;165.192;139185;;10 a 19 anos;9349
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;22132
ÁGUA DOCE DO MARANHÃO;592;5;;CASOS NOVOS;;;;30 a 39 anos;29368
ALCÂNTARA;40;6;;Grande Ilha;87;;;40 a 49 anos;23434
ALDEIAS ALTAS;770;4;;Imperatriz;47;;;50 a 59 anos;16239
ALTAMIRA DO MARANHÃO;262;5;;Demais Regiões;1.643;;;60 a 70 anos;11942
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9696
ALTO ALEGRE DO PINDARÉ;1290;15;;;;;;Não informado;14001
ALTO PARNAÍBA;154;1;;CASOS CONFIRMADOS;;;;TOTAL;139185
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;810;16;;Ativos;8240;Isolamento Domiciliar ;7783;;
ANAJATUBA;323;8;;;;Internação Enfermaria;263;Rede Pública;221
ANAPURUS;704;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;194;Rede Pública;168
ARAGUANÃ;480;2;;;;;;Rede Privada;26
ARAIOSES;540;10;;Óbitos;3289;;;; 
ARAME;716;7;;Recuperados;127656;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3105;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;144;2;;HOMEM;61819;45%;;Leitos ocupados;80
BACURI;408;3;;MULHER;75589;55%;;Leitos livres;302
BACURITUBA;39;0;;;;;;% de ocupação;20,94%
BALSAS;4193;24;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3024;24;;3229;3146;57;;Total de leitos UTI;152
BARREIRINHAS;574;23;;;;;;Leitos ocupados UTI;62
BELA VISTA DO MARANHÃO;122;3;;;;;;Leitos livres;90
BELÁGUA;201;1;;TESTES REALIZADOS;;;;% de ocupação UTI;40,79%
BENEDITO LEITE;95;0;;LABORATÓRIO PÚBLICO;3604;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;121;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;303.332;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;307057;;;Total de leitos;578
BOM JARDIM;805;22;;;;;;Leitos ocupados;91
BOM JESUS DAS SELVAS;1460;10;;;;;;Leitos livres;487
BOM LUGAR;197;0;;ÓBITOS DE COVID-19;;;;% de ocupação;15,74%
BREJO;632;18;;;;;;;
BREJO DE AREIA;179;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;481;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;247;0;;10 a 19 anos;15;;;Leitos ocupados UTI;61
BURITICUPU;2092;4;;20 a 29 anos;32;;;Leitos livres;154
BURITIRANA;235;6;;30 a 39 anos;106;;;% de ocupação UTI;28,37%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;187;;;;
CAJAPIÓ;5;2;;50 a 59 anos;350;;;IMPERATRIZ;
CAJARI;121;4;;60 a 69 anos;762;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;321;4;;Mais de 70 anos;1818;;;Total de leitos;81
CÂNDIDO MENDES;33;4;;TOTAL;3289;;;Leitos ocupados;50
CANTANHEDE;381;3;;;;;;Leitos livres;31
CAPINZAL DO NORTE;339;1;;;;;;% de ocupação;61,73%
CAROLINA;297;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;314;17;;HOMEM;2025;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3658;70;;MULHER;1264;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;45
CENTRAL DO MARANHÃO;20;1;;;;;;Leitos livres;9
CENTRO DO GUILHERME;330;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;83,33%
CENTRO NOVO DO MARANHÃO;591;7;;COM COMORBIDADES ;2783;85%;;;
CHAPADINHA;2663;44;;SEM COMORBIDADES ;506;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;273;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1489;35;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1374;26;;NEUROLÓGICO;188;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;124;;;RAÇA/COR;
COROATÁ;878;10;;PNEUMOPATIA;48;;;AMARELA;25.742
CURURUPU;489;7;;CARDIOPATIA;402;;;BRANCA;14.489
DAVINÓPOLIS;237;7;;DOENÇA RENAL CRÔNICA;190;;;INDIGENA;944
DOM PEDRO;278;2;;DIABETES MELITUS;1256;;;PARDA;51.576
DUQUE BACELAR;330;7;;HIPERTENSÃO ARTERIAL;1817;;;PRETA;5.143
ESPERANTINÓPOLIS;616;13;;SEM COMORBIDADES;506;;;SEM INFORMAÇÃO;41.291
ESTREITO;1360;7;;OBESIDADE;139;;;TOTAL;139.185
FEIRA NOVA DO MARANHÃO;343;2;;OUTROS;442;;;;
FERNANDO FALCÃO;711;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;555;1;;;;;;PARDA;1610
FORTALEZA DOS NOGUEIRAS;443;0;;;;;;BRANCA;396
FORTUNA;381;1;;;;;;PRETA;221
GODOFREDO VIANA;83;3;;;;;;AMARELA;208
GONÇALVES DIAS;309;4;;;;;;INDÍGENA;27
GOVERNADOR ARCHER;260;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;234;5;;;;;;TOTAL;3.289
GOVERNADOR EUGÊNIO BARROS;188;0;;;;;;;
GOVERNADOR LUIZ ROCHA;100;0;;;;;;;
GOVERNADOR NEWTON BELLO;441;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2188;31;;;;;;;
GUIMARÃES;214;4;;;;;;;
HUMBERTO DE CAMPOS;523;5;;;;;;;
ICATU;183;6;;;;;;;
IGARAPÉ DO MEIO;237;8;;;;;;;
IGARAPÉ GRANDE;940;8;;;;;;;
IMPERATRIZ;5020;239;;;;;;;
ITAIPAVA DO GRAJAÚ;377;2;;;;;;;
ITAPECURU-MIRIM;679;10;;;;;;;
ITINGA DO MARANHÃO;523;11;;;;;;;
JATOBÁ;52;3;;;;;;;
JENIPAPO DOS VIEIRAS;474;8;;;;;;;
JOÃO LISBOA;226;9;;;;;;;
JOSELÂNDIA;376;0;;;;;;;
JUNCO DO MARANHÃO;144;0;;;;;;;
LAGO DA PEDRA;1148;43;;;;;;;
LAGO DO JUNCO;180;1;;;;;;;
LAGO DOS RODRIGUES;312;7;;;;;;;
LAGO VERDE;479;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;107;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;580;6;;;;;;;
LORETO;182;2;;;;;;;
LUÍS DOMINGUES;66;1;;;;;;;
MAGALHÃES DE ALMEIDA;388;4;;;;;;;
MARACAÇUMÉ;478;3;;;;;;;
MARAJÁ DO SENA;144;3;;;;;;;
MARANHÃOZINHO;413;3;;;;;;;
MATA ROMA;344;10;;;;;;;
MATINHA;258;3;;;;;;;
MATÕES;300;4;;;;;;;
MATÕES DO NORTE;202;1;;;;;;;
MILAGRES DO MARANHÃO;153;1;;;;;;;
MIRADOR;537;3;;;;;;;
MIRANDA DO NORTE;137;9;;;;;;;
MIRINZAL;126;6;;;;;;;
MONÇÃO;341;15;;;;;;;
MONTES ALTOS;284;3;;;;;;;
MORROS;138;7;;;;;;;
NINA RODRIGUES;181;4;;;;;;;
NOVA COLINAS;72;0;;;;;;;
NOVA IORQUE;25;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;455;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;533;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;341;3;;;;;;;
PARNARAMA;384;0;;;;;;;
PASSAGEM FRANCA;129;0;;;;;;;
PASTOS BONS;236;2;;;;;;;
PAULINO NEVES;151;2;;;;;;;
PAULO RAMOS;756;10;;;;;;;
PEDREIRAS;1475;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;217;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;329;3;;;;;;;
PINDARÉ-MIRIM;570;11;;;;;;;
PINHEIRO;1727;32;;;;;;;
PIO XII;798;6;;;;;;;
PIRAPEMAS;246;3;;;;;;;
POÇÃO DE PEDRAS;686;2;;;;;;;
PORTO FRANCO;659;8;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1226;7;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;219;0;;;;;;;
PRESIDENTE SARNEY;167;7;;;;;;;
PRESIDENTE VARGAS;51;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;124;13;;;;;;;
RIACHÃO;245;6;;;;;;;
RIBAMAR FIQUENE;135;8;;;;;;;
ROSÁRIO;375;11;;;;;;;
SAMBAÍBA;108;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1237;6;;;;;;;
SANTA INÊS;4091;71;;;;;;;
SANTA LUZIA;2356;16;;;;;;;
SANTA LUZIA DO PARUÁ;392;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;438;14;;;;;;;
SANTA RITA;253;11;;;;;;;
SANTANA DO MARANHÃO;156;3;;;;;;;
SANTO AMARO DO MARANHÃO;72;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;599;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;847;7;;;;;;;
SÃO BENTO;457;5;;;;;;;
SÃO BERNARDO;826;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;116;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1181;8;;;;;;;
SÃO FÉLIX DE BALSAS;112;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;261;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;66;0;;;;;;;
SÃO JOÃO BATISTA;112;5;;;;;;;
SÃO JOÃO DO CARÚ;353;5;;;;;;;
SÃO JOÃO DO PARAÍSO;81;2;;;;;;;
SÃO JOÃO DO SÓTER;409;2;;;;;;;
SÃO JOÃO DOS PATOS;855;8;;;;;;;
SÃO JOSÉ DE RIBAMAR;1109;109;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;147;0;;;;;;;
SÃO LUÍS;17729;1187;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;491;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1059;24;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;322;1;;;;;;;
SÃO PEDRO DOS CRENTES;101;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1217;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;72;2;;;;;;;
SÃO ROBERTO;152;2;;;;;;;
SÃO VICENTE FERRER;186;1;;;;;;;
SATUBINHA;126;1;;;;;;;
SENADOR ALEXANDRE COSTA;318;1;;;;;;;
SENADOR LA ROCQUE;176;8;;;;;;;
SERRANO DO MARANHÃO;142;2;;;;;;;
SÍTIO NOVO;384;3;;;;;;;
SUCUPIRA DO NORTE;65;0;;;;;;;
SUCUPIRA DO RIACHÃO;75;0;;;;;;;
TASSO FRAGOSO;139;0;;;;;;;
TIMBIRAS;331;3;;;;;;;
TIMON;3028;99;;;;;;;
TRIZIDELA DO VALE;603;7;;;;;;;
TUFILÂNDIA;59;5;;;;;;;
TUNTUM;1139;6;;;;;;;
TURIAÇU;225;3;;;;;;;
TURILÂNDIA;302;4;;;;;;;
TUTÓIA;953;22;;;;;;;
URBANO SANTOS;1323;14;;;;;;;
VARGEM GRANDE;703;10;;;;;;;
VIANA;274;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;226;0;;;;;;;
VITÓRIA DO MEARIM;628;6;;;;;;;
VITORINO FREIRE;1432;25;;;;;;;
ZÉ DOCA;3072;36;;;;;;;
Na revisão de dados no sistema, em razão de mudança de domicílio de paciente, dois casos de São Luís foram remanejados: um para São João Batista e um para São José de Ribamar.  ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
