;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2783
AÇAILÂNDIA;2908;76;;3.318;157.686;133265;;10 a 19 anos;8773
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;21014
ÁGUA DOCE DO MARANHÃO;583;5;;CASOS NOVOS;;;;30 a 39 anos;27966
ALCÂNTARA;40;6;;Grande Ilha;57;;;40 a 49 anos;22342
ALDEIAS ALTAS;693;0;;Imperatriz;12;;;50 a 59 anos;15520
ALTAMIRA DO MARANHÃO;250;5;;Demais Regiões;1.136;;;60 a 70 anos;11439
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;9333
ALTO ALEGRE DO PINDARÉ;1287;6;;;;;;Não informado;14095
ALTO PARNAÍBA;115;1;;CASOS CONFIRMADOS;;;;TOTAL;133265
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;793;15;;Ativos;6278;Isolamento Domiciliar ;5839;;
ANAJATUBA;320;8;;;;Internação Enfermaria;257;Rede Pública;215
ANAPURUS;694;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;182;Rede Pública;156
ARAGUANÃ;480;2;;;;;;Rede Privada;26
ARAIOSES;535;10;;Óbitos;3215;;;; 
ARAME;693;7;;Recuperados;123772;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3079;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;133;2;;HOMEM;59975;45%;;Leitos ocupados;79
BACURI;408;3;;MULHER;73290;55%;;Leitos livres;303
BACURITUBA;39;0;;;;;;% de ocupação;20,68%
BALSAS;3388;19;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2859;24;;3168;3080;57;;Total de leitos UTI;152
BARREIRINHAS;508;23;;;;;;Leitos ocupados UTI;61
BELA VISTA DO MARANHÃO;122;3;;;;;;Leitos livres;91
BELÁGUA;201;1;;TESTES REALIZADOS;;;;% de ocupação UTI;40,13%
BENEDITO LEITE;84;0;;LABORATÓRIO PÚBLICO;3073;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;134;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;290.424;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;293631;;;Total de leitos;578
BOM JARDIM;787;22;;;;;;Leitos ocupados;93
BOM JESUS DAS SELVAS;1429;9;;;;;;Leitos livres;485
BOM LUGAR;185;0;;ÓBITOS DE COVID-19;;;;% de ocupação;16,09%
BREJO;614;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;438;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;194;0;;10 a 19 anos;14;;;Leitos ocupados UTI;61
BURITICUPU;2045;4;;20 a 29 anos;31;;;Leitos livres;154
BURITIRANA;235;6;;30 a 39 anos;104;;;% de ocupação UTI;28,37%
CACHOEIRA GRANDE;170;3;;40 a 49 anos;183;;;;
CAJAPIÓ;5;2;;50 a 59 anos;345;;;IMPERATRIZ;
CAJARI;121;4;;60 a 69 anos;745;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;295;2;;Mais de 70 anos;1774;;;Total de leitos;81
CÂNDIDO MENDES;26;4;;TOTAL;3215;;;Leitos ocupados;43
CANTANHEDE;381;3;;;;;;Leitos livres;38
CAPINZAL DO NORTE;335;1;;;;;;% de ocupação;53,09%
CAROLINA;258;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;292;17;;HOMEM;1983;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3404;70;;MULHER;1232;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;34
CENTRAL DO MARANHÃO;18;1;;;;;;Leitos livres;20
CENTRO DO GUILHERME;327;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;62,96%
CENTRO NOVO DO MARANHÃO;561;7;;COM COMORBIDADES ;2725;85%;;;
CHAPADINHA;2613;43;;SEM COMORBIDADES ;490;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;267;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1469;35;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1284;26;;NEUROLÓGICO;185;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;123;;;RAÇA/COR;
COROATÁ;846;10;;PNEUMOPATIA;42;;;AMARELA;23.963
CURURUPU;487;7;;CARDIOPATIA;392;;;BRANCA;13.613
DAVINÓPOLIS;229;7;;DOENÇA RENAL CRÔNICA;187;;;INDIGENA;859
DOM PEDRO;219;2;;DIABETES MELITUS;1233;;;PARDA;48.621
DUQUE BACELAR;318;7;;HIPERTENSÃO ARTERIAL;1786;;;PRETA;4.858
ESPERANTINÓPOLIS;616;13;;SEM COMORBIDADES;490;;;SEM INFORMAÇÃO;41.351
ESTREITO;1198;7;;OBESIDADE;136;;;TOTAL;133.265
FEIRA NOVA DO MARANHÃO;308;2;;OUTROS;431;;;;
FERNANDO FALCÃO;701;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;473;1;;;;;;PARDA;1561
FORTALEZA DOS NOGUEIRAS;397;0;;;;;;BRANCA;385
FORTUNA;345;1;;;;;;PRETA;211
GODOFREDO VIANA;82;3;;;;;;AMARELA;205
GONÇALVES DIAS;309;3;;;;;;INDÍGENA;26
GOVERNADOR ARCHER;260;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;225;4;;;;;;TOTAL;3.215
GOVERNADOR EUGÊNIO BARROS;181;0;;;;;;;
GOVERNADOR LUIZ ROCHA;95;0;;;;;;;
GOVERNADOR NEWTON BELLO;435;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2056;31;;;;;;;
GUIMARÃES;186;4;;;;;;;
HUMBERTO DE CAMPOS;433;5;;;;;;;
ICATU;183;6;;;;;;;
IGARAPÉ DO MEIO;223;8;;;;;;;
IGARAPÉ GRANDE;870;8;;;;;;;
IMPERATRIZ;4882;233;;;;;;;
ITAIPAVA DO GRAJAÚ;330;2;;;;;;;
ITAPECURU-MIRIM;649;10;;;;;;;
ITINGA DO MARANHÃO;506;11;;;;;;;
JATOBÁ;42;3;;;;;;;
JENIPAPO DOS VIEIRAS;419;8;;;;;;;
JOÃO LISBOA;226;9;;;;;;;
JOSELÂNDIA;361;0;;;;;;;
JUNCO DO MARANHÃO;132;0;;;;;;;
LAGO DA PEDRA;1120;43;;;;;;;
LAGO DO JUNCO;175;1;;;;;;;
LAGO DOS RODRIGUES;298;7;;;;;;;
LAGO VERDE;468;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;99;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;580;6;;;;;;;
LORETO;163;2;;;;;;;
LUÍS DOMINGUES;65;1;;;;;;;
MAGALHÃES DE ALMEIDA;369;4;;;;;;;
MARACAÇUMÉ;470;3;;;;;;;
MARAJÁ DO SENA;143;2;;;;;;;
MARANHÃOZINHO;396;3;;;;;;;
MATA ROMA;344;10;;;;;;;
MATINHA;256;3;;;;;;;
MATÕES;274;4;;;;;;;
MATÕES DO NORTE;197;1;;;;;;;
MILAGRES DO MARANHÃO;153;1;;;;;;;
MIRADOR;437;3;;;;;;;
MIRANDA DO NORTE;135;7;;;;;;;
MIRINZAL;125;6;;;;;;;
MONÇÃO;317;15;;;;;;;
MONTES ALTOS;258;2;;;;;;;
MORROS;135;6;;;;;;;
NINA RODRIGUES;180;4;;;;;;;
NOVA COLINAS;50;0;;;;;;;
NOVA IORQUE;20;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;448;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;515;79;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;300;2;;;;;;;
PARNARAMA;306;0;;;;;;;
PASSAGEM FRANCA;122;0;;;;;;;
PASTOS BONS;183;2;;;;;;;
PAULINO NEVES;151;2;;;;;;;
PAULO RAMOS;727;9;;;;;;;
PEDREIRAS;1452;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;217;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;322;3;;;;;;;
PINDARÉ-MIRIM;563;10;;;;;;;
PINHEIRO;1721;30;;;;;;;
PIO XII;785;6;;;;;;;
PIRAPEMAS;246;3;;;;;;;
POÇÃO DE PEDRAS;653;2;;;;;;;
PORTO FRANCO;607;8;;;;;;;
PORTO RICO DO MARANHÃO;103;1;;;;;;;
PRESIDENTE DUTRA;1187;7;;;;;;;
PRESIDENTE JUSCELINO;28;0;;;;;;;
PRESIDENTE MÉDICI;215;0;;;;;;;
PRESIDENTE SARNEY;167;7;;;;;;;
PRESIDENTE VARGAS;50;1;;;;;;;
PRIMEIRA CRUZ;42;2;;;;;;;
RAPOSA;115;13;;;;;;;
RIACHÃO;221;6;;;;;;;
RIBAMAR FIQUENE;133;8;;;;;;;
ROSÁRIO;373;11;;;;;;;
SAMBAÍBA;100;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1230;6;;;;;;;
SANTA INÊS;4056;71;;;;;;;
SANTA LUZIA;2297;16;;;;;;;
SANTA LUZIA DO PARUÁ;370;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;436;14;;;;;;;
SANTA RITA;249;11;;;;;;;
