;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4374
AÇAILÂNDIA;3311;84;;4.728;200.119;167657;;10 a 19 anos;12041
AFONSO CUNHA;152;2;;;;;;20 a 29 anos;27144
ÁGUA DOCE DO MARANHÃO;647;5;;CASOS NOVOS;;;;30 a 39 anos;35516
ALCÂNTARA;198;7;;Grande Ilha;99;;;40 a 49 anos;28215
ALDEIAS ALTAS;906;4;;Imperatriz;6;;;50 a 59 anos;19781
ALTAMIRA DO MARANHÃO;273;5;;Demais Regiões;219;;;60 a 70 anos;14669
ALTO ALEGRE DO MARANHÃO;360;12;;;;;;Mais de 70 anos;11765
ALTO ALEGRE DO PINDARÉ;1450;19;;;;;;Não informado;14152
ALTO PARNAÍBA;283;2;;CASOS CONFIRMADOS;;;;TOTAL;167657
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;1029;18;;Ativos;5753;Isolamento Domiciliar ;5392;;
ANAJATUBA;335;8;;;;Internação Enfermaria;220;Rede Pública;170
ANAPURUS;710;6;;;;;;Rede Privada;50
APICUM-AÇU;197;3;;;;Internação UTI;141;Rede Pública;117
ARAGUANÃ;535;2;;;;;;Rede Privada;24
ARAIOSES;580;10;;Óbitos;3653;;;; 
ARAME;919;10;;Recuperados;158251;;;;
ARARI;204;9;;;;;;GRANDE ILHA*;
AXIXÁ;138;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3298;53;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;152;2;;HOMEM;74793;45%;;Leitos ocupados;57
BACURI;416;3;;MULHER;92864;55%;;Leitos livres;325
BACURITUBA;45;0;;;;;;% de ocupação;14,92%
BALSAS;6157;52;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;17;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3748;33;;3519;3436;65;;Total de leitos UTI;152
BARREIRINHAS;906;23;;;;;;Leitos ocupados UTI;44
