;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
Municípios;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1599
AÇAILÂNDIA;2585;54;;6822;102974;95323;;10 a 19 anos;5249
AFONSO CUNHA;96;1;;;;;;20 a 29 anos;13991
ÁGUA DOCE DO MARANHÃO;375;5;;CASOS NOVOS;;;;30 a 39 anos;19537
ALCÂNTARA;33;5;;Grande Ilha;109;;;40 a 49 anos;15778
ALDEIAS ALTAS;89;0;;Imperatriz;59;;;50 a 59 anos;10978
ALTAMIRA DO MARANHÃO;163;5;;Demais Regiões;2216;;;60 a 70 anos;8278
ALTO ALEGRE DO MARANHÃO;318;9;;;;;;Mais de 70 anos;7032
ALTO ALEGRE DO PINDARÉ;1181;2;;;;;;Não informado;12881
ALTO PARNAÍBA;74;1;;CASOS CONFIRMADOS;;;;TOTAL;95323
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;518;11;;Ativos;19119;Isolamento Domiciliar ;18325;;
ANAJATUBA;255;6;;;;Internação Enfermaria;458;Rede Pública;396
ANAPURUS;515;4;;;;;;Rede Privada;62
APICUM-AÇU;196;3;;;;Internação UTI;336;Rede Pública;288
ARAGUANÃ;422;2;;;;;;Rede Privada;48
ARAIOSES;451;5;;Óbitos;2357;;;;
ARAME;154;4;;Recuperados;73847;;;;
ARARI;163;4;;;;;;GRANDE ILHA*;
AXIXÁ;90;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2307;23;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;126;1;;HOMEM;43022;45%;;Leitos ocupados;101
BACURI;365;2;;MULHER;52301;55%;;Leitos livres;281
BACURITUBA;19;0;;;;;;% de ocupação;26,44%
BALSAS;1312;10;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;0;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;1935;16;;2588;2445;50;;Total de leitos UTI;164
BARREIRINHAS;351;18;;;;;;Leitos ocupados UTI;135
BELA VISTA DO MARANHÃO;108;2;;;;;;Leitos livres;29
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;82,32%
BENEDITO LEITE;24;0;;LABORATÓRIO PÚBLICO;4469;;;;
BEQUIMÃO;176;9;;LABORATÓRIO PRIVADO;189;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;194568;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;199226;;;Total de leitos;618
BOM JARDIM;545;8;;;;;;Leitos ocupados;235
BOM JESUS DAS SELVAS;847;4;;;;;;Leitos livres;383
BOM LUGAR;147;0;;ÓBITOS DE COVID-19;;;;% de ocupação;38,03%
BREJO;479;11;;;;;;;
BREJO DE AREIA;104;0;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;255;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;66;0;;10 a 19 anos;13;;;Leitos ocupados UTI;110
BURITICUPU;1379;4;;20 a 29 anos;24;;;Leitos livres;109
BURITIRANA;208;6;;30 a 39 anos;82;;;% de ocupação UTI;50,23%
CACHOEIRA GRANDE;112;3;;40 a 49 anos;142;;;;
CAJAPIÓ;5;2;;50 a 59 anos;254;;;IMPERATRIZ;
CAJARI;119;1;;60 a 69 anos;564;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;184;1;;Mais de 70 anos;1263;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2357;;;Leitos ocupados;60
CANTANHEDE;341;2;;;;;;Leitos livres;21
CAPINZAL DO NORTE;265;0;;;;;;% de ocupação;74,07%
CAROLINA;158;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;255;15;;HOMEM;1461;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;1993;31;;MULHER;896;38%;;Total de leitos UTI;54
CEDRAL;93;0;;;;;;Leitos ocupados UTI;43
CENTRAL DO MARANHÃO;16;1;;;;;;Leitos livres;11
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;79,63%
CENTRO NOVO DO MARANHÃO;314;5;;COM COMORBIDADES;2053;87%;;;
CHAPADINHA;1960;27;;SEM COMORBIDADES;304;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;223;0;;;;;;;
CODÓ;1783;14;;;;;;;
COELHO NETO;1176;25;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;643;12;;NEUROLÓGICO;144;;;;
CONCEIÇÃO DO LAGO-AÇU;139;3;;ONCOLÓGICO;92;;;RAÇA/COR;Contagem
COROATÁ;563;7;;PNEUMOPATIA;23;;;AMARELA;12938
CURURUPU;291;6;;CARDIOPATIA;278;;;BRANCA;7950
DAVINÓPOLIS;199;6;;DOENÇA RENAL CRÔNICA;138;;;INDIGENA;306
DOM PEDRO;47;1;;DIABETES MELITUS;914;;;PARDA;31893
DUQUE BACELAR;240;3;;HIPERTENSÃO ARTERIAL;1324;;;PRETA;3092
ESPERANTINÓPOLIS;536;11;;SEM COMORBIDADES;340;;;SEM INFORMAÇÃO;39144
ESTREITO;670;7;;OBESIDADE;102;;;TOTAL;95323
FEIRA NOVA DO MARANHÃO;36;1;;OUTROS;321;;;;
FERNANDO FALCÃO;462;0;;;;;;;
FORMOSA DA SERRA NEGRA;95;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;83;0;;;;;;ÓBITOS RAÇA/COR;Contagem
FORTUNA;165;0;;;;;;AMARELA;182
GODOFREDO VIANA;66;3;;;;;;BRANCA;210
GONÇALVES DIAS;171;1;;;;;;INDIGENA;6
GOVERNADOR ARCHER;189;0;;;;;;PARDA;1041
GOVERNADOR EDISON LOBÃO;174;4;;;;;;PRETA;137
GOVERNADOR EUGÊNIO BARROS;128;0;;;;;;SEM INFORMAÇÃO;781
GOVERNADOR LUIZ ROCHA;40;0;;;;;;TOTAL;2357
GOVERNADOR NEWTON BELLO;335;4;;;;;;;
GOVERNADOR NUNES FREIRE;580;1;;;;;;;
GRAÇA ARANHA;104;1;;;;;;;
GRAJAÚ;1201;18;;;;;;;
GUIMARÃES;151;4;;;;;;;
HUMBERTO DE CAMPOS;245;3;;;;;;;
ICATU;166;5;;;;;;;
IGARAPÉ DO MEIO;158;6;;;;;;;
IGARAPÉ GRANDE;643;5;;;;;;;
IMPERATRIZ;4382;213;;;;;;;
ITAIPAVA DO GRAJAÚ;100;0;;;;;;;
ITAPECURU-MIRIM;477;6;;;;;;;
ITINGA DO MARANHÃO;422;10;;;;;;;
JATOBÁ;29;0;;;;;;;
JENIPAPO DOS VIEIRAS;137;2;;;;;;;
JOÃO LISBOA;203;7;;;;;;;
JOSELÂNDIA;282;0;;;;;;;
JUNCO DO MARANHÃO;101;0;;;;;;;
LAGO DA PEDRA;923;40;;;;;;;
LAGO DO JUNCO;115;1;;;;;;;
LAGO DOS RODRIGUES;170;3;;;;;;;
LAGO VERDE;331;2;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;2;;;;;;;
LAJEADO NOVO;38;0;;;;;;;
LIMA CAMPOS;442;4;;;;;;;
LORETO;31;0;;;;;;;
LUÍS DOMINGUES;48;1;;;;;;;
MAGALHÃES DE ALMEIDA;100;4;;;;;;;
MARACAÇUMÉ;410;1;;;;;;;
MARAJÁ DO SENA;117;2;;;;;;;
MARANHÃOZINHO;305;3;;;;;;;
MATA ROMA;324;5;;;;;;;
MATINHA;203;1;;;;;;;
MATÕES;138;1;;;;;;;
MATÕES DO NORTE;151;1;;;;;;;
MILAGRES DO MARANHÃO;111;1;;;;;;;
MIRADOR;150;0;;;;;;;
MIRANDA DO NORTE;136;5;;;;;;;
MIRINZAL;91;6;;;;;;;
MONÇÃO;245;13;;;;;;;
MONTES ALTOS;149;2;;;;;;;
MORROS;123;5;;;;;;;
NINA RODRIGUES;112;3;;;;;;;
NOVA COLINAS;6;0;;;;;;;
NOVA IORQUE;9;0;;;;;;;
NOVA OLINDA DO MARANHÃO;239;2;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;367;3;;;;;;;
OLINDA NOVA DO MARANHÃO;195;4;;;;;;;
PAÇO DO LUMIAR;472;71;;;;;;;
PALMEIRÂNDIA;32;3;;;;;;;
PARAIBANO;153;1;;;;;;;
PARNARAMA;97;1;;;;;;;
PASSAGEM FRANCA;76;0;;;;;;;
PASTOS BONS;46;1;;;;;;;
PAULINO NEVES;109;1;;;;;;;
PAULO RAMOS;485;5;;;;;;;
PEDREIRAS;1196;21;;;;;;;
PEDRO DO ROSÁRIO;85;1;;;;;;;
PENALVA;196;5;;;;;;;
PERI-MIRIM;153;1;;;;;;;
PERITORÓ;319;2;;;;;;;
PINDARÉ-MIRIM;483;6;;;;;;;
PINHEIRO;1237;25;;;;;;;
PIO XII;634;4;;;;;;;
PIRAPEMAS;237;1;;;;;;;
POÇÃO DE PEDRAS;324;1;;;;;;;
PORTO FRANCO;286;6;;;;;;;
PORTO RICO DO MARANHÃO;77;1;;;;;;;
PRESIDENTE DUTRA;843;3;;;;;;;
PRESIDENTE JUSCELINO;27;0;;;;;;;
PRESIDENTE MÉDICI;168;0;;;;;;;
PRESIDENTE SARNEY;159;6;;;;;;;
PRESIDENTE VARGAS;37;1;;;;;;;
PRIMEIRA CRUZ;38;1;;;;;;;
RAPOSA;110;12;;;;;;;
RIACHÃO;62;0;;;;;;;
RIBAMAR FIQUENE;125;6;;;;;;;
ROSÁRIO;287;8;;;;;;;
SAMBAÍBA;5;0;;;;;;;
SANTA FILOMENA DO MARANHÃO;18;0;;;;;;;
SANTA HELENA;1090;5;;;;;;;
SANTA INÊS;3682;54;;;;;;;
SANTA LUZIA;1662;6;;;;;;;
SANTA LUZIA DO PARUÁ;270;3;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;370;10;;;;;;;
