;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2152
AÇAILÂNDIA;2779;67;;5.154;132.633;113891;;10 a 19 anos;6947
AFONSO CUNHA;128;2;;;;;;20 a 29 anos;17246
ÁGUA DOCE DO MARANHÃO;557;5;;CASOS NOVOS;;;;30 a 39 anos;23454
ALCÂNTARA;38;5;;Grande Ilha;87;;;40 a 49 anos;18919
ALDEIAS ALTAS;395;0;;Imperatriz;4;;;50 a 59 anos;13217
ALTAMIRA DO MARANHÃO;223;5;;Demais Regiões;237;;;60 a 70 anos;9827
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8212
ALTO ALEGRE DO PINDARÉ;1192;4;;;;;;Não informado;13917
ALTO PARNAÍBA;99;1;;CASOS CONFIRMADOS;;;;TOTAL;113891
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;709;12;;Ativos;9329;Isolamento Domiciliar ;8704;;
ANAJATUBA;286;6;;;;Internação Enfermaria;370;Rede Pública;313
ANAPURUS;646;6;;;;;;Rede Privada;57
APICUM-AÇU;197;3;;;;Internação UTI;255;Rede Pública;221
ARAGUANÃ;451;2;;;;;;Rede Privada;34
ARAIOSES;504;9;;Óbitos;2923;;;; 
ARAME;265;4;;Recuperados;101639;;;;
ARARI;193;6;;;;;;GRANDE ILHA*;
AXIXÁ;108;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2936;41;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;2;;HOMEM;51332;45%;;Leitos ocupados;89
BACURI;385;2;;MULHER;62559;55%;;Leitos livres;293
BACURITUBA;22;0;;;;;;% de ocupação;23,30%
BALSAS;2122;15;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2381;19;;2957;2831;54;;Total de leitos UTI;152
BARREIRINHAS;404;20;;;;;;Leitos ocupados UTI;89
BELA VISTA DO MARANHÃO;116;2;;;;;;Leitos livres;63
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;58,55%
BENEDITO LEITE;51;0;;LABORATÓRIO PÚBLICO;929;;;;
BEQUIMÃO;197;10;;LABORATÓRIO PRIVADO;70;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;248290;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;249289;;;Total de leitos;618
BOM JARDIM;677;16;;;;;;Leitos ocupados;173
BOM JESUS DAS SELVAS;1199;7;;;;;;Leitos livres;445
BOM LUGAR;170;0;;ÓBITOS DE COVID-19;;;;% de ocupação;27,99%
BREJO;566;17;;;;;;;
BREJO DE AREIA;123;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;322;0;;0 a 9 anos;17;;;Total de leitos UTI;225
BURITI BRAVO;120;0;;10 a 19 anos;14;;;Leitos ocupados UTI;100
BURITICUPU;1755;4;;20 a 29 anos;29;;;Leitos livres;125
BURITIRANA;209;6;;30 a 39 anos;94;;;% de ocupação UTI;44,44%
CACHOEIRA GRANDE;145;3;;40 a 49 anos;169;;;;
CAJAPIÓ;5;2;;50 a 59 anos;315;;;IMPERATRIZ;
CAJARI;121;1;;60 a 69 anos;688;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;227;1;;Mais de 70 anos;1597;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2923;;;Leitos ocupados;51
CANTANHEDE;378;3;;;;;;Leitos livres;30
CAPINZAL DO NORTE;298;1;;;;;;% de ocupação;62,96%
CAROLINA;205;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;254;16;;HOMEM;1809;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2646;59;;MULHER;1114;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;32
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;22
CENTRO DO GUILHERME;55;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;59,26%
CENTRO NOVO DO MARANHÃO;424;5;;COM COMORBIDADES ;2494;85%;;;
CHAPADINHA;2484;39;;SEM COMORBIDADES ;429;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;251;0;;;;;;;
CODÓ;1788;17;;;;;;;
COELHO NETO;1369;31;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1037;23;;NEUROLÓGICO;178;;;;
CONCEIÇÃO DO LAGO-AÇU;144;3;;ONCOLÓGICO;112;;;RAÇA/COR;
COROATÁ;653;9;;PNEUMOPATIA;36;;;AMARELA;18.093
CURURUPU;383;7;;CARDIOPATIA;344;;;BRANCA;10.769
DAVINÓPOLIS;217;7;;DOENÇA RENAL CRÔNICA;172;;;INDIGENA;501
DOM PEDRO;65;1;;DIABETES MELITUS;1136;;;PARDA;40.113
DUQUE BACELAR;292;6;;HIPERTENSÃO ARTERIAL;1638;;;PRETA;3.973
ESPERANTINÓPOLIS;602;11;;SEM COMORBIDADES;429;;;SEM INFORMAÇÃO;40.442
ESTREITO;928;7;;OBESIDADE;123;;;TOTAL;113.891
FEIRA NOVA DO MARANHÃO;106;1;;OUTROS;400;;;;
FERNANDO FALCÃO;544;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;295;1;;;;;;PARDA;1.371
FORTALEZA DOS NOGUEIRAS;215;0;;;;;;BRANCA;329
FORTUNA;204;0;;;;;;PRETA;186
GODOFREDO VIANA;75;3;;;;;;AMARELA;198
GONÇALVES DIAS;202;1;;;;;;INDÍGENA;12
GOVERNADOR ARCHER;249;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;175;4;;;;;;TOTAL;2.923
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;;
GOVERNADOR LUIZ ROCHA;68;0;;;;;;;
GOVERNADOR NEWTON BELLO;394;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1691;21;;;;;;;
GUIMARÃES;169;4;;;;;;;
HUMBERTO DE CAMPOS;368;4;;;;;;;
ICATU;168;6;;;;;;;
IGARAPÉ DO MEIO;191;7;;;;;;;
IGARAPÉ GRANDE;821;6;;;;;;;
IMPERATRIZ;4568;226;;;;;;;
ITAIPAVA DO GRAJAÚ;173;0;;;;;;;
ITAPECURU-MIRIM;595;8;;;;;;;
ITINGA DO MARANHÃO;459;11;;;;;;;
JATOBÁ;33;2;;;;;;;
JENIPAPO DOS VIEIRAS;218;4;;;;;;;
JOÃO LISBOA;208;9;;;;;;;
JOSELÂNDIA;319;0;;;;;;;
JUNCO DO MARANHÃO;114;0;;;;;;;
LAGO DA PEDRA;1030;41;;;;;;;
LAGO DO JUNCO;159;1;;;;;;;
LAGO DOS RODRIGUES;266;5;;;;;;;
LAGO VERDE;428;3;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;56;0;;;;;;;
LIMA CAMPOS;491;5;;;;;;;
LORETO;83;2;;;;;;;
LUÍS DOMINGUES;55;1;;;;;;;
MAGALHÃES DE ALMEIDA;195;4;;;;;;;
MARACAÇUMÉ;440;2;;;;;;;
MARAJÁ DO SENA;132;2;;;;;;;
MARANHÃOZINHO;342;3;;;;;;;
MATA ROMA;328;6;;;;;;;
MATINHA;229;2;;;;;;;
