;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3905
AÇAILÂNDIA;3143;82;;5.249;185.834;157052;;10 a 19 anos;11079
AFONSO CUNHA;143;2;;;;;;20 a 29 anos;25493
ÁGUA DOCE DO MARANHÃO;602;5;;CASOS NOVOS;;;;30 a 39 anos;33466
ALCÂNTARA;45;7;;Grande Ilha;104;;;40 a 49 anos;26554
ALDEIAS ALTAS;860;4;;Imperatriz;27;;;50 a 59 anos;18471
ALTAMIRA DO MARANHÃO;269;5;;Demais Regiões;1.204;;;60 a 70 anos;13332
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;10783
ALTO ALEGRE DO PINDARÉ;1368;19;;;;;;Não informado;13969
ALTO PARNAÍBA;260;2;;CASOS CONFIRMADOS;;;;TOTAL;157052
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;902;18;;Ativos;8259;Isolamento Domiciliar ;7810;;
ANAJATUBA;329;8;;;;Internação Enfermaria;266;Rede Pública;224
ANAPURUS;710;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;183;Rede Pública;161
ARAGUANÃ;518;2;;;;;;Rede Privada;22
ARAIOSES;563;10;;Óbitos;3488;;;; 
ARAME;877;9;;Recuperados;145305;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;130;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3193;49;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;70337;45%;;Leitos ocupados;65
BACURI;412;3;;MULHER;86715;55%;;Leitos livres;317
BACURITUBA;39;0;;;;;;% de ocupação;17,02%
BALSAS;5636;38;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3479;25;;3347;3266;62;;Total de leitos UTI;152
BARREIRINHAS;821;23;;;;;;Leitos ocupados UTI;56
BELA VISTA DO MARANHÃO;126;3;;;;;;Leitos livres;96
BELÁGUA;244;1;;TESTES REALIZADOS;;;;% de ocupação UTI;36,84%
BENEDITO LEITE;165;0;;LABORATÓRIO PÚBLICO;2441;;;;
BEQUIMÃO;212;11;;LABORATÓRIO PRIVADO;329;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;342.796;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;345566;;;Total de leitos;552
BOM JARDIM;842;22;;;;;;Leitos ocupados;90
BOM JESUS DAS SELVAS;1531;10;;;;;;Leitos livres;462
BOM LUGAR;256;1;;ÓBITOS DE COVID-19;;;;% de ocupação;16,30%
BREJO;655;18;;;;;;;
BREJO DE AREIA;197;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;576;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;324;1;;10 a 19 anos;15;;;Leitos ocupados UTI;63
BURITICUPU;2188;4;;20 a 29 anos;34;;;Leitos livres;152
BURITIRANA;236;6;;30 a 39 anos;110;;;% de ocupação UTI;29,30%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;203;;;;
CAJAPIÓ;5;2;;50 a 59 anos;371;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;798;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;410;4;;Mais de 70 anos;1938;;;Total de leitos;81
CÂNDIDO MENDES;83;4;;TOTAL;3488;;;Leitos ocupados;69
CANTANHEDE;381;3;;;;;;Leitos livres;12
CAPINZAL DO NORTE;359;1;;;;;;% de ocupação;85,19%
CAROLINA;348;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;354;17;;HOMEM;2146;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3968;77;;MULHER;1342;38%;;Total de leitos UTI;54
