;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4191
AÇAILÂNDIA;3225;84;;4.967;193.927;162998;;10 a 19 anos;11642
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26450
ÁGUA DOCE DO MARANHÃO;642;5;;CASOS NOVOS;;;;30 a 39 anos;34639
ALCÂNTARA;141;7;;Grande Ilha;76;;;40 a 49 anos;27481
ALDEIAS ALTAS;881;4;;Imperatriz;27;;;50 a 59 anos;19229
ALTAMIRA DO MARANHÃO;270;5;;Demais Regiões;312;;;60 a 70 anos;13960
ALTO ALEGRE DO MARANHÃO;354;12;;;;;;Mais de 70 anos;11269
ALTO ALEGRE DO PINDARÉ;1393;19;;;;;;Não informado;14137
ALTO PARNAÍBA;270;2;;CASOS CONFIRMADOS;;;;TOTAL;162998
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;930;18;;Ativos;5795;Isolamento Domiciliar ;5419;;
ANAJATUBA;332;8;;;;Internação Enfermaria;226;Rede Pública;179
ANAPURUS;710;6;;;;;;Rede Privada;47
APICUM-AÇU;197;3;;;;Internação UTI;150;Rede Pública;128
ARAGUANÃ;529;2;;;;;;Rede Privada;22
ARAIOSES;574;10;;Óbitos;3590;;;; 
ARAME;907;9;;Recuperados;153613;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3232;51;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;148;2;;HOMEM;72851;45%;;Leitos ocupados;54
BACURI;415;3;;MULHER;90147;55%;;Leitos livres;328
BACURITUBA;45;0;;;;;;% de ocupação;14,14%
BALSAS;6053;49;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3639;30;;3406;3319;64;;Total de leitos UTI;152
BARREIRINHAS;869;23;;;;;;Leitos ocupados UTI;48
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;104
BELÁGUA;247;1;;TESTES REALIZADOS;;;;% de ocupação UTI;31,58%
BENEDITO LEITE;176;0;;LABORATÓRIO PÚBLICO;1430;;;;
BEQUIMÃO;232;11;;LABORATÓRIO PRIVADO;27;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;358.149;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;359606;;;Total de leitos;552
BOM JARDIM;875;23;;;;;;Leitos ocupados;63
BOM JESUS DAS SELVAS;1581;10;;;;;;Leitos livres;466
BOM LUGAR;257;1;;ÓBITOS DE COVID-19;;;;% de ocupação;11,41%
BREJO;671;18;;;;;;;
BREJO DE AREIA;201;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;594;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;413;1;;10 a 19 anos;15;;;Leitos ocupados UTI;39
BURITICUPU;2195;4;;20 a 29 anos;36;;;Leitos livres;176
BURITIRANA;236;6;;30 a 39 anos;116;;;% de ocupação UTI;18,14%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;208;;;;
CAJAPIÓ;5;2;;50 a 59 anos;387;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;810;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;440;6;;Mais de 70 anos;1999;;;Total de leitos;81
CÂNDIDO MENDES;86;4;;TOTAL;3590;;;Leitos ocupados;62
CANTANHEDE;381;3;;;;;;Leitos livres;19
CAPINZAL DO NORTE;363;1;;;;;;% de ocupação;76,54%
CAROLINA;369;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;358;17;;HOMEM;2208;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;4273;83;;MULHER;1382;38%;;Total de leitos UTI;54
CEDRAL;132;0;;;;;;Leitos ocupados UTI;41
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;13
CENTRO DO GUILHERME;344;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;75,93%
CENTRO NOVO DO MARANHÃO;623;7;;COM COMORBIDADES ;3032;84%;;;
CHAPADINHA;2688;45;;SEM COMORBIDADES ;558;16%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;305;1;;;;;;;
CODÓ;1809;59;;;;;;;
COELHO NETO;1560;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1649;28;;NEUROLÓGICO;201;;;;
CONCEIÇÃO DO LAGO-AÇU;163;6;;ONCOLÓGICO;131;;;RAÇA/COR;
COROATÁ;1585;10;;PNEUMOPATIA;56;;;AMARELA;32.267
CURURUPU;509;7;;CARDIOPATIA;444;;;BRANCA;17.958
DAVINÓPOLIS;261;7;;DOENÇA RENAL CRÔNICA;208;;;INDIGENA;1.095
DOM PEDRO;349;2;;DIABETES MELITUS;1377;;;PARDA;63.112
DUQUE BACELAR;397;8;;HIPERTENSÃO ARTERIAL;1962;;;PRETA;6.279
ESPERANTINÓPOLIS;623;13;;SEM COMORBIDADES;558;;;SEM INFORMAÇÃO;42.287
ESTREITO;2656;7;;OBESIDADE;152;;;TOTAL;162.998
FEIRA NOVA DO MARANHÃO;625;2;;OUTROS;479;;;;
FERNANDO FALCÃO;738;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;657;1;;;;;;PARDA;1829
FORTALEZA DOS NOGUEIRAS;592;3;;;;;;BRANCA;449
FORTUNA;590;1;;;;;;PRETA;244
GODOFREDO VIANA;86;3;;;;;;AMARELA;211
GONÇALVES DIAS;370;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;325;5;;;;;;TOTAL;3.590
GOVERNADOR EUGÊNIO BARROS;200;0;;;;;;;
GOVERNADOR LUIZ ROCHA;116;0;;;;;;;
GOVERNADOR NEWTON BELLO;473;4;;;;;;;
GOVERNADOR NUNES FREIRE;656;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2552;38;;;;;;;
GUIMARÃES;218;4;;;;;;;
HUMBERTO DE CAMPOS;644;5;;;;;;;
ICATU;215;6;;;;;;;
IGARAPÉ DO MEIO;260;9;;;;;;;
IGARAPÉ GRANDE;943;8;;;;;;;
IMPERATRIZ;5721;316;;;;;;;
ITAIPAVA DO GRAJAÚ;478;3;;;;;;;
ITAPECURU-MIRIM;763;11;;;;;;;
ITINGA DO MARANHÃO;586;12;;;;;;;
JATOBÁ;80;4;;;;;;;
JENIPAPO DOS VIEIRAS;748;9;;;;;;;
JOÃO LISBOA;262;11;;;;;;;
JOSELÂNDIA;425;0;;;;;;;
JUNCO DO MARANHÃO;192;0;;;;;;;
LAGO DA PEDRA;1221;43;;;;;;;
LAGO DO JUNCO;232;1;;;;;;;
LAGO DOS RODRIGUES;394;8;;;;;;;
LAGO VERDE;499;4;;;;;;;
LAGOA DO MATO;3;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;4;;;;;;;
LAJEADO NOVO;170;0;;;;;;;
LIMA CAMPOS;697;6;;;;;;;
LORETO;348;3;;;;;;;
