;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1945
AÇAILÂNDIA;2795;66;;5787;122736;106906;;10 a 19 anos;6246
AFONSO CUNHA;128;1;;;;;;20 a 29 anos;16057
ÁGUA DOCE DO MARANHÃO;536;5;;CASOS NOVOS;;;;30 a 39 anos;22026
ALCÂNTARA;37;5;;Grande Ilha;109;;;40 a 49 anos;17726
ALDEIAS ALTAS;248;0;;Imperatriz;6;;;50 a 59 anos;12413
ALTAMIRA DO MARANHÃO;207;5;;Demais Regiões;466;;;60 a 70 anos;9243
ALTO ALEGRE DO MARANHÃO;321;11;;;;;;Mais de 70 anos;7752
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13498
ALTO PARNAÍBA;95;1;;CASOS CONFIRMADOS;;;;TOTAL;106906
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;649;11;;Ativos;12724;Isolamento Domiciliar ;12111;;
ANAJATUBA;271;6;;;;Internação Enfermaria;353;Rede Pública;290
ANAPURUS;653;6;;;;;;Rede Privada;63
APICUM-AÇU;197;3;;;;Internação UTI;260;Rede Pública;223
ARAGUANÃ;426;2;;;;;;Rede Privada;37
ARAIOSES;483;8;;Óbitos;2740;;;;
ARAME;205;4;;Recuperados;91442;;;;
ARARI;186;6;;;;;;GRANDE ILHA*;
AXIXÁ;100;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2762;35;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;48137;45%;;Leitos ocupados;89
BACURI;377;2;;MULHER;58769;55%;;Leitos livres;293
BACURITUBA;21;0;;;;;;% de ocupação;23,30%
BALSAS;1841;11;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2189;18;;2772;2689;54;;Total de leitos UTI;164
BARREIRINHAS;393;18;;;;;;Leitos ocupados UTI;92
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;72
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;56,10%
BENEDITO LEITE;36;0;;LABORATÓRIO PÚBLICO;2265;;;;
BEQUIMÃO;192;10;;LABORATÓRIO PRIVADO;89;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;229937;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;232291;;;Total de leitos;618
BOM JARDIM;626;16;;;;;;Leitos ocupados;150
BOM JESUS DAS SELVAS;1020;6;;;;;;Leitos livres;468
BOM LUGAR;161;0;;ÓBITOS DE COVID-19;;;;% de ocupação;24,27%
BREJO;547;15;;;;;;;
BREJO DE AREIA;111;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
