;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4370
AÇAILÂNDIA;3304;84;;4.675;199.861;167333;;10 a 19 anos;12027
AFONSO CUNHA;152;2;;;;;;20 a 29 anos;27121
ÁGUA DOCE DO MARANHÃO;647;5;;CASOS NOVOS;;;;30 a 39 anos;35483
ALCÂNTARA;197;7;;Grande Ilha;105;;;40 a 49 anos;28171
ALDEIAS ALTAS;906;4;;Imperatriz;28;;;50 a 59 anos;19736
ALTAMIRA DO MARANHÃO;273;5;;Demais Regiões;620;;;60 a 70 anos;14582
ALTO ALEGRE DO MARANHÃO;360;12;;;;;;Mais de 70 anos;11694
ALTO ALEGRE DO PINDARÉ;1446;19;;;;;;Não informado;14149
ALTO PARNAÍBA;283;2;;CASOS CONFIRMADOS;;;;TOTAL;167333
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;1025;18;;Ativos;5880;Isolamento Domiciliar ;5509;;
ANAJATUBA;335;8;;;;Internação Enfermaria;225;Rede Pública;175
ANAPURUS;710;6;;;;;;Rede Privada;50
APICUM-AÇU;197;3;;;;Internação UTI;146;Rede Pública;123
ARAGUANÃ;535;2;;;;;;Rede Privada;23
ARAIOSES;580;10;;Óbitos;3643;;;; 
ARAME;919;10;;Recuperados;157810;;;;
ARARI;203;9;;;;;;GRANDE ILHA*;
AXIXÁ;138;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3294;52;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;152;2;;HOMEM;74641;45%;;Leitos ocupados;56
BACURI;416;3;;MULHER;92692;55%;;Leitos livres;326
BACURITUBA;45;0;;;;;;% de ocupação;14,66%
BALSAS;6155;51;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3744;32;;3519;3436;65;;Total de leitos UTI;152
BARREIRINHAS;902;23;;;;;;Leitos ocupados UTI;45
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;107
BELÁGUA;252;1;;TESTES REALIZADOS;;;;% de ocupação UTI;29,61%
BENEDITO LEITE;181;0;;LABORATÓRIO PÚBLICO;1306;;;;
BEQUIMÃO;233;11;;LABORATÓRIO PRIVADO;26;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;59;3;;BOLETIM ANTERIOR;368.512;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;369844;;;Total de leitos;552
BOM JARDIM;909;23;;;;;;Leitos ocupados;69
BOM JESUS DAS SELVAS;1610;10;;;;;;Leitos livres;466
BOM LUGAR;260;2;;ÓBITOS DE COVID-19;;;;% de ocupação;12,50%
BREJO;682;18;;;;;;;
BREJO DE AREIA;201;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;611;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;418;1;;10 a 19 anos;15;;;Leitos ocupados UTI;43
BURITICUPU;2308;4;;20 a 29 anos;36;;;Leitos livres;172
BURITIRANA;236;6;;30 a 39 anos;118;;;% de ocupação UTI;20,00%
CACHOEIRA GRANDE;173;4;;40 a 49 anos;212;;;;
CAJAPIÓ;5;2;;50 a 59 anos;392;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;818;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;467;7;;Mais de 70 anos;2033;;;Total de leitos;81
CÂNDIDO MENDES;90;4;;TOTAL;3643;;;Leitos ocupados;50
CANTANHEDE;381;4;;;;;;Leitos livres;31
CAPINZAL DO NORTE;368;1;;;;;;% de ocupação;61,73%
CAROLINA;386;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;358;17;;HOMEM;2239;61%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;4402;89;;MULHER;1404;39%;;Total de leitos UTI;54
CEDRAL;148;0;;;;;;Leitos ocupados UTI;35
CENTRAL DO MARANHÃO;28;1;;;;;;Leitos livres;19
CENTRO DO GUILHERME;347;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;64,81%
CENTRO NOVO DO MARANHÃO;626;7;;COM COMORBIDADES ;3076;84%;;;
CHAPADINHA;2716;45;;SEM COMORBIDADES ;567;16%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;319;1;;;;;;;
CODÓ;1812;63;;;;;;;
COELHO NETO;1571;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1696;30;;NEUROLÓGICO;203;;;;
CONCEIÇÃO DO LAGO-AÇU;165;6;;ONCOLÓGICO;131;;;RAÇA/COR;
COROATÁ;1628;10;;PNEUMOPATIA;60;;;AMARELA;33.476
CURURUPU;521;6;;CARDIOPATIA;449;;;BRANCA;18.584
DAVINÓPOLIS;264;7;;DOENÇA RENAL CRÔNICA;210;;;INDIGENA;1.104
DOM PEDRO;354;2;;DIABETES MELITUS;1402;;;PARDA;65.142
DUQUE BACELAR;418;8;;HIPERTENSÃO ARTERIAL;1983;;;PRETA;6.517
ESPERANTINÓPOLIS;624;14;;SEM COMORBIDADES;567;;;SEM INFORMAÇÃO;42.510
ESTREITO;2708;11;;OBESIDADE;153;;;TOTAL;167.333
FEIRA NOVA DO MARANHÃO;648;2;;OUTROS;484;;;;
FERNANDO FALCÃO;742;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;700;1;;;;;;PARDA;1864
FORTALEZA DOS NOGUEIRAS;613;3;;;;;;BRANCA;464
FORTUNA;627;1;;;;;;PRETA;247
GODOFREDO VIANA;86;3;;;;;;AMARELA;211
GONÇALVES DIAS;377;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;327;5;;;;;;TOTAL;3.643
GOVERNADOR EUGÊNIO BARROS;200;0;;;;;;;
GOVERNADOR LUIZ ROCHA;127;0;;;;;;;
GOVERNADOR NEWTON BELLO;483;4;;;;;;;
GOVERNADOR NUNES FREIRE;684;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2627;38;;;;;;;
GUIMARÃES;218;4;;;;;;;
HUMBERTO DE CAMPOS;727;5;;;;;;;
ICATU;215;6;;;;;;;
IGARAPÉ DO MEIO;267;9;;;;;;;
IGARAPÉ GRANDE;968;8;;;;;;;
IMPERATRIZ;5967;322;;;;;;;
ITAIPAVA DO GRAJAÚ;481;3;;;;;;;
ITAPECURU-MIRIM;788;11;;;;;;;
ITINGA DO MARANHÃO;597;12;;;;;;;
JATOBÁ;82;4;;;;;;;
JENIPAPO DOS VIEIRAS;801;9;;;;;;;
JOÃO LISBOA;278;12;;;;;;;
JOSELÂNDIA;431;0;;;;;;;
JUNCO DO MARANHÃO;194;0;;;;;;;
LAGO DA PEDRA;1238;45;;;;;;;
LAGO DO JUNCO;233;2;;;;;;;
LAGO DOS RODRIGUES;399;8;;;;;;;
LAGO VERDE;503;4;;;;;;;
LAGOA DO MATO;10;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;4;;;;;;;
LAJEADO NOVO;175;0;;;;;;;
LIMA CAMPOS;708;6;;;;;;;
LORETO;380;3;;;;;;;
LUÍS DOMINGUES;185;1;;;;;;;
MAGALHÃES DE ALMEIDA;399;4;;;;;;;
MARACAÇUMÉ;507;3;;;;;;;
MARAJÁ DO SENA;159;3;;;;;;;
MARANHÃOZINHO;428;3;;;;;;;
MATA ROMA;345;10;;;;;;;
MATINHA;262;3;;;;;;;
MATÕES;418;8;;;;;;;
MATÕES DO NORTE;231;1;;;;;;;
MILAGRES DO MARANHÃO;187;1;;;;;;;
MIRADOR;705;4;;;;;;;
MIRANDA DO NORTE;141;9;;;;;;;
MIRINZAL;133;7;;;;;;;
MONÇÃO;740;16;;;;;;;
MONTES ALTOS;441;4;;;;;;;
MORROS;142;7;;;;;;;
NINA RODRIGUES;234;4;;;;;;;
NOVA COLINAS;104;0;;;;;;;
NOVA IORQUE;27;0;;;;;;;
NOVA OLINDA DO MARANHÃO;278;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;515;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;639;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;391;4;;;;;;;
PARNARAMA;569;0;;;;;;;
PASSAGEM FRANCA;559;0;;;;;;;
PASTOS BONS;453;2;;;;;;;
PAULINO NEVES;160;2;;;;;;;
PAULO RAMOS;852;13;;;;;;;
PEDREIRAS;1617;35;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;223;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;349;3;;;;;;;
PINDARÉ-MIRIM;595;11;;;;;;;
PINHEIRO;2040;34;;;;;;;
PIO XII;879;6;;;;;;;
PIRAPEMAS;249;3;;;;;;;
POÇÃO DE PEDRAS;1036;3;;;;;;;
PORTO FRANCO;847;9;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1388;8;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;255;0;;;;;;;
PRESIDENTE SARNEY;169;7;;;;;;;
PRESIDENTE VARGAS;59;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;142;13;;;;;;;
RIACHÃO;610;6;;;;;;;
RIBAMAR FIQUENE;163;8;;;;;;;
ROSÁRIO;379;11;;;;;;;
SAMBAÍBA;285;2;;;;;;;
SANTA FILOMENA DO MARANHÃO;47;0;;;;;;;
SANTA HELENA;1393;6;;;;;;;
SANTA INÊS;4343;71;;;;;;;
SANTA LUZIA;2551;16;;;;;;;
SANTA LUZIA DO PARUÁ;501;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;446;15;;;;;;;
SANTA RITA;279;13;;;;;;;
SANTANA DO MARANHÃO;167;3;;;;;;;
SANTO AMARO DO MARANHÃO;92;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;712;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;976;8;;;;;;;
SÃO BENTO;490;6;;;;;;;
SÃO BERNARDO;846;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;156;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1487;10;;;;;;;
SÃO FÉLIX DE BALSAS;187;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;341;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;107;0;;;;;;;
SÃO JOÃO BATISTA;132;5;;;;;;;
SÃO JOÃO DO CARÚ;405;5;;;;;;;
SÃO JOÃO DO PARAÍSO;126;2;;;;;;;
SÃO JOÃO DO SÓTER;576;2;;;;;;;
SÃO JOÃO DOS PATOS;1219;10;;;;;;;
SÃO JOSÉ DE RIBAMAR;1280;113;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;292;0;;;;;;;
SÃO LUÍS;20008;1228;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;625;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1155;26;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;453;1;;;;;;;
SÃO PEDRO DOS CRENTES;212;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1613;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;75;2;;;;;;;
SÃO ROBERTO;249;2;;;;;;;
SÃO VICENTE FERRER;206;1;;;;;;;
SATUBINHA;128;1;;;;;;;
SENADOR ALEXANDRE COSTA;363;1;;;;;;;
SENADOR LA ROCQUE;210;8;;;;;;;
SERRANO DO MARANHÃO;196;2;;;;;;;
SÍTIO NOVO;996;6;;;;;;;
SUCUPIRA DO NORTE;132;0;;;;;;;
SUCUPIRA DO RIACHÃO;114;0;;;;;;;
TASSO FRAGOSO;270;0;;;;;;;
TIMBIRAS;352;3;;;;;;;
TIMON;4136;116;;;;;;;
TRIZIDELA DO VALE;610;8;;;;;;;
TUFILÂNDIA;116;5;;;;;;;
TUNTUM;1368;6;;;;;;;
TURIAÇU;248;4;;;;;;;
TURILÂNDIA;316;5;;;;;;;
TUTÓIA;1027;23;;;;;;;
URBANO SANTOS;1642;14;;;;;;;
VARGEM GRANDE;751;10;;;;;;;
VIANA;282;14;;;;;;;
VILA NOVA DOS MARTÍRIOS;302;0;;;;;;;
VITÓRIA DO MEARIM;676;6;;;;;;;
VITORINO FREIRE;1538;26;;;;;;;
ZÉ DOCA;3540;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
Na revisão de dados no sistema, em razão de mudança de domicílio de paciente, um caso de Cururupu foi transferido para Mirinzal e um caso de Bacabal transferido para Bom Lugar. ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
