;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4173
AÇAILÂNDIA;3220;84;;5.125;192.885;162583;;10 a 19 anos;11602
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26388
ÁGUA DOCE DO MARANHÃO;642;5;;CASOS NOVOS;;;;30 a 39 anos;34558
ALCÂNTARA;141;7;;Grande Ilha;66;;;40 a 49 anos;27433
ALDEIAS ALTAS;877;4;;Imperatriz;7;;;50 a 59 anos;19183
ALTAMIRA DO MARANHÃO;270;5;;Demais Regiões;34;;;60 a 70 anos;13882
ALTO ALEGRE DO MARANHÃO;350;11;;;;;;Mais de 70 anos;11226
ALTO ALEGRE DO PINDARÉ;1383;19;;;;;;Não informado;14138
ALTO PARNAÍBA;270;2;;CASOS CONFIRMADOS;;;;TOTAL;162583
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;930;18;;Ativos;6331;Isolamento Domiciliar ;5932;;
ANAJATUBA;332;8;;;;Internação Enfermaria;253;Rede Pública;205
ANAPURUS;710;6;;;;;;Rede Privada;48
APICUM-AÇU;197;3;;;;Internação UTI;146;Rede Pública;124
ARAGUANÃ;528;2;;;;;;Rede Privada;22
ARAIOSES;574;10;;Óbitos;3580;;;; 
ARAME;907;9;;Recuperados;152672;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3231;51;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;72684;45%;;Leitos ocupados;53
