;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1698
AÇAILÂNDIA;2691;62;;6653;108763;98952;;10 a 19 anos;5551
AFONSO CUNHA;101;1;;;;;;20 a 29 anos;14644
ÁGUA DOCE DO MARANHÃO;474;5;;CASOS NOVOS;;;;30 a 39 anos;20295
ALCÂNTARA;34;5;;Grande Ilha;82;;;40 a 49 anos;16355
ALDEIAS ALTAS;117;0;;Imperatriz;15;;;50 a 59 anos;11415
ALTAMIRA DO MARANHÃO;176;5;;Demais Regiões;457;;;60 a 70 anos;8571
ALTO ALEGRE DO MARANHÃO;321;11;;;;;;Mais de 70 anos;7273
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13150
ALTO PARNAÍBA;84;1;;CASOS CONFIRMADOS;;;;TOTAL;98952
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;589;11;;Ativos;18674;Isolamento Domiciliar ;17962;;
ANAJATUBA;255;6;;;;Internação Enfermaria;389;Rede Pública;326
ANAPURUS;661;6;;;;;;Rede Privada;63
APICUM-AÇU;197;3;;;;Internação UTI;323;Rede Pública;278
ARAGUANÃ;427;2;;;;;;Rede Privada;45
ARAIOSES;458;8;;Óbitos;2463;;;;
ARAME;157;4;;Recuperados;77815;;;;
ARARI;163;4;;;;;;GRANDE ILHA*;
AXIXÁ;90;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2517;32;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;128;1;;HOMEM;44639;45%;;Leitos ocupados;98
BACURI;371;2;;MULHER;54313;55%;;Leitos livres;284
BACURITUBA;19;0;;;;;;% de ocupação;25,65%
BALSAS;1506;10;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;1987;16;;2663;2551;50;;Total de leitos UTI;164
BARREIRINHAS;364;18;;;;;;Leitos ocupados UTI;132
BELA VISTA DO MARANHÃO;111;2;;;;;;Leitos livres;32
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;80,49%
BENEDITO LEITE;28;0;;LABORATÓRIO PÚBLICO;1920;;;;
BEQUIMÃO;179;9;;LABORATÓRIO PRIVADO;133;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;206591;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;12;2;;TOTAL;208644;;;Total de leitos;618
BOM JARDIM;582;11;;;;;;Leitos ocupados;176
BOM JESUS DAS SELVAS;857;4;;;;;;Leitos livres;442
BOM LUGAR;147;0;;ÓBITOS DE COVID-19;;;;% de ocupação;28,48%
BREJO;481;11;;;;;;;
BREJO DE AREIA;105;0;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;259;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;66;0;;10 a 19 anos;13;;;Leitos ocupados UTI;99
BURITICUPU;1519;4;;20 a 29 anos;24;;;Leitos livres;120
BURITIRANA;209;6;;30 a 39 anos;83;;;% de ocupação UTI;45,21%
CACHOEIRA GRANDE;116;3;;40 a 49 anos;145;;;;
CAJAPIÓ;5;2;;50 a 59 anos;262;;;IMPERATRIZ;
CAJARI;120;1;;60 a 69 anos;593;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;189;1;;Mais de 70 anos;1328;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2463;;;Leitos ocupados;52
CANTANHEDE;360;2;;;;;;Leitos livres;29
CAPINZAL DO NORTE;265;0;;;;;;% de ocupação;64,20%
CAROLINA;160;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;255;15;;HOMEM;1530;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2078;32;;MULHER;933;38%;;Total de leitos UTI;54
CEDRAL;96;0;;;;;;Leitos ocupados UTI;47
CENTRAL DO MARANHÃO;16;1;;;;;;Leitos livres;7
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;87,04%
CENTRO NOVO DO MARANHÃO;331;5;;COM COMORBIDADES;2146;87%;;;
CHAPADINHA;2335;28;;SEM COMORBIDADES;317;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;225;0;;;;;;;
CODÓ;1787;15;;;;;;;
COELHO NETO;1200;27;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;710;14;;NEUROLÓGICO;150;;;;
CONCEIÇÃO DO LAGO-AÇU;139;3;;ONCOLÓGICO;96;;;RAÇA/COR;
COROATÁ;581;7;;PNEUMOPATIA;24;;;AMARELA;13.829
CURURUPU;295;6;;CARDIOPATIA;288;;;BRANCA;8.407
DAVINÓPOLIS;201;6;;DOENÇA RENAL CRÔNICA;144;;;INDIGENA;365
DOM PEDRO;48;1;;DIABETES MELITUS;954;;;PARDA;33.229
DUQUE BACELAR;252;3;;HIPERTENSÃO ARTERIAL;1391;;;PRETA;3.242
ESPERANTINÓPOLIS;538;11;;SEM COMORBIDADES;356;;;SEM INFORMAÇÃO;39.880
ESTREITO;689;7;;OBESIDADE;107;;;TOTAL;98.952
FEIRA NOVA DO MARANHÃO;42;1;;OUTROS;332;;;;
FERNANDO FALCÃO;462;0;;;;;;;
FORMOSA DA SERRA NEGRA;123;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;103;0;;;;;;ÓBITOS RAÇA/COR;
FORTUNA;166;0;;;;;;AMARELA;190
GODOFREDO VIANA;66;3;;;;;;BRANCA;231
GONÇALVES DIAS;171;1;;;;;;INDIGENA;7
GOVERNADOR ARCHER;204;0;;;;;;PARDA;1.092
GOVERNADOR EDISON LOBÃO;174;4;;;;;;PRETA;150
GOVERNADOR EUGÊNIO BARROS;143;0;;;;;;SEM INFORMAÇÃO;793
GOVERNADOR LUIZ ROCHA;41;0;;;;;;TOTAL;2.463
GOVERNADOR NEWTON BELLO;360;4;;;;;;;
GOVERNADOR NUNES FREIRE;581;1;;;;;;;
GRAÇA ARANHA;112;2;;;;;;;
GRAJAÚ;1274;18;;;;;;;
GUIMARÃES;151;4;;;;;;;
HUMBERTO DE CAMPOS;252;3;;;;;;;
ICATU;167;6;;;;;;;
IGARAPÉ DO MEIO;160;7;;;;;;;
IGARAPÉ GRANDE;716;5;;;;;;;
IMPERATRIZ;4418;214;;;;;;;
ITAIPAVA DO GRAJAÚ;129;0;;;;;;;
ITAPECURU-MIRIM;480;7;;;;;;;
ITINGA DO MARANHÃO;423;10;;;;;;;
JATOBÁ;29;0;;;;;;;
JENIPAPO DOS VIEIRAS;137;2;;;;;;;
JOÃO LISBOA;204;7;;;;;;;
JOSELÂNDIA;284;0;;;;;;;
JUNCO DO MARANHÃO;101;0;;;;;;;
LAGO DA PEDRA;925;40;;;;;;;
LAGO DO JUNCO;121;1;;;;;;;
LAGO DOS RODRIGUES;181;3;;;;;;;
LAGO VERDE;347;2;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;2;;;;;;;
LAJEADO NOVO;38;0;;;;;;;
LIMA CAMPOS;455;4;;;;;;;
LORETO;36;0;;;;;;;
LUÍS DOMINGUES;49;1;;;;;;;
MAGALHÃES DE ALMEIDA;106;4;;;;;;;
MARACAÇUMÉ;411;1;;;;;;;
MARAJÁ DO SENA;117;2;;;;;;;
MARANHÃOZINHO;305;3;;;;;;;
MATA ROMA;325;6;;;;;;;
MATINHA;203;1;;;;;;;
MATÕES;146;1;;;;;;;
MATÕES DO NORTE;152;1;;;;;;;
MILAGRES DO MARANHÃO;112;1;;;;;;;
MIRADOR;164;0;;;;;;;
MIRANDA DO NORTE;136;5;;;;;;;
MIRINZAL;91;6;;;;;;;
MONÇÃO;253;13;;;;;;;
MONTES ALTOS;152;2;;;;;;;
MORROS;123;5;;;;;;;
NINA RODRIGUES;120;3;;;;;;;
NOVA COLINAS;7;0;;;;;;;
NOVA IORQUE;10;0;;;;;;;
NOVA OLINDA DO MARANHÃO;259;2;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;367;3;;;;;;;
OLINDA NOVA DO MARANHÃO;195;4;;;;;;;
PAÇO DO LUMIAR;477;71;;;;;;;
PALMEIRÂNDIA;32;3;;;;;;;
PARAIBANO;172;1;;;;;;;
PARNARAMA;102;1;;;;;;;
PASSAGEM FRANCA;76;0;;;;;;;
PASTOS BONS;53;1;;;;;;;
PAULINO NEVES;114;1;;;;;;;
PAULO RAMOS;493;5;;;;;;;
PEDREIRAS;1207;23;;;;;;;
PEDRO DO ROSÁRIO;86;1;;;;;;;
PENALVA;196;5;;;;;;;
PERI-MIRIM;153;1;;;;;;;
PERITORÓ;319;2;;;;;;;
PINDARÉ-MIRIM;476;6;;;;;;;
PINHEIRO;1299;25;;;;;;;
