;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2142
AÇAILÂNDIA;2779;67;;5.398;131.962;113563;;10 a 19 anos;6920
AFONSO CUNHA;128;2;;;;;;20 a 29 anos;17196
ÁGUA DOCE DO MARANHÃO;557;5;;CASOS NOVOS;;;;30 a 39 anos;23402
ALCÂNTARA;38;5;;Grande Ilha;80;;;40 a 49 anos;18882
ALDEIAS ALTAS;395;0;;Imperatriz;6;;;50 a 59 anos;13185
ALTAMIRA DO MARANHÃO;223;5;;Demais Regiões;794;;;60 a 70 anos;9801
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;8187
ALTO ALEGRE DO PINDARÉ;1192;3;;;;;;Não informado;13848
ALTO PARNAÍBA;99;1;;CASOS CONFIRMADOS;;;;TOTAL;113563
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;709;12;;Ativos;9488;Isolamento Domiciliar ;8894;;
ANAJATUBA;286;6;;;;Internação Enfermaria;352;Rede Pública;295
ANAPURUS;645;6;;;;;;Rede Privada;57
APICUM-AÇU;197;3;;;;Internação UTI;242;Rede Pública;218
ARAGUANÃ;451;2;;;;;;Rede Privada;24
ARAIOSES;504;9;;Óbitos;2898;;;; 
ARAME;265;4;;Recuperados;101177;;;;
ARARI;191;6;;;;;;GRANDE ILHA*;
AXIXÁ;108;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2936;39;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;51154;45%;;Leitos ocupados;91
BACURI;385;2;;MULHER;62409;55%;;Leitos livres;291
BACURITUBA;22;0;;;;;;% de ocupação;23,82%
BALSAS;2112;14;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;14;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2378;19;;2923;2796;54;;Total de leitos UTI;152
BARREIRINHAS;404;19;;;;;;Leitos ocupados UTI;85
BELA VISTA DO MARANHÃO;116;2;;;;;;Leitos livres;67
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;55,92%
BENEDITO LEITE;51;0;;LABORATÓRIO PÚBLICO;2023;;;;
BEQUIMÃO;197;10;;LABORATÓRIO PRIVADO;272;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;245995;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;248290;;;Total de leitos;618
BOM JARDIM;676;16;;;;;;Leitos ocupados;152
BOM JESUS DAS SELVAS;1199;7;;;;;;Leitos livres;466
BOM LUGAR;170;0;;ÓBITOS DE COVID-19;;;;% de ocupação;24,60%
BREJO;566;17;;;;;;;
BREJO DE AREIA;123;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;322;0;;0 a 9 anos;17;;;Total de leitos UTI;225
BURITI BRAVO;120;0;;10 a 19 anos;14;;;Leitos ocupados UTI;100
BURITICUPU;1755;4;;20 a 29 anos;29;;;Leitos livres;125
BURITIRANA;209;6;;30 a 39 anos;94;;;% de ocupação UTI;44,44%
CACHOEIRA GRANDE;145;3;;40 a 49 anos;167;;;;
CAJAPIÓ;5;2;;50 a 59 anos;313;;;IMPERATRIZ;
CAJARI;121;1;;60 a 69 anos;682;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;227;1;;Mais de 70 anos;1582;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2898;;;Leitos ocupados;52
CANTANHEDE;378;3;;;;;;Leitos livres;29
CAPINZAL DO NORTE;298;1;;;;;;% de ocupação;64,20%
CAROLINA;205;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;254;16;;HOMEM;1796;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2646;59;;MULHER;1102;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;33
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;21
CENTRO DO GUILHERME;55;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;61,11%
CENTRO NOVO DO MARANHÃO;424;5;;COM COMORBIDADES ;2530;87%;;;
CHAPADINHA;2483;39;;SEM COMORBIDADES ;368;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;251;0;;;;;;;
CODÓ;1788;17;;;;;;;
COELHO NETO;1369;31;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1037;23;;NEUROLÓGICO;177;;;;
CONCEIÇÃO DO LAGO-AÇU;144;3;;ONCOLÓGICO;111;;;RAÇA/COR;
COROATÁ;653;9;;PNEUMOPATIA;36;;;AMARELA;18.053
CURURUPU;383;7;;CARDIOPATIA;338;;;BRANCA;10.712
DAVINÓPOLIS;211;7;;DOENÇA RENAL CRÔNICA;171;;;INDIGENA;497
DOM PEDRO;55;1;;DIABETES MELITUS;1123;;;PARDA;39.976
DUQUE BACELAR;292;6;;HIPERTENSÃO ARTERIAL;1625;;;PRETA;3.955
ESPERANTINÓPOLIS;602;11;;SEM COMORBIDADES;428;;;SEM INFORMAÇÃO;40.370
ESTREITO;928;7;;OBESIDADE;122;;;TOTAL;113.563
FEIRA NOVA DO MARANHÃO;82;1;;OUTROS;397;;;;
FERNANDO FALCÃO;544;0;;;;;;;
FORMOSA DA SERRA NEGRA;278;1;;;;;;ÓBITOS RAÇA/COR;
FORTALEZA DOS NOGUEIRAS;214;0;;;;;;PARDA;1.354
FORTUNA;204;0;;;;;;BRANCA;324
GODOFREDO VIANA;75;3;;;;;;PRETA;183
GONÇALVES DIAS;202;1;;;;;;AMARELA;198
GOVERNADOR ARCHER;249;0;;;;;;INDÍGENA;12
GOVERNADOR EDISON LOBÃO;175;4;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;TOTAL;2.898
GOVERNADOR LUIZ ROCHA;68;0;;;;;;;
GOVERNADOR NEWTON BELLO;394;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1688;21;;;;;;;
GUIMARÃES;169;4;;;;;;;
HUMBERTO DE CAMPOS;368;4;;;;;;;
ICATU;168;6;;;;;;;
IGARAPÉ DO MEIO;191;7;;;;;;;
IGARAPÉ GRANDE;821;6;;;;;;;
IMPERATRIZ;4564;226;;;;;;;
ITAIPAVA DO GRAJAÚ;169;0;;;;;;;
ITAPECURU-MIRIM;594;8;;;;;;;
ITINGA DO MARANHÃO;459;11;;;;;;;
JATOBÁ;32;2;;;;;;;
JENIPAPO DOS VIEIRAS;218;4;;;;;;;
JOÃO LISBOA;208;9;;;;;;;
JOSELÂNDIA;319;0;;;;;;;
JUNCO DO MARANHÃO;114;0;;;;;;;
LAGO DA PEDRA;1030;41;;;;;;;
LAGO DO JUNCO;159;1;;;;;;;
LAGO DOS RODRIGUES;266;5;;;;;;;
LAGO VERDE;425;3;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;56;0;;;;;;;
LIMA CAMPOS;491;5;;;;;;;
LORETO;83;2;;;;;;;
LUÍS DOMINGUES;55;1;;;;;;;
MAGALHÃES DE ALMEIDA;195;4;;;;;;;
MARACAÇUMÉ;440;2;;;;;;;
MARAJÁ DO SENA;132;2;;;;;;;
MARANHÃOZINHO;342;3;;;;;;;
MATA ROMA;328;6;;;;;;;
MATINHA;228;1;;;;;;;
MATÕES;222;2;;;;;;;
MATÕES DO NORTE;180;1;;;;;;;
MILAGRES DO MARANHÃO;142;1;;;;;;;
MIRADOR;249;2;;;;;;;
MIRANDA DO NORTE;134;5;;;;;;;
MIRINZAL;121;6;;;;;;;
MONÇÃO;277;15;;;;;;;
MONTES ALTOS;156;2;;;;;;;
MORROS;131;6;;;;;;;
NINA RODRIGUES;163;4;;;;;;;
NOVA COLINAS;19;0;;;;;;;
NOVA IORQUE;10;0;;;;;;;
NOVA OLINDA DO MARANHÃO;263;3;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;366;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;6;;;;;;;
PAÇO DO LUMIAR;492;76;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;197;2;;;;;;;
PARNARAMA;174;1;;;;;;;
PASSAGEM FRANCA;100;0;;;;;;;
PASTOS BONS;88;1;;;;;;;
PAULINO NEVES;133;1;;;;;;;
PAULO RAMOS;612;6;;;;;;;
PEDREIRAS;1316;34;;;;;;;
PEDRO DO ROSÁRIO;86;1;;;;;;;
PENALVA;206;5;;;;;;;
PERI-MIRIM;159;1;;;;;;;
PERITORÓ;319;3;;;;;;;
PINDARÉ-MIRIM;560;8;;;;;;;
PINHEIRO;1483;27;;;;;;;
PIO XII;758;6;;;;;;;
PIRAPEMAS;242;3;;;;;;;
POÇÃO DE PEDRAS;448;2;;;;;;;
PORTO FRANCO;428;7;;;;;;;
PORTO RICO DO MARANHÃO;86;1;;;;;;;
PRESIDENTE DUTRA;1005;6;;;;;;;
PRESIDENTE JUSCELINO;27;0;;;;;;;
PRESIDENTE MÉDICI;179;0;;;;;;;
PRESIDENTE SARNEY;167;6;;;;;;;
PRESIDENTE VARGAS;48;1;;;;;;;
PRIMEIRA CRUZ;39;2;;;;;;;
RAPOSA;110;13;;;;;;;
RIACHÃO;121;2;;;;;;;
RIBAMAR FIQUENE;129;7;;;;;;;
ROSÁRIO;360;10;;;;;;;
SAMBAÍBA;15;0;;;;;;;
SANTA FILOMENA DO MARANHÃO;27;0;;;;;;;
SANTA HELENA;1167;6;;;;;;;
SANTA INÊS;3905;66;;;;;;;
SANTA LUZIA;2003;13;;;;;;;
SANTA LUZIA DO PARUÁ;271;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;445;14;;;;;;;
SANTA RITA;214;11;;;;;;;
SANTANA DO MARANHÃO;128;1;;;;;;;
SANTO AMARO DO MARANHÃO;54;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;486;2;;;;;;;
SÃO BENEDITO DO RIO PRETO;694;5;;;;;;;
SÃO BENTO;454;3;;;;;;;
SÃO BERNARDO;758;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;63;0;;;;;;;
SÃO DOMINGOS DO MARANHÃO;750;5;;;;;;;
SÃO FÉLIX DE BALSAS;40;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;227;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;44;0;;;;;;;
SÃO JOÃO BATISTA;105;5;;;;;;;
SÃO JOÃO DO CARÚ;307;5;;;;;;;
SÃO JOÃO DO PARAÍSO;60;1;;;;;;;
SÃO JOÃO DO SÓTER;252;2;;;;;;;
SÃO JOÃO DOS PATOS;491;6;;;;;;;
SÃO JOSÉ DE RIBAMAR;1009;103;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;95;0;;;;;;;
SÃO LUÍS;15570;1110;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;428;7;;;;;;;
SÃO MATEUS DO MARANHÃO;905;20;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;287;1;;;;;;;
SÃO PEDRO DOS CRENTES;95;0;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;440;3;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;72;2;;;;;;;
SÃO ROBERTO;102;2;;;;;;;
SÃO VICENTE FERRER;154;1;;;;;;;
SATUBINHA;115;1;;;;;;;
SENADOR ALEXANDRE COSTA;233;1;;;;;;;
SENADOR LA ROCQUE;164;8;;;;;;;
SERRANO DO MARANHÃO;142;1;;;;;;;
SÍTIO NOVO;258;3;;;;;;;
SUCUPIRA DO NORTE;18;0;;;;;;;
SUCUPIRA DO RIACHÃO;32;0;;;;;;;
TASSO FRAGOSO;46;0;;;;;;;
TIMBIRAS;269;3;;;;;;;
TIMON;2085;62;;;;;;;
TRIZIDELA DO VALE;570;6;;;;;;;
TUFILÂNDIA;44;4;;;;;;;
TUNTUM;882;6;;;;;;;
TURIAÇU;204;3;;;;;;;
TURILÂNDIA;292;4;;;;;;;
TUTÓIA;849;21;;;;;;;
URBANO SANTOS;884;12;;;;;;;
VARGEM GRANDE;600;10;;;;;;;
VIANA;239;12;;;;;;;
VILA NOVA DOS MARTÍRIOS;136;0;;;;;;;
VITÓRIA DO MEARIM;589;5;;;;;;;
VITORINO FREIRE;1233;19;;;;;;;
ZÉ DOCA;2777;35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
