;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4343
AÇAILÂNDIA;3289;84;;4.491;199.282;166580;;10 a 19 anos;11977
AFONSO CUNHA;152;2;;;;;;20 a 29 anos;27030
ÁGUA DOCE DO MARANHÃO;646;5;;CASOS NOVOS;;;;30 a 39 anos;35379
ALCÂNTARA;196;7;;Grande Ilha;98;;;40 a 49 anos;28034
ALDEIAS ALTAS;899;4;;Imperatriz;62;;;50 a 59 anos;19646
ALTAMIRA DO MARANHÃO;273;5;;Demais Regiões;961;;;60 a 70 anos;14436
ALTO ALEGRE DO MARANHÃO;360;12;;;;;;Mais de 70 anos;11586
ALTO ALEGRE DO PINDARÉ;1436;19;;;;;;Não informado;14149
ALTO PARNAÍBA;282;2;;CASOS CONFIRMADOS;;;;TOTAL;166580
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;987;18;;Ativos;5750;Isolamento Domiciliar ;5384;;
ANAJATUBA;335;8;;;;Internação Enfermaria;222;Rede Pública;173
ANAPURUS;710;6;;;;;;Rede Privada;49
APICUM-AÇU;197;3;;;;Internação UTI;144;Rede Pública;121
ARAGUANÃ;534;2;;;;;;Rede Privada;23
ARAIOSES;580;10;;Óbitos;3632;;;; 
ARAME;914;10;;Recuperados;157198;;;;
ARARI;203;9;;;;;;GRANDE ILHA*;
AXIXÁ;137;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3294;51;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;152;2;;HOMEM;74342;45%;;Leitos ocupados;53
BACURI;416;3;;MULHER;92238;55%;;Leitos livres;329
BACURITUBA;45;0;;;;;;% de ocupação;13,87%
BALSAS;6136;51;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3737;32;;3509;3427;64;;Total de leitos UTI;152
BARREIRINHAS;896;23;;;;;;Leitos ocupados UTI;47
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;105
BELÁGUA;251;1;;TESTES REALIZADOS;;;;% de ocupação UTI;30,92%
BENEDITO LEITE;180;0;;LABORATÓRIO PÚBLICO;2287;;;;
BEQUIMÃO;233;11;;LABORATÓRIO PRIVADO;45;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;59;3;;BOLETIM ANTERIOR;366.180;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;368512;;;Total de leitos;552
BOM JARDIM;907;23;;;;;;Leitos ocupados;68
BOM JESUS DAS SELVAS;1606;10;;;;;;Leitos livres;466
BOM LUGAR;258;1;;ÓBITOS DE COVID-19;;;;% de ocupação;12,32%
BREJO;680;18;;;;;;;
BREJO DE AREIA;201;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;606;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;415;1;;10 a 19 anos;15;;;Leitos ocupados UTI;38
BURITICUPU;2306;4;;20 a 29 anos;36;;;Leitos livres;177
BURITIRANA;236;6;;30 a 39 anos;118;;;% de ocupação UTI;17,67%
CACHOEIRA GRANDE;173;4;;40 a 49 anos;211;;;;
CAJAPIÓ;5;2;;50 a 59 anos;392;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;816;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;461;7;;Mais de 70 anos;2025;;;Total de leitos;81
CÂNDIDO MENDES;89;4;;TOTAL;3632;;;Leitos ocupados;52
CANTANHEDE;381;4;;;;;;Leitos livres;29
CAPINZAL DO NORTE;366;1;;;;;;% de ocupação;64,20%
CAROLINA;385;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;358;17;;HOMEM;2234;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;4383;89;;MULHER;1398;38%;;Total de leitos UTI;54
CEDRAL;147;0;;;;;;Leitos ocupados UTI;36
CENTRAL DO MARANHÃO;28;1;;;;;;Leitos livres;18
CENTRO DO GUILHERME;347;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;66,67%
CENTRO NOVO DO MARANHÃO;624;7;;COM COMORBIDADES ;3066;84%;;;
CHAPADINHA;2710;45;;SEM COMORBIDADES ;566;16%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;318;1;;;;;;;
CODÓ;1811;62;;;;;;;
COELHO NETO;1571;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1688;29;;NEUROLÓGICO;202;;;;
CONCEIÇÃO DO LAGO-AÇU;164;6;;ONCOLÓGICO;131;;;RAÇA/COR;
COROATÁ;1613;10;;PNEUMOPATIA;57;;;AMARELA;33.279
CURURUPU;521;7;;CARDIOPATIA;446;;;BRANCA;18.497
DAVINÓPOLIS;264;7;;DOENÇA RENAL CRÔNICA;210;;;INDIGENA;1.103
DOM PEDRO;350;2;;DIABETES MELITUS;1397;;;PARDA;64.803
