;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4307
AÇAILÂNDIA;3261;84;;4.599;198.031;165499;;10 a 19 anos;11899
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26877
ÁGUA DOCE DO MARANHÃO;643;5;;CASOS NOVOS;;;;30 a 39 anos;35166
ALCÂNTARA;194;7;;Grande Ilha;76;;;40 a 49 anos;27884
ALDEIAS ALTAS;887;4;;Imperatriz;81;;;50 a 59 anos;19501
ALTAMIRA DO MARANHÃO;272;5;;Demais Regiões;600;;;60 a 70 anos;14247
ALTO ALEGRE DO MARANHÃO;355;12;;;;;;Mais de 70 anos;11469
ALTO ALEGRE DO PINDARÉ;1424;19;;;;;;Não informado;14149
ALTO PARNAÍBA;282;2;;CASOS CONFIRMADOS;;;;TOTAL;165499
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;972;18;;Ativos;5601;Isolamento Domiciliar ;5224;;
ANAJATUBA;335;8;;;;Internação Enfermaria;229;Rede Pública;180
ANAPURUS;710;6;;;;;;Rede Privada;49
APICUM-AÇU;197;3;;;;Internação UTI;148;Rede Pública;126
ARAGUANÃ;532;2;;;;;;Rede Privada;22
ARAIOSES;580;10;;Óbitos;3622;;;; 
ARAME;908;9;;Recuperados;156276;;;;
ARARI;202;9;;;;;;GRANDE ILHA*;
AXIXÁ;137;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3287;51;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;149;2;;HOMEM;73872;45%;;Leitos ocupados;56
BACURI;416;3;;MULHER;91627;55%;;Leitos livres;326
BACURITUBA;45;0;;;;;;% de ocupação;14,66%
BALSAS;6101;51;;PROFISSIONAIS DA SAÚDE;;;;;
